,station_id,station_name,station_name_kana,fuken_id,type,Latitude (degree),Latitude (minute),latitude,Longitude (degree),Longitude (minute),longitude,height,f_pre,f_wsd,f_tem,f_sun,f_snc,End_year,End_month,End_day,obs_ended,note1,note2,note3,note4,note5,amedas_id1,amedas_id2,station_name_roman
34,0023,前時雨山,マエシグレヤマ,12,A,43,11.1,43.185,142,20.8,142.346666667,380,Y,N,N,N,N,2005,9,30,2005-09-30 00:00:00,,,,,,,,Maeshigureyama
35,1047,朝日,アサヒ,12,A,44,7.1,44.1183333333,142,35.7,142.595,225,Y,Y,Y,Y,N,9999,99,99,,,,,,,12266,,Asahi
36,1048,比布,ピップ,12,A,43,52.5,43.875,142,28.8,142.48,175,Y,Y,Y,Y,N,9999,99,99,,,,,,,12396,,Pippu
37,1049,層雲峡,ソウウンキョウ,12,A,43,45.2,43.7533333333,142,55.8,142.93,540,Y,N,N,N,Y,9999,99,99,,,,,,,12471,12930,Souunkyou
38,1052,美瑛,ビエイ,12,A,43,35.3,43.5883333333,142,29.6,142.493333333,250,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12551,12935,Biei
39,1055,和寒,ワッサム,12,A,44,1.7,44.0283333333,142,24.6,142.41,150,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12301,12915,Wassamu
40,1184,東川,ヒガシカワ,12,A,43,42.1,43.7016666667,142,30.5,142.508333333,215,Y,Y,Y,Y,N,9999,99,99,,,,,,,12451,,Higashikawa
41,1185,志比内,シビナイ,12,A,43,38.6,43.6433333333,142,34.9,142.581666667,310,Y,Y,Y,Y,N,9999,99,99,,2001年12月2日までの地点名「忠別」,,,,,12512,,Shibinai
42,1188,幾寅,イクトラ,12,A,43,10.1,43.1683333333,142,34.1,142.568333333,350,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12691,12945,Ikutora
43,1189,占冠,シムカップ,12,A,42,58.7,42.9783333333,142,23.7,142.395,332,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12746,12950,Shimukappu
44,1190,上富良野,カミフラノ,12,A,43,27.3,43.455,142,27.9,142.465,220,Y,Y,Y,Y,N,9999,99,99,,,,,,,12596,,Kamifurano
45,1191,江丹別,エタンベツ,12,A,43,52.2,43.87,142,15.6,142.26,140,Y,Y,Y,Y,N,9999,99,99,,,,,,,12386,,Etanbetsu
46,1197,音威子府,オトイネップ,12,A,44,43.6,44.7266666667,142,15.9,142.265,40,Y,Y,Y,Y,Y,9999,99,99,,,,,,,12041,12905,Otoineppu
47,1201,中川,ナカガワ,12,A,44,49.7,44.8283333333,142,4.6,142.076666667,22,Y,Y,Y,Y,N,9999,99,99,,,,,,,12011,,Nakagawa
48,1280,麓郷,ロクゴウ,12,A,43,18.1,43.3016666667,142,31.3,142.521666667,315,Y,Y,Y,Y,N,9999,99,99,,,,,,,12632,,Rokugou
49,1458,東神楽,ヒガシカグラ,12,A,43,40.2,43.67,142,26.8,142.446666667,211,Y,Y,Y,N,Y,9999,99,99,,,,,,,12501,12932,Higashikagura
50,1570,小車,オグルマ,12,A,44,36.5,44.6083333333,142,17.7,142.295,62,Y,N,N,N,N,9999,99,99,,,,,,,12066,,Oguruma
51,1572,剣淵,ケンブチ,12,A,44,6.4,44.1066666667,142,21.2,142.353333333,138,Y,N,N,N,N,9999,99,99,,,,,,,12256,,Kenbuchi
52,1574,金山,カナヤマ,12,A,43,8.3,43.1383333333,142,25,142.416666667,284,Y,N,N,N,N,9999,99,99,,,,,,,12686,,Kanayama
53,1053,幌加内,ホロカナイ,12,A,44,0.6,44.01,142,9.6,142.16,159,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15076,15905,Horokanai
54,1279,朱鞠内,シュマリナイ,12,A,44,16.9,44.2816666667,142,9.7,142.161666667,255,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15041,15900,Shumarinai
55,0024,天塩,テシオ,13,A,44,53.6,44.8933333333,141,45.7,141.761666667,9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13061,13900,Teshio
56,0025,遠別,エンベツ,13,A,44,43.1,44.7183333333,141,48.4,141.806666667,7,Y,Y,Y,Y,N,9999,99,99,,,,,,,13086,,Enbetsu
57,47404,羽幌,ハボロ,13,S,44,21.8,44.3633333333,141,42,141.7,7.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13181,13907,Haboro
58,47406,留萌,ルモイ,13,S,43,56.7,43.945,141,37.9,141.631666667,23.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13277,13915,Rumoi
59,0028,増毛,マシケ,13,A,43,50.9,43.8483333333,141,30.6,141.51,20,Y,Y,Y,Y,N,9999,99,99,,,,,,,13311,,Mashike
60,1112,古丹別,コタンベツ,13,A,44,15.9,44.265,141,43.3,141.721666667,15,Y,N,N,N,Y,9999,99,99,,,,,,,13206,13910,Kotanbetsu
61,1213,焼尻,ヤギシリ,13,A,44,25.7,44.4283333333,141,25.3,141.421666667,38,Y,Y,Y,Y,N,9999,99,99,,,,,,,13146,,Yagishiri
62,1216,初山別,ショサンベツ,13,A,44,31.4,44.5233333333,141,46.2,141.77,27,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13121,13905,Shosanbetsu
63,1217,達布,タップ,13,A,44,2.9,44.0483333333,141,51.4,141.856666667,30,Y,Y,Y,Y,N,9999,99,99,,,,,,,13261,,Tappu
64,1218,幌糠,ホロヌカ,13,A,43,51.2,43.8533333333,141,45.6,141.76,20,Y,Y,Y,Y,Y,9999,99,99,,,,,,,13321,13920,Horonuka
65,0029,阿曽岩,アソイワ,14,A,43,18.2,43.3033333333,141,30.9,141.515,320,Y,N,N,N,N,2009,11,2,2009-11-02 00:00:00,,,,,,,,Asoiwa
66,0030,新篠津,シンシノツ,14,A,43,13.2,43.22,141,38.7,141.645,9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,14101,14910,Shinshinotsu
67,0031,山口,ヤマグチ,14,A,43,8.8,43.1466666667,141,13.3,141.221666667,5,Y,Y,Y,Y,N,9999,99,99,,,,,,,14116,,Yamaguchi
68,0032,手稲山,テイネヤマ,14,A,43,5,43.0833333333,141,12.1,141.201666667,568,Y,N,N,N,N,9999,99,99,,,,,,,14157,,Teineyama
69,47412,札幌,サツポロ,14,S,43,3.6,43.06,141,19.7,141.328333333,17.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,14163,14913,Satsuporo
70,0034,小金湯,コガネユ,14,A,42,57.8,42.9633333333,141,13,141.216666667,230,Y,N,N,N,Y,9999,99,99,,,,,,,14191,14915,Koganeyu
71,0035,恵庭島松,エニワシママツ,14,A,42,55.5,42.925,141,33.9,141.565,30,Y,Y,Y,Y,Y,9999,99,99,,,,,,,14206,14920,Eniwashimamatsu
72,0036,島松山,シママツヤマ,14,A,42,53.7,42.895,141,24.8,141.413333333,400,Y,N,N,N,N,2004,5,1,2004-05-01 00:00:00,,,,,,,,Shimamatsuyama
73,0037,支笏湖畔,シコツコハン,14,A,42,46.3,42.7716666667,141,24.4,141.406666667,290,Y,Y,Y,Y,N,9999,99,99,,,,,,,14286,,Shikotsukohan
74,1076,西野幌,ニシノッポロ,14,A,43,2.6,43.0433333333,141,32.4,141.54,22,Y,Y,Y,Y,N,2000,10,31,2000-10-31 00:00:00,,,,,,,,Nishinopporo
75,1085,石狩,イシカリ,14,A,43,11.6,43.1933333333,141,22.2,141.37,5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,14121,14905,Ishikari
76,1193,浜益,ハママス,14,A,43,34.9,43.5816666667,141,23.2,141.386666667,3,Y,Y,Y,Y,N,9999,99,99,,,,,,,14026,,Hamamasu
77,1194,厚田,アツタ,14,A,43,23.9,43.3983333333,141,26.2,141.436666667,5,Y,Y,Y,Y,Y,9999,99,99,,,,,,,14071,14900,Atsuta
78,1459,千歳,チトセ,14,A,42,46.5,42.775,141,41.5,141.691666667,22,Y,Y,Y,N,Y,9999,99,99,,,,,,,14296,14923,Chitose
79,1507,江別,エベツ,14,A,43,6.6,43.11,141,36.1,141.601666667,8,Y,Y,Y,Y,N,9999,99,99,,,,,,,14136,,Ebetsu
80,0038,石狩沼田,イシカリヌマタ,15,A,43,48.9,43.815,141,55.6,141.926666667,63,Y,Y,Y,Y,N,9999,99,99,,,,,,,15116,,Ishikarinumata
81,0039,深川,フカガワ,15,A,43,43.1,43.7183333333,142,4.4,142.073333333,55,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15161,15910,Fukagawa
82,0040,常盤山,トキワヤマ,15,A,43,45.6,43.76,142,12.1,142.201666667,560,Y,N,N,N,N,1984,10,3,1984-10-03 00:00:00,,,,,,,,Tokiwayama
83,0041,滝川,タキカワ,15,A,43,34.2,43.57,141,56.3,141.938333333,50,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15241,15930,Takikawa
84,0042,神威岳,カモイダケ,15,A,43,31.1,43.5183333333,142,0.3,142.005,455,Y,N,N,N,N,2005,10,31,2005-10-31 00:00:00,,,,,,,,Kamoidake
85,0043,芦別,アシベツ,15,A,43,31,43.5166666667,142,11.4,142.19,90,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15251,15915,Ashibetsu
86,0044,美唄,ビバイ,15,A,43,21.8,43.3633333333,141,49.6,141.826666667,16,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15321,15920,Bibai
87,47413,岩見沢,イワミザワ,15,S,43,12.7,43.2116666667,141,47.1,141.785,42.3,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15356,15923,Iwamizawa
88,0046,下桂沢,シモカツラザワ,15,A,43,15.4,43.2566666667,141,58.1,141.968333333,265,Y,N,N,N,N,2008,9,1,2008-09-01 00:00:00,,,,,,,,Shimokatsurazawa
89,0047,長沼,ナガヌマ,15,A,43,0.7,43.0116666667,141,41.6,141.693333333,13,Y,Y,Y,Y,N,9999,99,99,,,,,,,15431,,Naganuma
90,0048,丁未山,テイミヤマ,15,A,43,4.9,43.0816666667,141,57.4,141.956666667,663,Y,N,N,N,N,1983,7,29,1983-07-29 00:00:00,,,,,,,,Teimiyama
91,0049,夕張,ユウバリ,15,A,43,2.3,43.0383333333,141,57.4,141.956666667,293,Y,Y,Y,Y,Y,9999,99,99,,,,,,,15442,15925,Yuubari
92,0050,登川山,ノボリカワヤマ,15,A,42,55.4,42.9233333333,142,5.7,142.095,365,Y,N,N,N,N,1983,7,29,1983-07-29 00:00:00,,,,,,,,Noborikawayama
93,0999,月形,ツキガタ,15,A,43,19.8,43.33,141,37.1,141.618333333,50,Y,Y,Y,Y,N,9999,99,99,,,,,,,15311,,Tsukigata
94,1068,栗沢,クリサワ,15,A,43,7.3,43.1216666667,141,44.7,141.745,20,Y,N,N,N,N,9999,99,99,,,,,,,15391,,Kurisawa
95,1270,晩生内,オソキナイ,15,A,43,24.3,43.405,141,45,141.75,140,Y,N,N,N,N,1983,8,1,1983-08-01 00:00:00,,,,,,,,Osokinai
96,1271,桜山,サクラヤマ,15,A,43,40.9,43.6816666667,141,51,141.85,230,Y,N,N,N,N,2005,11,1,2005-11-01 00:00:00,,,,,,,,Sakurayama
97,1287,空知吉野,ソラチヨシノ,15,A,43,35.7,43.595,141,43.9,141.731666667,100,Y,Y,Y,Y,N,9999,99,99,,,,,,,15231,,Sorachiyoshino
98,1400,浦臼,ウラウス,15,A,43,25.7,43.4283333333,141,48.6,141.81,25,Y,N,N,N,N,9999,99,99,,,,,,,15276,,Urausu
99,1401,鹿島,カシマ,15,A,43,4.8,43.08,142,6,142.1,310,Y,N,N,N,N,9999,99,99,,,,,,,15451,,Kashima
100,1402,沼の沢,ヌマノサワ,15,A,42,57.6,42.96,142,1.2,142.02,161,Y,N,N,N,N,9999,99,99,,,,,,,15491,,Numanosawa
101,1419,新城,シンジョウ,15,A,43,36.7,43.6116666667,142,12.2,142.203333333,147,Y,N,N,N,N,9999,99,99,,,,,,,15216,,Shinjou
102,1566,赤平,アカビラ,15,A,43,33.2,43.5533333333,142,4,142.066666667,120,Y,N,N,N,N,9999,99,99,,,,,,,15247,,Akabira
103,1567,雨竜,ウリュウ,15,A,43,39.6,43.66,141,53.5,141.891666667,42,Y,N,N,N,N,9999,99,99,,,,,,,15197,,Uryuu
104,0051,美国,ビクニ,16,A,43,16.3,43.2716666667,140,33.8,140.563333333,75,Y,Y,Y,Y,N,9999,99,99,,,,,,,16026,,Bikuni
105,0052,余市,ヨイチ,16,A,43,10.9,43.1816666667,140,45.5,140.758333333,20,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16076,16905,Yoichi
106,47411,小樽,オタル,16,S,43,10.9,43.1816666667,141,1,141.016666667,24.9,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16091,16903,Otaru
107,0054,共和,キョウワ,16,A,42,58.8,42.98,140,36.2,140.603333333,15,Y,Y,Y,Y,Y,9999,99,99,,2008年11月12日までの地点名「岩内」,,,,,16156,16910,Kyouwa
108,0055,蘭越,ランコシ,16,A,42,48.6,42.81,140,32.5,140.541666667,39,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16206,16915,Rankoshi
109,47433,倶知安,クツチヤン,16,S,42,54,42.9,140,45.4,140.756666667,176.1,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16217,16917,Kutsuchiyan
110,0057,脇方台地,ワキカタダイチ,16,A,42,52.6,42.8766666667,140,56.7,140.945,525,Y,N,N,N,N,2004,5,1,2004-05-01 00:00:00,,,,,,,,Wakikatadaichi
111,47421,寿都,スツツ,16,S,42,47.7,42.795,140,13.4,140.223333333,33.4,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16252,16918,Sutsutsu
112,0059,桂台,カツラダイ,16,A,42,45.1,42.7516666667,140,37,140.616666667,333,Y,N,N,N,N,2010,3,11,2010-03-11 00:00:00,,,,,,,,Katsuradai
113,0060,喜茂別,キモベツ,16,A,42,47.6,42.7933333333,140,56.9,140.948333333,264,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16286,16920,Kimobetsu
114,0061,黒松内,クロマツナイ,16,A,42,39.8,42.6633333333,140,18.6,140.31,27,Y,Y,Y,Y,Y,9999,99,99,,,,,,,16321,16925,Kuromatsunai
115,1072,真狩,マッカリ,16,A,42,46.5,42.775,140,52.8,140.88,440,Y,Y,Y,Y,N,9999,99,99,,,,,,,16281,,Makkari
116,1091,赤井川,アカイガワ,16,A,43,5,43.0833333333,140,49.2,140.82,148,Y,N,N,N,Y,9999,99,99,,,,,,,16126,16900,Akaigawa
117,1208,神恵内,カモエナイ,16,A,43,8.7,43.145,140,25.4,140.423333333,50,Y,Y,Y,Y,N,9999,99,99,,,,,,,16061,,Kamoenai
118,1615,ニセコ,ニセコ,16,A,42,46.7,42.7783333333,140,40,140.666666667,113,Y,N,N,N,N,9999,99,99,,,,,,,16272,,Niseko
119,47405,雄武,オウム,17,S,44,34.8,44.58,142,57.8,142.963333333,13.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17036,17903,Oumu
120,0063,興部,オコッペ,17,A,44,28.2,44.47,143,6.5,143.108333333,8,Y,Y,Y,Y,N,9999,99,99,,,,,,,17076,,Okoppe
121,47435,紋別,モンベツ,17,S,44,20.7,44.345,143,21.3,143.355,15.8,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17112,17904,Monbetsu
122,0065,湧別,ユウベツ,17,A,44,12.8,44.2133333333,143,37.2,143.62,5,Y,Y,Y,Y,N,9999,99,99,,,,,,,17166,,Yuubetsu
123,0066,滝上,タキノウエ,17,A,44,10.6,44.1766666667,143,3.6,143.06,165,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17196,17905,Takinoue
124,0067,上藻別,カミモベツ,17,A,44,11.3,44.1883333333,143,20.2,143.336666667,85,Y,N,N,N,N,9999,99,99,,,,,,,17211,,Kamimobetsu
125,0068,常呂,トコロ,17,A,44,6.9,44.115,144,2.2,144.036666667,3,Y,Y,Y,Y,N,9999,99,99,,,,,,,17246,,Tokoro
126,0069,遠軽,エンガル,17,A,44,3.2,44.0533333333,143,32.4,143.54,80,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17306,17910,Engaru
127,0070,佐呂間,サロマ,17,A,43,59.1,43.985,143,43.4,143.723333333,59,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17316,17915,Saroma
128,47409,網走,アバシリ,17,S,44,1,44.0166666667,144,16.7,144.278333333,37.6,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17341,17917,Abashiri
129,0072,生田原,イクタハラ,17,A,43,55,43.9166666667,143,31.9,143.531666667,199,Y,Y,Y,Y,N,9999,99,99,,,,,,,17501,,Ikutahara
130,0073,仁頃山,ニコロヤマ,17,A,43,51.6,43.86,143,44.8,143.746666667,261,Y,N,N,N,N,9999,99,99,,,,,,,17512,,Nikoroyama
131,0074,北見,キタミ,17,A,43,48.6,43.81,143,52.5,143.875,114,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17521,17925,Kitami
132,0075,小清水,コシミズ,17,A,43,50.5,43.8416666667,144,29.1,144.485,52,Y,Y,Y,Y,N,9999,99,99,,,,,,,17546,,Koshimizu
133,0076,斜里,シャリ,17,A,43,53,43.8833333333,144,42,144.7,15,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17561,17940,Shari
134,0077,留辺蘂,ルベシベ,17,A,43,44.5,43.7416666667,143,27,143.45,325,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17596,17930,Rubeshibe
135,0078,留辺蘂山,ルベシベヤマ,17,A,43,45.5,43.7583333333,143,36.2,143.603333333,470,Y,N,N,N,N,1984,10,4,1984-10-04 00:00:00,,,,,,,,Rubeshibeyama
136,0079,美幌,ビホロ,17,A,43,46.2,43.77,144,10.3,144.171666667,60,Y,Y,Y,Y,N,9999,99,99,,,,,,,17631,,Bihoro
137,0080,藻琴山,モコトヤマ,17,A,43,43.6,43.7266666667,144,17.9,144.298333333,518,Y,N,N,N,N,2010,3,18,2010-03-18 00:00:00,,,,,,,,Mokotoyama
138,0081,チミケップ山,チミケップヤマ,17,A,43,38.7,43.645,143,53.4,143.89,600,Y,N,N,N,N,2005,9,27,2005-09-27 00:00:00,,,,,,,,Chimikeppuyama
139,0082,津別,ツベツ,17,A,43,42.1,43.7016666667,144,2,144.033333333,100,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17717,17950,Tsubetsu
140,0083,北見中山,キタミナカヤマ,17,A,43,35.9,43.5983333333,143,27.6,143.46,905,Y,N,N,N,N,2005,9,28,2005-09-28 00:00:00,,,,,,,,Kitaminakayama
141,0981,宇登呂,ウトロ,17,A,44,3.1,44.0516666667,144,58.9,144.981666667,144,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17351,17935,Utoro
142,1073,西興部,ニシオコッペ,17,A,44,19.9,44.3316666667,142,56.2,142.936666667,120,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17091,17900,Nishiokoppe
143,1092,白滝,シラタキ,17,A,43,51.9,43.865,143,9.2,143.153333333,475,Y,Y,Y,Y,Y,9999,99,99,,,,,,,17482,17955,Shirataki
144,1209,境野,サカイノ,17,A,43,42.4,43.7066666667,143,38.6,143.643333333,184,Y,Y,Y,Y,N,9999,99,99,,,,,,,17607,,Sakaino
145,1263,東藻琴,ヒガシモコト,17,A,43,50.4,43.84,144,17.1,144.285,58,Y,N,N,N,N,9999,99,99,,,,,,,17541,,Higashimokoto
146,1420,丸瀬布,マルセップ,17,A,43,57.2,43.9533333333,143,19.7,143.328333333,242,Y,N,N,N,N,9999,99,99,,,,,,,17386,,Maruseppu
147,1460,女満別,メマンベツ,17,A,43,52.8,43.88,144,9.8,144.163333333,33,Y,Y,Y,N,Y,9999,99,99,,,,,,,17531,17965,Memanbetsu
148,1487,紋別小向,モンベツコムカイ,17,A,44,18.2,44.3033333333,143,24.2,143.403333333,18,Y,Y,Y,N,Y,9999,99,99,,,,,,,17116,17960,Monbetsukomukai
149,1568,津別二又,ツベツフタマタ,17,A,43,35,43.5833333333,143,51.9,143.865,221,Y,N,N,N,N,9999,99,99,,,,,,,17776,,Tsubetsufutamata
150,1569,置戸常元,オケトツネモト,17,A,43,37.2,43.62,143,26.4,143.44,368,Y,N,N,N,N,9999,99,99,,,,,,,17686,,Oketotsunemoto
151,1617,山園,ヤマゾノ,17,A,43,44.6,43.7433333333,144,20.2,144.336666667,361,Y,N,N,N,N,9999,99,99,,,,,,,17642,,Yamazono
152,0084,羅臼,ラウス,18,A,44,1.4,44.0233333333,145,11.2,145.186666667,15,Y,Y,Y,Y,Y,9999,99,99,,,,,,,18038,18925,Rausu
153,0085,標津,シベツ,18,A,43,39.7,43.6616666667,145,7.9,145.131666667,3,Y,Y,Y,Y,N,9999,99,99,,,,,,,18136,,Shibetsu
154,0086,中標津,ナカシベツ,18,A,43,32.6,43.5433333333,144,58.7,144.978333333,50,Y,Y,Y,Y,Y,9999,99,99,,,,,,,18171,18910,Nakashibetsu
155,0087,計根別,ケネベツ,18,A,43,29.1,43.485,144,48.5,144.808333333,110,Y,Y,Y,Y,N,2003,10,16,2003-10-16 00:00:00,,,,,,,,Kenebetsu
156,0088,別海,ベツカイ,18,A,43,22.9,43.3816666667,145,7.1,145.118333333,23,Y,Y,Y,Y,Y,9999,99,99,,,,,,,18256,18915,Betsukai
157,47420,根室,ネムロ,18,S,43,19.8,43.33,145,35.1,145.585,25.2,Y,Y,Y,Y,Y,9999,99,99,,,,,,,18273,18917,Nemuro
158,1056,納沙布,ノサップ,18,A,43,23.6,43.3933333333,145,45.5,145.758333333,12,Y,Y,Y,Y,N,9999,99,99,,,,,,,18281,,Nosappu
159,1196,厚床,アットコ,18,A,43,13.9,43.2316666667,145,15.5,145.258333333,40,Y,Y,Y,Y,Y,9999,99,99,,,,,,,18311,18920,Attoko
