date,pdo
1978-11-01,-0.07
1978-12-01,-0.43
1979-01-01,-0.58
1979-02-01,-1.33
1979-03-01,0.3
1979-04-01,0.89
1979-05-01,1.09
1979-06-01,0.17
1979-07-01,0.84
1979-08-01,0.52
1979-09-01,1.0
1979-10-01,1.06
1979-11-01,0.48
1979-12-01,-0.42
1980-01-01,-0.11
1980-02-01,1.32
1980-03-01,1.09
1980-04-01,1.49
1980-05-01,1.2
1980-06-01,-0.22
1980-07-01,0.23
1980-08-01,0.51
1980-09-01,0.1
1980-10-01,1.35
1980-11-01,0.37
1980-12-01,-0.1
1981-01-01,0.59
1981-02-01,1.46
1981-03-01,0.99
1981-04-01,1.45
1981-05-01,1.75
1981-06-01,1.69
1981-07-01,0.84
1981-08-01,0.18
1981-09-01,0.42
1981-10-01,0.18
1981-11-01,0.8
1981-12-01,0.67
1982-01-01,0.34
1982-02-01,0.2
1982-03-01,0.19
1982-04-01,-0.19
1982-05-01,-0.58
1982-06-01,-0.78
1982-07-01,0.58
1982-08-01,0.39
1982-09-01,0.84
1982-10-01,0.37
1982-11-01,-0.25
1982-12-01,0.26
1983-01-01,0.56
1983-02-01,1.14
1983-03-01,2.11
1983-04-01,1.87
1983-05-01,1.8
1983-06-01,2.36
1983-07-01,3.51
1983-08-01,1.85
1983-09-01,0.91
1983-10-01,0.96
1983-11-01,1.02
1983-12-01,1.69
1984-01-01,1.5
1984-02-01,1.21
1984-03-01,1.77
1984-04-01,1.52
1984-05-01,1.3
1984-06-01,0.18
1984-07-01,-0.18
1984-08-01,-0.03
1984-09-01,0.67
1984-10-01,0.58
1984-11-01,0.71
1984-12-01,0.82
1985-01-01,1.27
1985-02-01,0.94
1985-03-01,0.57
1985-04-01,0.19
1985-05-01,0.0
1985-06-01,0.18
1985-07-01,1.07
1985-08-01,0.81
1985-09-01,0.44
1985-10-01,0.29
1985-11-01,-0.75
1985-12-01,0.38
1986-01-01,1.12
1986-02-01,1.61
1986-03-01,2.18
1986-04-01,1.55
1986-05-01,1.16
1986-06-01,0.89
1986-07-01,1.38
1986-08-01,0.22
1986-09-01,0.22
1986-10-01,1.0
1986-11-01,1.77
1986-12-01,1.77
1987-01-01,1.88
1987-02-01,1.75
1987-03-01,2.1
1987-04-01,2.16
1987-05-01,1.85
1987-06-01,0.73
1987-07-01,2.01
1987-08-01,2.83
1987-09-01,2.44
1987-10-01,1.36
1987-11-01,1.47
1987-12-01,1.27
1988-01-01,0.93
1988-02-01,1.24
1988-03-01,1.42
1988-04-01,0.94
1988-05-01,1.2
1988-06-01,0.74
1988-07-01,0.64
1988-08-01,0.19
1988-09-01,-0.37
1988-10-01,-0.1
1988-11-01,-0.02
1988-12-01,-0.43
1989-01-01,-0.95
1989-02-01,-1.02
1989-03-01,-0.83
1989-04-01,-0.32
1989-05-01,0.47
1989-06-01,0.36
1989-07-01,0.83
1989-08-01,0.09
1989-09-01,0.05
1989-10-01,-0.12
1989-11-01,-0.5
1989-12-01,-0.21
1990-01-01,-0.3
1990-02-01,-0.65
1990-03-01,-0.62
1990-04-01,0.27
1990-05-01,0.44
1990-06-01,0.44
1990-07-01,0.27
1990-08-01,0.11
1990-09-01,0.38
1990-10-01,-0.69
1990-11-01,-1.69
1990-12-01,-2.23
1991-01-01,-2.02
1991-02-01,-1.19
1991-03-01,-0.74
1991-04-01,-1.01
1991-05-01,-0.51
1991-06-01,-1.47
1991-07-01,-0.1
1991-08-01,0.36
1991-09-01,0.65
1991-10-01,0.49
1991-11-01,0.42
1991-12-01,0.09
1992-01-01,0.05
1992-02-01,0.31
1992-03-01,0.67
1992-04-01,0.75
1992-05-01,1.54
1992-06-01,1.26
1992-07-01,1.9
1992-08-01,1.44
1992-09-01,0.83
1992-10-01,0.93
1992-11-01,0.93
1992-12-01,0.53
1993-01-01,0.05
1993-02-01,0.19
1993-03-01,0.76
1993-04-01,1.21
1993-05-01,2.13
1993-06-01,2.34
1993-07-01,2.35
1993-08-01,2.69
1993-09-01,1.56
1993-10-01,1.41
1993-11-01,1.24
1993-12-01,1.07
1994-01-01,1.21
1994-02-01,0.59
1994-03-01,0.8
1994-04-01,1.05
1994-05-01,1.23
1994-06-01,0.46
1994-07-01,0.06
1994-08-01,-0.79
1994-09-01,-1.36
1994-10-01,-1.32
1994-11-01,-1.96
1994-12-01,-1.79
1995-01-01,-0.49
1995-02-01,0.46
1995-03-01,0.75
1995-04-01,0.83
1995-05-01,1.46
1995-06-01,1.27
1995-07-01,1.71
1995-08-01,0.21
1995-09-01,1.16
1995-10-01,0.47
1995-11-01,-0.28
1995-12-01,0.16
1996-01-01,0.59
1996-02-01,0.75
1996-03-01,1.01
1996-04-01,1.46
1996-05-01,2.18
1996-06-01,1.1
1996-07-01,0.77
1996-08-01,-0.14
1996-09-01,0.24
1996-10-01,-0.33
1996-11-01,0.09
1996-12-01,-0.03
1997-01-01,0.23
1997-02-01,0.28
1997-03-01,0.65
1997-04-01,1.05
1997-05-01,1.83
1997-06-01,2.76
1997-07-01,2.35
1997-08-01,2.79
1997-09-01,2.19
1997-10-01,1.61
1997-11-01,1.12
1997-12-01,0.67
1998-01-01,0.83
1998-02-01,1.56
1998-03-01,2.01
1998-04-01,1.27
1998-05-01,0.7
1998-06-01,0.4
1998-07-01,-0.04
1998-08-01,-0.22
1998-09-01,-1.21
1998-10-01,-1.39
1998-11-01,-0.52
1998-12-01,-0.44
1999-01-01,-0.32
1999-02-01,-0.66
1999-03-01,-0.33
1999-04-01,-0.41
1999-05-01,-0.68
1999-06-01,-1.3
1999-07-01,-0.66
1999-08-01,-0.96
1999-09-01,-1.53
1999-10-01,-2.23
1999-11-01,-2.05
1999-12-01,-1.63
2000-01-01,-2.0
2000-02-01,-0.83
2000-03-01,0.29
2000-04-01,0.35
2000-05-01,-0.05
2000-06-01,-0.44
2000-07-01,-0.66
2000-08-01,-1.19
2000-09-01,-1.24
2000-10-01,-1.3
2000-11-01,-0.53
2000-12-01,0.52
2001-01-01,0.6
2001-02-01,0.29
2001-03-01,0.45
2001-04-01,-0.31
2001-05-01,-0.3
2001-06-01,-0.47
2001-07-01,-1.31
2001-08-01,-0.77
2001-09-01,-1.37
2001-10-01,-1.37
2001-11-01,-1.26
2001-12-01,-0.93
2002-01-01,0.27
2002-02-01,-0.64
2002-03-01,-0.43
2002-04-01,-0.32
2002-05-01,-0.63
2002-06-01,-0.35
2002-07-01,-0.31
2002-08-01,0.6
2002-09-01,0.43
2002-10-01,0.42
2002-11-01,1.51
2002-12-01,2.1
2003-01-01,2.09
2003-02-01,1.75
2003-03-01,1.51
2003-04-01,1.18
2003-05-01,0.89
2003-06-01,0.68
2003-07-01,0.96
2003-08-01,0.88
2003-09-01,0.01
2003-10-01,0.83
2003-11-01,0.52
2003-12-01,0.33
2004-01-01,0.43
2004-02-01,0.48
2004-03-01,0.61
2004-04-01,0.57
2004-05-01,0.88
2004-06-01,0.04
2004-07-01,0.44
2004-08-01,0.85
2004-09-01,0.75
2004-10-01,-0.11
2004-11-01,-0.63
2004-12-01,-0.17
2005-01-01,0.44
2005-02-01,0.81
2005-03-01,1.36
2005-04-01,1.03
2005-05-01,1.86
2005-06-01,1.17
2005-07-01,0.66
2005-08-01,0.25
2005-09-01,-0.46
2005-10-01,-1.32
2005-11-01,-1.5
2005-12-01,0.2
2006-01-01,1.03
2006-02-01,0.66
2006-03-01,0.05
2006-04-01,0.4
2006-05-01,0.48
2006-06-01,1.04
2006-07-01,0.35
2006-08-01,-0.65
2006-09-01,-0.94
2006-10-01,-0.05
2006-11-01,-0.22
2006-12-01,0.14
2007-01-01,0.01
2007-02-01,0.04
2007-03-01,-0.36
2007-04-01,0.16
2007-05-01,-0.1
2007-06-01,0.09
2007-07-01,0.78
2007-08-01,0.5
2007-09-01,-0.36
2007-10-01,-1.45
2007-11-01,-1.08
2007-12-01,-0.58
2008-01-01,-1.0
2008-02-01,-0.77
2008-03-01,-0.71
2008-04-01,-1.52
2008-05-01,-1.37
2008-06-01,-1.34
2008-07-01,-1.67
2008-08-01,-1.7
2008-09-01,-1.55
2008-10-01,-1.76
2008-11-01,-1.25
2008-12-01,-0.87
2009-01-01,-1.4
2009-02-01,-1.55
2009-03-01,-1.59
2009-04-01,-1.65
2009-05-01,-0.88
2009-06-01,-0.31
2009-07-01,-0.53
2009-08-01,0.09
2009-09-01,0.52
2009-10-01,0.27
2009-11-01,-0.4
2009-12-01,0.08
2010-01-01,0.83
2010-02-01,0.82
2010-03-01,0.44
2010-04-01,0.78
2010-05-01,0.62
2010-06-01,-0.22
2010-07-01,-1.05
2010-08-01,-1.27
2010-09-01,-1.61
2010-10-01,-1.06
2010-11-01,-0.82
2010-12-01,-1.21
2011-01-01,-0.92
2011-02-01,-0.83
2011-03-01,-0.69
2011-04-01,-0.42
2011-05-01,-0.37
2011-06-01,-0.69
2011-07-01,-1.86
2011-08-01,-1.74
2011-09-01,-1.79
2011-10-01,-1.34
2011-11-01,-2.33
2011-12-01,-1.79
2012-01-01,-1.38
2012-02-01,-0.85
2012-03-01,-1.05
2012-04-01,-0.27
2012-05-01,-1.26
2012-06-01,-0.87
2012-07-01,-1.52
2012-08-01,-1.93
2012-09-01,-2.21
2012-10-01,-0.79
2012-11-01,-0.59
2012-12-01,-0.48
2013-01-01,-0.13
2013-02-01,-0.43
2013-03-01,-0.63
2013-04-01,-0.16
2013-05-01,0.08
2013-06-01,-0.78
2013-07-01,-1.25
2013-08-01,-1.04
2013-09-01,-0.48
2013-10-01,-0.87
2013-11-01,-0.11
2013-12-01,-0.41
2014-01-01,0.3
2014-02-01,0.38
2014-03-01,0.97
2014-04-01,1.13
2014-05-01,1.8
2014-06-01,0.82
2014-07-01,0.7
2014-08-01,0.67
2014-09-01,1.08
2014-10-01,1.49
2014-11-01,1.72
2014-12-01,2.51
2015-01-01,2.45
2015-02-01,2.3
2015-03-01,2.0
2015-04-01,1.44
2015-05-01,1.2
2015-06-01,1.54
2015-07-01,1.84
2015-08-01,1.56
2015-09-01,1.94
2015-10-01,1.47
2015-11-01,0.86
2015-12-01,1.01
2016-01-01,1.53
2016-02-01,1.75
2016-03-01,2.4
2016-04-01,2.62
2016-05-01,2.35
2016-06-01,2.03
2016-07-01,1.25
2016-08-01,0.52
2016-09-01,0.45
2016-10-01,0.56
2016-11-01,1.88
2016-12-01,1.17
2017-01-01,0.77
2017-02-01,0.7
2017-03-01,0.74
2017-04-01,1.12
2017-05-01,0.88
2017-06-01,0.79
2017-07-01,0.1
2017-08-01,0.09
2017-09-01,0.32
2017-10-01,0.05
2017-11-01,0.15
2017-12-01,0.5
2018-01-01,0.7
2018-02-01,0.37
2018-03-01,-0.05
2018-04-01,0.11
2018-05-01,0.11
2018-06-01,-0.04
2018-07-01,0.11
2018-08-01,0.18
2018-09-01,0.09
2018-10-01,0.26
2018-11-01,-0.05
2018-12-01,0.52
2019-01-01,0.66
2019-02-01,0.46
2019-03-01,0.37
2019-04-01,1.07
2019-05-01,1.03
2019-06-01,1.09
2019-07-01,1.03
2019-08-01,0.38
2019-09-01,0.41
2019-10-01,-0.45
2019-11-01,0.15
2019-12-01,0.97
2020-01-01,-0.23
2020-02-01,-0.68
2020-03-01,-0.82
2020-04-01,-0.57
2020-05-01,0.09
2020-06-01,-0.08
2020-07-01,-0.38
2020-08-01,-0.28
2020-09-01,-0.7
2020-10-01,-0.69
2020-11-01,-1.12
2020-12-01,-0.9
2021-01-01,-0.16
2021-02-01,-0.54
2021-03-01,-1.17
2021-04-01,-0.91
2021-05-01,-0.94
2021-06-01,-1.18
2021-07-01,-1.87
2021-08-01,-1.12
2021-09-01,-1.53
2021-10-01,-2.55
2021-11-01,-2.52
2021-12-01,-2.0
2022-01-01,-1.24
2022-02-01,-1.08
2022-03-01,-1.0
2022-04-01,-1.51
2022-05-01,-1.92
2022-06-01,-1.21
2022-07-01,
2022-08-01,
2022-09-01,
2022-10-01,
2022-11-01,
2022-12-01,
