date,ammsst
1955-05-01,1.61
1955-06-01,2.14
1955-07-01,2.7
1955-08-01,3.05
1955-09-01,2.93
1955-10-01,3.55
1955-11-01,4.25
1955-12-01,4.57
1956-01-01,4.38
1956-02-01,3.56
1956-03-01,2.5
1956-04-01,2.02
1956-05-01,0.16
1956-06-01,-1.4
1956-07-01,-0.47
1956-08-01,-0.25
1956-09-01,-0.67
1956-10-01,0.05
1956-11-01,0.39
1956-12-01,0.74
1957-01-01,-1.03
1957-02-01,-2.24
1957-03-01,-1.54
1957-04-01,-2.32
1957-05-01,-1.4
1957-06-01,-0.44
1957-07-01,0.05
1957-08-01,1.0
1957-09-01,1.34
1957-10-01,1.62
1957-11-01,0.56
1957-12-01,0.1
1958-01-01,1.41
1958-02-01,4.02
1958-03-01,7.13
1958-04-01,8.23
1958-05-01,7.87
1958-06-01,7.32
1958-07-01,5.03
1958-08-01,3.87
1958-09-01,3.66
1958-10-01,1.95
1958-11-01,1.51
1958-12-01,1.03
1959-01-01,1.87
1959-02-01,1.81
1959-03-01,-0.37
1959-04-01,-1.04
1959-05-01,-0.81
1959-06-01,-0.87
1959-07-01,-0.34
1959-08-01,-0.45
1959-09-01,-0.24
1959-10-01,-0.71
1959-11-01,-0.74
1959-12-01,-0.86
1960-01-01,0.26
1960-02-01,1.65
1960-03-01,1.44
1960-04-01,2.0
1960-05-01,2.44
1960-06-01,2.54
1960-07-01,1.65
1960-08-01,1.08
1960-09-01,0.52
1960-10-01,0.17
1960-11-01,0.25
1960-12-01,-0.29
1961-01-01,-0.16
1961-02-01,-0.33
1961-03-01,0.41
1961-04-01,1.79
1961-05-01,2.11
1961-06-01,0.74
1961-07-01,1.15
1961-08-01,1.27
1961-09-01,0.18
1961-10-01,-0.54
1961-11-01,-0.21
1961-12-01,1.51
1962-01-01,1.96
1962-02-01,1.96
1962-03-01,3.26
1962-04-01,3.15
1962-05-01,2.82
1962-06-01,1.3
1962-07-01,2.44
1962-08-01,1.56
1962-09-01,0.98
1962-10-01,0.41
1962-11-01,1.42
1962-12-01,2.91
1963-01-01,3.15
1963-02-01,3.07
1963-03-01,1.42
1963-04-01,1.76
1963-05-01,-0.21
1963-06-01,-1.12
1963-07-01,-1.14
1963-08-01,-2.04
1963-09-01,-3.19
1963-10-01,-2.34
1963-11-01,-2.21
1963-12-01,-2.96
1964-01-01,-1.59
1964-02-01,0.21
1964-03-01,0.74
1964-04-01,0.17
1964-05-01,1.5
1964-06-01,1.34
1964-07-01,0.25
1964-08-01,0.09
1964-09-01,0.34
1964-10-01,0.28
1964-11-01,0.95
1964-12-01,1.08
1965-01-01,-0.62
1965-02-01,-1.26
1965-03-01,-1.02
1965-04-01,-1.4
1965-05-01,-1.84
1965-06-01,-2.26
1965-07-01,-1.51
1965-08-01,-2.35
1965-09-01,-2.66
1965-10-01,-2.64
1965-11-01,-2.32
1965-12-01,-1.35
1966-01-01,-0.35
1966-02-01,2.12
1966-03-01,3.01
1966-04-01,3.3
1966-05-01,2.26
1966-06-01,0.82
1966-07-01,0.39
1966-08-01,0.3
1966-09-01,0.45
1966-10-01,0.11
1966-11-01,0.33
1966-12-01,0.09
1967-01-01,0.84
1967-02-01,0.1
1967-03-01,0.2
1967-04-01,1.3
1967-05-01,0.84
1967-06-01,0.01
1967-07-01,0.43
1967-08-01,0.08
1967-09-01,0.18
1967-10-01,-0.43
1967-11-01,-1.82
1967-12-01,-2.17
1968-01-01,-0.99
1968-02-01,0.68
1968-03-01,0.67
1968-04-01,-0.07
1968-05-01,-0.14
1968-06-01,-1.45
1968-07-01,-1.79
1968-08-01,-1.9
1968-09-01,-1.62
1968-10-01,-1.44
1968-11-01,-1.13
1968-12-01,-0.68
1969-01-01,1.11
1969-02-01,2.86
1969-03-01,5.19
1969-04-01,3.83
1969-05-01,3.17
1969-06-01,1.89
1969-07-01,1.61
1969-08-01,0.54
1969-09-01,-0.26
1969-10-01,-0.52
1969-11-01,0.52
1969-12-01,1.88
1970-01-01,3.81
1970-02-01,4.2
1970-03-01,5.33
1970-04-01,4.12
1970-05-01,3.58
1970-06-01,2.48
1970-07-01,1.2
1970-08-01,0.86
1970-09-01,-0.02
1970-10-01,0.31
1970-11-01,0.51
1970-12-01,0.97
1971-01-01,0.73
1971-02-01,-0.17
1971-03-01,-1.0
1971-04-01,-2.61
1971-05-01,-3.56
1971-06-01,-3.8
1971-07-01,-1.96
1971-08-01,-2.47
1971-09-01,-1.56
1971-10-01,-0.26
1971-11-01,0.73
1971-12-01,-0.44
1972-01-01,-1.63
1972-02-01,-2.15
1972-03-01,-3.12
1972-04-01,-3.04
1972-05-01,-3.32
1972-06-01,-4.31
1972-07-01,-4.77
1972-08-01,-4.91
1972-09-01,-4.75
1972-10-01,-4.5
1972-11-01,-4.93
1972-12-01,-6.82
1973-01-01,-6.53
1973-02-01,-5.69
1973-03-01,-4.97
1973-04-01,-3.62
1973-05-01,-2.54
1973-06-01,-2.47
1973-07-01,-2.15
1973-08-01,-2.06
1973-09-01,-2.02
1973-10-01,-2.4
1973-11-01,-1.91
1973-12-01,-1.17
1974-01-01,-1.49
1974-02-01,-2.91
1974-03-01,-4.81
1974-04-01,-6.31
1974-05-01,-6.22
1974-06-01,-4.9
1974-07-01,-3.89
1974-08-01,-3.66
1974-09-01,-3.9
1974-10-01,-3.46
1974-11-01,-4.12
1974-12-01,-3.91
1975-01-01,-2.14
1975-02-01,-2.4
1975-03-01,-3.01
1975-04-01,-2.42
1975-05-01,-3.16
1975-06-01,-2.9
1975-07-01,-1.17
1975-08-01,-0.55
1975-09-01,-1.13
1975-10-01,-1.35
1975-11-01,-1.67
1975-12-01,-0.62
1976-01-01,-0.02
1976-02-01,-1.1
1976-03-01,-2.74
1976-04-01,-2.43
1976-05-01,-2.81
1976-06-01,-2.12
1976-07-01,0.02
1976-08-01,1.56
1976-09-01,1.4
1976-10-01,0.82
1976-11-01,-0.66
1976-12-01,-2.15
1977-01-01,-1.98
1977-02-01,-1.57
1977-03-01,-0.83
1977-04-01,-0.31
1977-05-01,-0.08
1977-06-01,0.03
1977-07-01,-0.85
1977-08-01,-1.73
1977-09-01,-2.02
1977-10-01,-2.41
1977-11-01,-2.4
1977-12-01,-1.95
1978-01-01,0.23
1978-02-01,2.0
1978-03-01,3.2
1978-04-01,3.8
1978-05-01,2.05
1978-06-01,-0.39
1978-07-01,-1.32
1978-08-01,-0.54
1978-09-01,0.17
1978-10-01,0.51
1978-11-01,0.05
1978-12-01,-1.09
1979-01-01,1.15
1979-02-01,2.5
1979-03-01,2.37
1979-04-01,2.16
1979-05-01,2.42
1979-06-01,1.96
1979-07-01,1.16
1979-08-01,-0.42
1979-09-01,-0.89
1979-10-01,-0.26
1979-11-01,0.08
1979-12-01,0.89
1980-01-01,2.99
1980-02-01,3.35
1980-03-01,3.01
1980-04-01,4.19
1980-05-01,5.1
1980-06-01,3.64
1980-07-01,1.53
1980-08-01,1.73
1980-09-01,0.89
1980-10-01,0.22
1980-11-01,0.68
1980-12-01,0.75
1981-01-01,1.72
1981-02-01,2.78
1981-03-01,5.09
1981-04-01,4.03
1981-05-01,3.68
1981-06-01,2.19
1981-07-01,1.41
1981-08-01,0.32
1981-09-01,0.02
1981-10-01,-0.9
1981-11-01,-0.17
1981-12-01,1.91
1982-01-01,0.37
1982-02-01,-0.22
1982-03-01,-0.45
1982-04-01,-0.68
1982-05-01,0.31
1982-06-01,-0.3
1982-07-01,-0.92
1982-08-01,-0.75
1982-09-01,-2.21
1982-10-01,-3.12
1982-11-01,-4.18
1982-12-01,-5.89
1983-01-01,-5.87
1983-02-01,-3.18
1983-03-01,1.56
1983-04-01,2.41
1983-05-01,1.11
1983-06-01,1.25
1983-07-01,0.67
1983-08-01,-0.98
1983-09-01,-1.12
1983-10-01,-0.4
1983-11-01,0.42
1983-12-01,0.52
1984-01-01,-1.62
1984-02-01,-2.97
1984-03-01,-3.43
1984-04-01,-2.76
1984-05-01,-1.77
1984-06-01,-2.65
1984-07-01,-3.17
1984-08-01,-3.57
1984-09-01,-3.43
1984-10-01,-3.14
1984-11-01,-3.12
1984-12-01,-2.68
1985-01-01,-3.04
1985-02-01,-2.71
1985-03-01,-3.92
1985-04-01,-3.9
1985-05-01,-4.94
1985-06-01,-0.62
1985-07-01,0.12
1985-08-01,-0.26
1985-09-01,-0.39
1985-10-01,-1.1
1985-11-01,-0.23
1985-12-01,-1.88
1986-01-01,-3.85
1986-02-01,-4.4
1986-03-01,-4.39
1986-04-01,-5.2
1986-05-01,-4.42
1986-06-01,-4.37
1986-07-01,-3.02
1986-08-01,-2.75
1986-09-01,-1.68
1986-10-01,-2.34
1986-11-01,-3.41
1986-12-01,-5.95
1987-01-01,-3.66
1987-02-01,-2.74
1987-03-01,0.18
1987-04-01,0.93
1987-05-01,0.57
1987-06-01,2.34
1987-07-01,0.22
1987-08-01,0.78
1987-09-01,0.38
1987-10-01,0.58
1987-11-01,-0.68
1987-12-01,1.1
1988-01-01,-1.36
1988-02-01,-2.51
1988-03-01,-0.66
1988-04-01,1.39
1988-05-01,0.48
1988-06-01,1.71
1988-07-01,1.74
1988-08-01,0.47
1988-09-01,0.2
1988-10-01,-0.28
1988-11-01,0.08
1988-12-01,-0.21
1989-01-01,-2.6
1989-02-01,-2.84
1989-03-01,-4.84
1989-04-01,-5.79
1989-05-01,-4.45
1989-06-01,0.35
1989-07-01,2.14
1989-08-01,2.68
1989-09-01,0.52
1989-10-01,0.54
1989-11-01,-0.24
1989-12-01,1.63
1990-01-01,-0.18
1990-02-01,-1.27
1990-03-01,-1.6
1990-04-01,-0.8
1990-05-01,0.61
1990-06-01,-0.3
1990-07-01,0.91
1990-08-01,2.1
1990-09-01,2.08
1990-10-01,1.35
1990-11-01,0.83
1990-12-01,-0.54
1991-01-01,-1.29
1991-02-01,-1.19
1991-03-01,-2.06
1991-04-01,-3.57
1991-05-01,-4.43
1991-06-01,-5.03
1991-07-01,-4.12
1991-08-01,-2.15
1991-09-01,0.38
1991-10-01,-1.31
1991-11-01,-1.22
1991-12-01,-2.19
1992-01-01,-1.47
1992-02-01,-0.98
1992-03-01,-0.75
1992-04-01,-1.21
1992-05-01,-0.34
1992-06-01,0.02
1992-07-01,0.68
1992-08-01,0.08
1992-09-01,-0.02
1992-10-01,0.06
1992-11-01,-0.71
1992-12-01,-1.34
1993-01-01,-2.26
1993-02-01,-2.51
1993-03-01,-3.14
1993-04-01,-3.26
1993-05-01,-2.3
1993-06-01,-0.88
1993-07-01,-2.55
1993-08-01,-2.52
1993-09-01,-2.64
1993-10-01,-3.22
1993-11-01,-5.27
1993-12-01,-5.93
1994-01-01,-6.23
1994-02-01,-5.47
1994-03-01,-5.56
1994-04-01,-4.92
1994-05-01,-4.82
1994-06-01,-3.49
1994-07-01,-2.31
1994-08-01,-2.24
1994-09-01,-1.71
1994-10-01,-1.42
1994-11-01,-1.7
1994-12-01,-2.24
1995-01-01,-1.37
1995-02-01,-1.66
1995-03-01,-3.49
1995-04-01,-1.58
1995-05-01,0.76
1995-06-01,1.33
1995-07-01,2.48
1995-08-01,2.99
1995-09-01,2.91
1995-10-01,3.46
1995-11-01,4.66
1995-12-01,4.35
1996-01-01,5.71
1996-02-01,2.64
1996-03-01,0.09
1996-04-01,0.02
1996-05-01,-0.15
1996-06-01,-1.58
1996-07-01,-1.27
1996-08-01,-0.58
1996-09-01,0.53
1996-10-01,1.17
1996-11-01,1.42
1996-12-01,2.32
1997-01-01,4.26
1997-02-01,3.32
1997-03-01,2.7
1997-04-01,2.11
1997-05-01,2.52
1997-06-01,2.32
1997-07-01,0.23
1997-08-01,-1.4
1997-09-01,-1.16
1997-10-01,-0.15
1997-11-01,-0.35
1997-12-01,-1.44
1998-01-01,-1.55
1998-02-01,1.52
1998-03-01,2.17
1998-04-01,0.74
1998-05-01,1.2
1998-06-01,1.42
1998-07-01,0.85
1998-08-01,1.89
1998-09-01,1.35
1998-10-01,4.11
1998-11-01,4.39
1998-12-01,3.97
1999-01-01,1.36
1999-02-01,-0.3
1999-03-01,-2.06
1999-04-01,-2.8
1999-05-01,-1.87
1999-06-01,-0.83
1999-07-01,-1.1
1999-08-01,0.94
1999-09-01,2.35
1999-10-01,2.2
1999-11-01,2.29
1999-12-01,3.66
2000-01-01,1.19
2000-02-01,-0.38
2000-03-01,0.31
2000-04-01,-1.41
2000-05-01,-1.99
2000-06-01,-2.3
2000-07-01,-1.05
2000-08-01,-0.38
2000-09-01,-0.12
2000-10-01,0.15
2000-11-01,0.39
2000-12-01,0.24
2001-01-01,0.4
2001-02-01,-0.06
2001-03-01,0.15
2001-04-01,-1.45
2001-05-01,-2.08
2001-06-01,-0.64
2001-07-01,0.41
2001-08-01,0.41
2001-09-01,2.93
2001-10-01,3.31
2001-11-01,5.03
2001-12-01,5.54
2002-01-01,6.05
2002-02-01,4.3
2002-03-01,2.14
2002-04-01,-2.38
2002-05-01,-4.39
2002-06-01,-4.43
2002-07-01,-3.56
2002-08-01,-1.99
2002-09-01,-0.73
2002-10-01,1.14
2002-11-01,0.91
2002-12-01,-0.45
2003-01-01,0.13
2003-02-01,-1.6
2003-03-01,-3.1
2003-04-01,-1.79
2003-05-01,-1.51
2003-06-01,-0.11
2003-07-01,-0.16
2003-08-01,1.37
2003-09-01,2.67
2003-10-01,3.82
2003-11-01,2.17
2003-12-01,1.98
2004-01-01,2.87
2004-02-01,3.07
2004-03-01,2.17
2004-04-01,2.72
2004-05-01,0.9
2004-06-01,1.22
2004-07-01,1.82
2004-08-01,3.7
2004-09-01,2.96
2004-10-01,4.1
2004-11-01,4.88
2004-12-01,3.78
2005-01-01,2.39
2005-02-01,1.43
2005-03-01,2.27
2005-04-01,3.82
2005-05-01,4.58
2005-06-01,5.55
2005-07-01,4.03
2005-08-01,3.31
2005-09-01,4.08
2005-10-01,3.63
2005-11-01,3.69
2005-12-01,5.29
2006-01-01,4.17
2006-02-01,1.2
2006-03-01,-0.26
2006-04-01,1.3
2006-05-01,0.83
2006-06-01,0.07
2006-07-01,-0.51
2006-08-01,1.27
2006-09-01,1.99
2006-10-01,3.69
2006-11-01,4.49
2006-12-01,2.47
2007-01-01,2.24
2007-02-01,2.96
2007-03-01,1.98
2007-04-01,0.99
2007-05-01,-0.2
2007-06-01,-0.48
2007-07-01,-0.99
2007-08-01,-0.24
2007-09-01,0.2
2007-10-01,2.42
2007-11-01,3.5
2007-12-01,2.58
2008-01-01,2.15
2008-02-01,0.98
2008-03-01,0.12
2008-04-01,-1.87
2008-05-01,-0.64
2008-06-01,-0.59
2008-07-01,-0.41
2008-08-01,0.08
2008-09-01,2.09
2008-10-01,2.81
2008-11-01,1.84
2008-12-01,1.89
2009-01-01,0.67
2009-02-01,-2.79
2009-03-01,-3.72
2009-04-01,-4.03
2009-05-01,-5.29
2009-06-01,-3.6
2009-07-01,0.11
2009-08-01,0.33
2009-09-01,0.45
2009-10-01,2.56
2009-11-01,2.53
2009-12-01,1.01
2010-01-01,1.98
2010-02-01,3.96
2010-03-01,5.01
2010-04-01,5.3
2010-05-01,6.11
2010-06-01,4.17
2010-07-01,3.84
2010-08-01,4.19
2010-09-01,4.92
2010-10-01,6.11
2010-11-01,6.32
2010-12-01,7.8
2011-01-01,7.01
2011-02-01,3.3
2011-03-01,1.37
2011-04-01,0.16
2011-05-01,0.96
2011-06-01,1.87
2011-07-01,0.97
2011-08-01,0.78
2011-09-01,2.24
2011-10-01,3.32
2011-11-01,3.36
2011-12-01,4.47
2012-01-01,3.13
2012-02-01,1.33
2012-03-01,-2.18
2012-04-01,-1.23
2012-05-01,-0.85
2012-06-01,0.48
2012-07-01,0.74
2012-08-01,2.05
2012-09-01,3.49
2012-10-01,4.97
2012-11-01,5.35
2012-12-01,3.92
2013-01-01,2.86
2013-02-01,1.63
2013-03-01,3.72
2013-04-01,2.22
2013-05-01,3.12
2013-06-01,0.86
2013-07-01,0.75
2013-08-01,1.63
2013-09-01,2.9
2013-10-01,4.48
2013-11-01,3.06
2013-12-01,2.85
2014-01-01,0.77
2014-02-01,-1.92
2014-03-01,-4.4
2014-04-01,-3.68
2014-05-01,-3.8
2014-06-01,-4.29
2014-07-01,-2.13
2014-08-01,-0.34
2014-09-01,1.8
2014-10-01,3.18
2014-11-01,3.1
2014-12-01,1.35
2015-01-01,-0.8
2015-02-01,-1.78
2015-03-01,-4.23
2015-04-01,-5.65
2015-05-01,-4.08
2015-06-01,-4.13
2015-07-01,-1.6
2015-08-01,1.1
2015-09-01,2.44
2015-10-01,3.95
2015-11-01,1.08
2015-12-01,-0.58
2016-01-01,-0.56
2016-02-01,-0.66
2016-03-01,-1.4
2016-04-01,-1.58
2016-05-01,0.09
2016-06-01,-0.1
2016-07-01,-0.14
2016-08-01,1.09
2016-09-01,2.11
2016-10-01,2.65
2016-11-01,3.57
2016-12-01,2.87
2017-01-01,1.69
2017-02-01,0.82
2017-03-01,-1.07
2017-04-01,0.13
2017-05-01,2.16
2017-06-01,1.16
2017-07-01,2.1
2017-08-01,1.93
2017-09-01,3.1
2017-10-01,2.94
2017-11-01,4.48
2017-12-01,6.14
2018-01-01,2.12
2018-02-01,-0.22
2018-03-01,0.56
2018-04-01,-2.9
2018-05-01,-4.72
2018-06-01,-6.48
2018-07-01,-4.72
2018-08-01,-1.36
2018-09-01,-0.78
2018-10-01,0.99
2018-11-01,-0.68
2018-12-01,-1.83
2019-01-01,-0.7
2019-02-01,-0.03
2019-03-01,-3.01
2019-04-01,-3.54
2019-05-01,-2.08
2019-06-01,-1.35
2019-07-01,-0.14
2019-08-01,0.33
2019-09-01,2.33
2019-10-01,2.25
2019-11-01,-0.02
2019-12-01,-1.19
2020-01-01,-1.87
2020-02-01,-1.51
2020-03-01,-0.49
2020-04-01,0.19
2020-05-01,-1.04
2020-06-01,0.52
2020-07-01,-0.59
2020-08-01,0.29
2020-09-01,1.9
2020-10-01,3.77
2020-11-01,2.92
2020-12-01,3.6
2021-01-01,3.39
2021-02-01,1.97
2021-03-01,0.16
2021-04-01,-0.97
2021-05-01,-2.29
2021-06-01,-4.13
2021-07-01,-4.12
2021-08-01,-2.29
2021-09-01,1.31
2021-10-01,1.83
2021-11-01,3.18
2021-12-01,2.69
2022-01-01,2.97
2022-02-01,2.1
2022-03-01,-1.27
2022-04-01,-2.44
2022-05-01,-0.24
2022-06-01,-0.6
2022-07-01,-1.57
2022-08-01,-0.21
2022-09-01,2.2
2022-10-01,2.8
2022-11-01,2.2
2022-12-01,1.61
2023-01-01,1.29
2023-02-01,0.11
2023-03-01,1.02
2023-04-01,1.12
2023-05-01,2.28
2023-06-01,3.74
2023-07-01,3.18
2023-08-01,2.95
2023-09-01,5.72
2023-10-01,5.51
2023-11-01,4.0
2023-12-01,2.58
