date,wp
1969-04-01,1.58
1969-05-01,1.65
1969-06-01,1.37
1969-07-01,-0.61
1969-08-01,-2.18
1969-09-01,0.25
1969-10-01,0.32
1969-11-01,-0.36
1969-12-01,0.57
1970-01-01,-2.17
1970-02-01,0.01
1970-03-01,-0.29
1970-04-01,0.87
1970-05-01,-0.15
1970-06-01,-0.13
1970-07-01,1.0
1970-08-01,1.01
1970-09-01,-1.5
1970-10-01,1.4
1970-11-01,0.5
1970-12-01,0.57
1971-01-01,-2.51
1971-02-01,-1.65
1971-03-01,-0.15
1971-04-01,-0.08
1971-05-01,0.76
1971-06-01,1.64
1971-07-01,0.77
1971-08-01,-0.87
1971-09-01,-0.48
1971-10-01,0.86
1971-11-01,0.31
1971-12-01,0.45
1972-01-01,-0.05
1972-02-01,-2.26
1972-03-01,-1.87
1972-04-01,-0.01
1972-05-01,1.23
1972-06-01,2.06
1972-07-01,-0.32
1972-08-01,1.09
1972-09-01,-1.61
1972-10-01,0.51
1972-11-01,0.19
1972-12-01,0.71
1973-01-01,0.47
1973-02-01,1.12
1973-03-01,0.56
1973-04-01,1.33
1973-05-01,0.71
1973-06-01,-1.34
1973-07-01,0.42
1973-08-01,0.06
1973-09-01,0.06
1973-10-01,0.9
1973-11-01,0.29
1973-12-01,0.43
1974-01-01,-3.37
1974-02-01,-0.78
1974-03-01,-1.26
1974-04-01,-0.19
1974-05-01,0.36
1974-06-01,-0.13
1974-07-01,0.81
1974-08-01,0.24
1974-09-01,-0.4
1974-10-01,-0.22
1974-11-01,0.42
1974-12-01,-0.89
1975-01-01,-0.46
1975-02-01,-0.77
1975-03-01,-0.46
1975-04-01,0.37
1975-05-01,-0.45
1975-06-01,-0.61
1975-07-01,1.59
1975-08-01,0.32
1975-09-01,0.22
1975-10-01,-0.0
1975-11-01,1.04
1975-12-01,-1.01
1976-01-01,-0.71
1976-02-01,-0.39
1976-03-01,-0.06
1976-04-01,0.92
1976-05-01,1.19
1976-06-01,1.28
1976-07-01,2.35
1976-08-01,1.22
1976-09-01,0.1
1976-10-01,-0.66
1976-11-01,0.23
1976-12-01,-1.11
1977-01-01,-1.08
1977-02-01,0.08
1977-03-01,1.83
1977-04-01,0.97
1977-05-01,-0.43
1977-06-01,0.17
1977-07-01,0.96
1977-08-01,0.77
1977-09-01,2.13
1977-10-01,1.67
1977-11-01,-0.27
1977-12-01,-0.67
1978-01-01,-0.01
1978-02-01,-0.15
1978-03-01,-1.26
1978-04-01,0.18
1978-05-01,-0.04
1978-06-01,3.39
1978-07-01,2.46
1978-08-01,0.66
1978-09-01,0.92
1978-10-01,-0.76
1978-11-01,0.1
1978-12-01,1.3
1979-01-01,1.43
1979-02-01,-0.66
1979-03-01,-0.29
1979-04-01,0.85
1979-05-01,-0.13
1979-06-01,1.56
1979-07-01,1.72
1979-08-01,1.57
1979-09-01,0.35
1979-10-01,0.71
1979-11-01,2.48
1979-12-01,0.03
1980-01-01,-1.71
1980-02-01,-0.5
1980-03-01,1.09
1980-04-01,0.72
1980-05-01,1.85
1980-06-01,3.29
1980-07-01,0.36
1980-08-01,-1.39
1980-09-01,-1.68
1980-10-01,0.68
1980-11-01,0.33
1980-12-01,-2.41
1981-01-01,-0.82
1981-02-01,-0.3
1981-03-01,0.35
1981-04-01,0.22
1981-05-01,0.16
1981-06-01,-2.09
1981-07-01,0.82
1981-08-01,-0.96
1981-09-01,-0.59
1981-10-01,-0.79
1981-11-01,-0.51
1981-12-01,0.74
1982-01-01,0.03
1982-02-01,-1.57
1982-03-01,0.84
1982-04-01,-0.52
1982-05-01,0.67
1982-06-01,1.88
1982-07-01,0.05
1982-08-01,0.41
1982-09-01,-0.03
1982-10-01,0.53
1982-11-01,0.52
1982-12-01,1.42
1983-01-01,-0.05
1983-02-01,-0.89
1983-03-01,-1.14
1983-04-01,1.09
1983-05-01,0.5
1983-06-01,-1.78
1983-07-01,0.37
1983-08-01,-1.0
1983-09-01,-1.73
1983-10-01,0.54
1983-11-01,-0.41
1983-12-01,-0.8
1984-01-01,-1.67
1984-02-01,-0.33
1984-03-01,-1.04
1984-04-01,-0.91
1984-05-01,-1.73
1984-06-01,0.8
1984-07-01,0.52
1984-08-01,0.24
1984-09-01,0.17
1984-10-01,-1.51
1984-11-01,0.16
1984-12-01,0.6
1985-01-01,-0.61
1985-02-01,-1.12
1985-03-01,1.81
1985-04-01,-0.53
1985-05-01,0.72
1985-06-01,0.37
1985-07-01,0.24
1985-08-01,0.31
1985-09-01,-0.4
1985-10-01,0.09
1985-11-01,-0.97
1985-12-01,-0.96
1986-01-01,-0.36
1986-02-01,-1.97
1986-03-01,-1.16
1986-04-01,0.04
1986-05-01,0.28
1986-06-01,-0.08
1986-07-01,-0.04
1986-08-01,-0.65
1986-09-01,0.69
1986-10-01,-0.27
1986-11-01,-0.56
1986-12-01,-0.17
1987-01-01,1.57
1987-02-01,0.37
1987-03-01,0.22
1987-04-01,0.48
1987-05-01,1.77
1987-06-01,1.73
1987-07-01,0.6
1987-08-01,-0.49
1987-09-01,1.44
1987-10-01,0.93
1987-11-01,0.15
1987-12-01,1.75
1988-01-01,1.83
1988-02-01,0.3
1988-03-01,0.53
1988-04-01,-0.2
1988-05-01,-0.15
1988-06-01,-0.25
1988-07-01,-1.47
1988-08-01,0.78
1988-09-01,-0.83
1988-10-01,-0.56
1988-11-01,-0.96
1988-12-01,-0.67
1989-01-01,1.26
1989-02-01,0.53
1989-03-01,-1.98
1989-04-01,-0.28
1989-05-01,0.36
1989-06-01,-0.62
1989-07-01,0.89
1989-08-01,2.52
1989-09-01,0.44
1989-10-01,1.5
1989-11-01,-0.47
1989-12-01,-1.98
1990-01-01,1.37
1990-02-01,0.24
1990-03-01,-0.13
1990-04-01,-0.84
1990-05-01,0.17
1990-06-01,0.77
1990-07-01,0.42
1990-08-01,0.59
1990-09-01,0.68
1990-10-01,0.11
1990-11-01,0.59
1990-12-01,0.61
1991-01-01,-1.3
1991-02-01,-0.78
1991-03-01,1.83
1991-04-01,0.7
1991-05-01,0.56
1991-06-01,0.63
1991-07-01,-1.73
1991-08-01,-1.15
1991-09-01,-0.58
1991-10-01,-0.32
1991-11-01,-0.94
1991-12-01,0.29
1992-01-01,0.35
1992-02-01,-0.81
1992-03-01,1.12
1992-04-01,-0.62
1992-05-01,-0.21
1992-06-01,-0.17
1992-07-01,1.17
1992-08-01,1.19
1992-09-01,-1.02
1992-10-01,0.81
1992-11-01,1.26
1992-12-01,0.08
1993-01-01,-0.22
1993-02-01,0.24
1993-03-01,-0.48
1993-04-01,-1.67
1993-05-01,0.96
1993-06-01,0.04
1993-07-01,-0.31
1993-08-01,0.52
1993-09-01,-0.44
1993-10-01,1.14
1993-11-01,0.83
1993-12-01,0.89
1994-01-01,0.47
1994-02-01,-1.16
1994-03-01,-0.22
1994-04-01,-0.14
1994-05-01,1.08
1994-06-01,0.48
1994-07-01,1.11
1994-08-01,2.59
1994-09-01,-0.93
1994-10-01,0.46
1994-11-01,0.77
1994-12-01,0.27
1995-01-01,-0.18
1995-02-01,-2.05
1995-03-01,-1.04
1995-04-01,0.72
1995-05-01,0.91
1995-06-01,-1.32
1995-07-01,0.83
1995-08-01,-0.74
1995-09-01,0.05
1995-10-01,-0.42
1995-11-01,-1.76
1995-12-01,-1.72
1996-01-01,-0.92
1996-02-01,0.07
1996-03-01,-0.3
1996-04-01,-2.12
1996-05-01,-1.46
1996-06-01,-0.09
1996-07-01,1.66
1996-08-01,-1.18
1996-09-01,-1.41
1996-10-01,-0.78
1996-11-01,0.26
1996-12-01,0.6
1997-01-01,-2.31
1997-02-01,-0.24
1997-03-01,-0.16
1997-04-01,-1.04
1997-05-01,1.21
1997-06-01,-0.67
1997-07-01,0.4
1997-08-01,-0.34
1997-09-01,0.38
1997-10-01,-2.15
1997-11-01,1.84
1997-12-01,0.91
1998-01-01,0.06
1998-02-01,0.67
1998-03-01,1.04
1998-04-01,2.32
1998-05-01,1.88
1998-06-01,-0.34
1998-07-01,-0.4
1998-08-01,-0.02
1998-09-01,1.81
1998-10-01,1.32
1998-11-01,0.34
1998-12-01,0.6
1999-01-01,0.08
1999-02-01,1.51
1999-03-01,1.19
1999-04-01,1.3
1999-05-01,-0.3
1999-06-01,0.32
1999-07-01,0.26
1999-08-01,1.12
1999-09-01,0.6
1999-10-01,-0.45
1999-11-01,1.91
1999-12-01,-1.12
2000-01-01,-0.21
2000-02-01,-0.41
2000-03-01,0.01
2000-04-01,-1.3
2000-05-01,-1.46
2000-06-01,0.57
2000-07-01,1.07
2000-08-01,-0.86
2000-09-01,0.52
2000-10-01,1.14
2000-11-01,-0.23
2000-12-01,-0.68
2001-01-01,0.42
2001-02-01,1.57
2001-03-01,-1.05
2001-04-01,1.1
2001-05-01,-1.16
2001-06-01,0.41
2001-07-01,-0.32
2001-08-01,-0.27
2001-09-01,2.28
2001-10-01,-0.58
2001-11-01,0.79
2001-12-01,-0.35
2002-01-01,-0.04
2002-02-01,0.87
2002-03-01,0.73
2002-04-01,0.21
2002-05-01,-0.79
2002-06-01,-0.72
2002-07-01,-1.06
2002-08-01,-1.64
2002-09-01,0.79
2002-10-01,-2.12
2002-11-01,-1.51
2002-12-01,0.54
2003-01-01,-0.14
2003-02-01,0.17
2003-03-01,-1.01
2003-04-01,1.58
2003-05-01,0.03
2003-06-01,0.76
2003-07-01,-1.94
2003-08-01,-0.9
2003-09-01,-2.17
2003-10-01,-0.42
2003-11-01,0.69
2003-12-01,0.8
2004-01-01,-1.58
2004-02-01,0.6
2004-03-01,0.13
2004-04-01,0.49
2004-05-01,0.4
2004-06-01,2.08
2004-07-01,0.34
2004-08-01,-0.03
2004-09-01,0.26
2004-10-01,0.89
2004-11-01,0.65
2004-12-01,0.2
2005-01-01,-0.93
2005-02-01,0.34
2005-03-01,-0.22
2005-04-01,-0.18
2005-05-01,-0.08
2005-06-01,0.79
2005-07-01,-1.2
2005-08-01,0.35
2005-09-01,0.57
2005-10-01,1.0
2005-11-01,-1.84
2005-12-01,-2.04
2006-01-01,0.71
2006-02-01,2.06
2006-03-01,0.49
2006-04-01,0.56
2006-05-01,0.19
2006-06-01,-1.15
2006-07-01,-1.0
2006-08-01,-0.16
2006-09-01,0.05
2006-10-01,0.67
2006-11-01,-1.84
2006-12-01,1.18
2007-01-01,1.81
2007-02-01,0.15
2007-03-01,-1.06
2007-04-01,-1.61
2007-05-01,-0.66
2007-06-01,-0.17
2007-07-01,-0.09
2007-08-01,0.02
2007-09-01,1.2
2007-10-01,0.4
2007-11-01,-0.04
2007-12-01,0.37
2008-01-01,0.92
2008-02-01,0.01
2008-03-01,-1.35
2008-04-01,0.28
2008-05-01,-0.66
2008-06-01,-0.36
2008-07-01,0.02
2008-08-01,-1.32
2008-09-01,-0.83
2008-10-01,0.19
2008-11-01,0.33
2008-12-01,1.01
2009-01-01,0.01
2009-02-01,1.71
2009-03-01,0.22
2009-04-01,0.02
2009-05-01,-0.67
2009-06-01,-1.74
2009-07-01,1.2
2009-08-01,0.66
2009-09-01,-1.02
2009-10-01,-2.05
2009-11-01,1.27
2009-12-01,-1.07
2010-01-01,0.47
2010-02-01,0.23
2010-03-01,1.83
2010-04-01,0.88
2010-05-01,-2.5
2010-06-01,-0.08
2010-07-01,-2.38
2010-08-01,0.41
2010-09-01,0.05
2010-10-01,0.67
2010-11-01,-0.33
2010-12-01,-1.26
2011-01-01,-1.37
2011-02-01,-0.13
2011-03-01,-0.1
2011-04-01,-1.93
2011-05-01,0.38
2011-06-01,0.81
2011-07-01,-0.27
2011-08-01,-0.51
2011-09-01,0.51
2011-10-01,1.06
2011-11-01,0.39
2011-12-01,-0.39
2012-01-01,-1.58
2012-02-01,1.01
2012-03-01,0.82
2012-04-01,-0.29
2012-05-01,-1.66
2012-06-01,-1.39
2012-07-01,0.58
2012-08-01,-0.07
2012-09-01,0.69
2012-10-01,-2.53
2012-11-01,-2.02
2012-12-01,-0.58
2013-01-01,0.07
2013-02-01,1.49
2013-03-01,0.59
2013-04-01,-1.86
2013-05-01,-1.13
2013-06-01,-0.47
2013-07-01,-0.88
2013-08-01,-0.17
2013-09-01,1.93
2013-10-01,-0.09
2013-11-01,-0.04
2013-12-01,-2.01
2014-01-01,0.54
2014-02-01,-1.37
2014-03-01,-0.43
2014-04-01,-1.36
2014-05-01,-0.85
2014-06-01,-0.3
2014-07-01,-1.63
2014-08-01,-0.77
2014-09-01,-1.23
2014-10-01,-0.32
2014-11-01,0.13
2014-12-01,-0.13
2015-01-01,-0.22
2015-02-01,-1.37
2015-03-01,0.41
2015-04-01,1.23
2015-05-01,2.14
2015-06-01,-0.03
2015-07-01,0.77
2015-08-01,-1.5
2015-09-01,-1.38
2015-10-01,-0.75
2015-11-01,0.77
2015-12-01,0.56
2016-01-01,0.96
2016-02-01,1.61
2016-03-01,-0.2
2016-04-01,-0.26
2016-05-01,0.62
2016-06-01,-0.62
2016-07-01,-1.42
2016-08-01,-0.37
2016-09-01,-1.75
2016-10-01,0.54
2016-11-01,1.01
2016-12-01,0.97
2017-01-01,0.55
2017-02-01,-0.15
2017-03-01,-2.13
2017-04-01,-0.36
2017-05-01,0.68
2017-06-01,-0.75
2017-07-01,0.46
2017-08-01,-1.38
2017-09-01,-1.23
2017-10-01,0.7
2017-11-01,0.7
2017-12-01,0.33
2018-01-01,0.43
2018-02-01,0.4
2018-03-01,0.84
2018-04-01,-0.67
2018-05-01,-0.19
2018-06-01,-0.44
2018-07-01,-0.81
2018-08-01,-1.38
2018-09-01,-1.78
2018-10-01,-1.14
2018-11-01,-0.61
2018-12-01,0.11
2019-01-01,1.05
2019-02-01,2.09
2019-03-01,0.88
2019-04-01,-1.3
2019-05-01,-0.63
2019-06-01,-1.92
2019-07-01,-0.27
2019-08-01,-2.19
2019-09-01,0.86
2019-10-01,-0.81
2019-11-01,-0.12
2019-12-01,0.74
2020-01-01,0.69
2020-02-01,1.46
2020-03-01,1.29
2020-04-01,-1.34
2020-05-01,0.12
2020-06-01,-1.25
2020-07-01,-0.54
2020-08-01,-0.21
2020-09-01,-2.44
2020-10-01,-1.18
2020-11-01,0.72
2020-12-01,0.99
2021-01-01,2.45
2021-02-01,0.76
2021-03-01,2.05
2021-04-01,-0.12
2021-05-01,0.18
2021-06-01,-0.82
2021-07-01,-0.44
2021-08-01,-1.94
2021-09-01,-0.65
2021-10-01,1.74
2021-11-01,-0.15
2021-12-01,0.48
2022-01-01,-1.44
2022-02-01,-0.39
2022-03-01,0.58
2022-04-01,0.31
2022-05-01,-1.38
2022-06-01,-1.66
2022-07-01,-0.52
2022-08-01,-0.41
2022-09-01,1.82
2022-10-01,1.04
2022-11-01,0.34
2022-12-01,-0.02
2023-01-01,1.99
2023-02-01,2.5
2023-03-01,0.65
2023-04-01,-0.24
2023-05-01,1.02
2023-06-01,0.33
2023-07-01,1.33
2023-08-01,-0.37
2023-09-01,1.34
2023-10-01,-0.83
2023-11-01,0.59
2023-12-01,1.21
2024-01-01,0.67
2024-02-01,1.56
2024-03-01,
2024-04-01,
2024-05-01,
2024-06-01,
2024-07-01,
2024-08-01,
2024-09-01,
2024-10-01,
2024-11-01,
2024-12-01,
