date,CAR_ersst
1959-03-01,0.27
1959-04-01,0.17
1959-05-01,0.05
1959-06-01,-0.01
1959-07-01,-0.06
1959-08-01,-0.01
1959-09-01,0.06
1959-10-01,0.14
1959-11-01,0.16
1959-12-01,0.14
1960-01-01,0.16
1960-02-01,0.17
1960-03-01,0.15
1960-04-01,0.14
1960-05-01,0.16
1960-06-01,0.16
1960-07-01,0.1
1960-08-01,0.09
1960-09-01,0.17
1960-10-01,0.29
1960-11-01,0.3
1960-12-01,0.25
1961-01-01,0.21
1961-02-01,0.23
1961-03-01,0.23
1961-04-01,0.17
1961-05-01,0.04
1961-06-01,-0.05
1961-07-01,-0.1
1961-08-01,-0.1
1961-09-01,-0.11
1961-10-01,-0.1
1961-11-01,-0.0
1961-12-01,0.08
1962-01-01,0.22
1962-02-01,0.28
1962-03-01,0.28
1962-04-01,0.19
1962-05-01,0.07
1962-06-01,0.11
1962-07-01,0.16
1962-08-01,0.23
1962-09-01,0.22
1962-10-01,0.16
1962-11-01,0.13
1962-12-01,0.09
1963-01-01,0.08
1963-02-01,0.14
1963-03-01,0.19
1963-04-01,0.17
1963-05-01,0.06
1963-06-01,-0.05
1963-07-01,-0.07
1963-08-01,-0.05
1963-09-01,-0.04
1963-10-01,-0.03
1963-11-01,-0.06
1963-12-01,-0.06
1964-01-01,-0.03
1964-02-01,0.05
1964-03-01,0.1
1964-04-01,0.17
1964-05-01,0.13
1964-06-01,0.08
1964-07-01,-0.03
1964-08-01,-0.07
1964-09-01,-0.1
1964-10-01,-0.09
1964-11-01,-0.13
1964-12-01,-0.16
1965-01-01,-0.17
1965-02-01,-0.18
1965-03-01,-0.14
1965-04-01,-0.19
1965-05-01,-0.21
1965-06-01,-0.27
1965-07-01,-0.27
1965-08-01,-0.24
1965-09-01,-0.18
1965-10-01,-0.09
1965-11-01,-0.01
1965-12-01,0.01
1966-01-01,-0.0
1966-02-01,-0.05
1966-03-01,-0.06
1966-04-01,-0.1
1966-05-01,-0.18
1966-06-01,-0.24
1966-07-01,-0.25
1966-08-01,-0.14
1966-09-01,-0.07
1966-10-01,-0.09
1966-11-01,-0.15
1966-12-01,-0.25
1967-01-01,-0.25
1967-02-01,-0.19
1967-03-01,-0.11
1967-04-01,-0.1
1967-05-01,-0.18
1967-06-01,-0.29
1967-07-01,-0.35
1967-08-01,-0.36
1967-09-01,-0.27
1967-10-01,-0.2
1967-11-01,-0.11
1967-12-01,-0.12
1968-01-01,-0.13
1968-02-01,-0.19
1968-03-01,-0.18
1968-04-01,-0.16
1968-05-01,-0.17
1968-06-01,-0.23
1968-07-01,-0.22
1968-08-01,-0.12
1968-09-01,-0.01
1968-10-01,0.05
1968-11-01,0.05
1968-12-01,0.05
1969-01-01,0.01
1969-02-01,-0.01
1969-03-01,0.05
1969-04-01,0.11
1969-05-01,0.13
1969-06-01,0.12
1969-07-01,0.11
1969-08-01,0.14
1969-09-01,0.1
1969-10-01,0.1
1969-11-01,0.04
1969-12-01,0.01
1970-01-01,-0.04
1970-02-01,-0.02
1970-03-01,0.05
1970-04-01,0.04
1970-05-01,-0.0
1970-06-01,-0.12
1970-07-01,-0.18
1970-08-01,-0.17
1970-09-01,-0.15
1970-10-01,-0.12
1970-11-01,-0.14
1970-12-01,-0.12
1971-01-01,-0.09
1971-02-01,-0.1
1971-03-01,-0.2
1971-04-01,-0.28
1971-05-01,-0.34
1971-06-01,-0.34
1971-07-01,-0.38
1971-08-01,-0.4
1971-09-01,-0.33
1971-10-01,-0.24
1971-11-01,-0.15
1971-12-01,-0.09
1972-01-01,-0.06
1972-02-01,-0.04
1972-03-01,-0.08
1972-04-01,-0.18
1972-05-01,-0.39
1972-06-01,-0.52
1972-07-01,-0.51
1972-08-01,-0.35
1972-09-01,-0.2
1972-10-01,-0.07
1972-11-01,0.03
1972-12-01,0.06
1973-01-01,0.06
1973-02-01,0.08
1973-03-01,0.05
1973-04-01,0.02
1973-05-01,-0.09
1973-06-01,-0.13
1973-07-01,-0.19
1973-08-01,-0.23
1973-09-01,-0.24
1973-10-01,-0.2
1973-11-01,-0.24
1973-12-01,-0.31
1974-01-01,-0.36
1974-02-01,-0.29
1974-03-01,-0.24
1974-04-01,-0.25
1974-05-01,-0.29
1974-06-01,-0.37
1974-07-01,-0.42
1974-08-01,-0.49
1974-09-01,-0.49
1974-10-01,-0.46
1974-11-01,-0.41
1974-12-01,-0.38
1975-01-01,-0.29
1975-02-01,-0.17
1975-03-01,-0.09
1975-04-01,-0.07
1975-05-01,-0.13
1975-06-01,-0.2
1975-07-01,-0.27
1975-08-01,-0.29
1975-09-01,-0.29
1975-10-01,-0.3
1975-11-01,-0.37
1975-12-01,-0.49
1976-01-01,-0.6
1976-02-01,-0.57
1976-03-01,-0.45
1976-04-01,-0.34
1976-05-01,-0.34
1976-06-01,-0.35
1976-07-01,-0.31
1976-08-01,-0.29
1976-09-01,-0.29
1976-10-01,-0.31
1976-11-01,-0.27
1976-12-01,-0.22
1977-01-01,-0.18
1977-02-01,-0.11
1977-03-01,-0.08
1977-04-01,-0.09
1977-05-01,-0.17
1977-06-01,-0.18
1977-07-01,-0.22
1977-08-01,-0.22
1977-09-01,-0.26
1977-10-01,-0.18
1977-11-01,-0.1
1977-12-01,-0.05
1978-01-01,-0.08
1978-02-01,-0.11
1978-03-01,-0.09
1978-04-01,-0.03
1978-05-01,-0.08
1978-06-01,-0.15
1978-07-01,-0.22
1978-08-01,-0.18
1978-09-01,-0.16
1978-10-01,-0.07
1978-11-01,-0.01
1978-12-01,-0.01
1979-01-01,-0.07
1979-02-01,-0.17
1979-03-01,-0.19
1979-04-01,-0.19
1979-05-01,-0.21
1979-06-01,-0.2
1979-07-01,-0.26
1979-08-01,-0.32
1979-09-01,-0.32
1979-10-01,-0.29
1979-11-01,-0.19
1979-12-01,-0.14
1980-01-01,-0.07
1980-02-01,-0.03
1980-03-01,-0.03
1980-04-01,0.04
1980-05-01,0.06
1980-06-01,0.1
1980-07-01,0.04
1980-08-01,0.05
1980-09-01,0.05
1980-10-01,0.07
1980-11-01,-0.01
1980-12-01,-0.11
1981-01-01,-0.14
1981-02-01,-0.13
1981-03-01,-0.1
1981-04-01,-0.1
1981-05-01,-0.1
1981-06-01,-0.08
1981-07-01,-0.11
1981-08-01,-0.1
1981-09-01,-0.15
1981-10-01,-0.16
1981-11-01,-0.16
1981-12-01,-0.13
1982-01-01,-0.04
1982-02-01,0.04
1982-03-01,0.07
1982-04-01,-0.03
1982-05-01,-0.14
1982-06-01,-0.19
1982-07-01,-0.16
1982-08-01,-0.15
1982-09-01,-0.18
1982-10-01,-0.21
1982-11-01,-0.17
1982-12-01,-0.12
1983-01-01,-0.07
1983-02-01,-0.09
1983-03-01,-0.16
1983-04-01,-0.19
1983-05-01,-0.14
1983-06-01,-0.04
1983-07-01,0.03
1983-08-01,0.02
1983-09-01,0.06
1983-10-01,0.11
1983-11-01,0.18
1983-12-01,0.14
1984-01-01,0.07
1984-02-01,-0.05
1984-03-01,-0.12
1984-04-01,-0.17
1984-05-01,-0.31
1984-06-01,-0.45
1984-07-01,-0.57
1984-08-01,-0.57
1984-09-01,-0.52
1984-10-01,-0.45
1984-11-01,-0.37
1984-12-01,-0.32
1985-01-01,-0.3
1985-02-01,-0.27
1985-03-01,-0.25
1985-04-01,-0.19
1985-05-01,-0.11
1985-06-01,-0.09
1985-07-01,-0.15
1985-08-01,-0.23
1985-09-01,-0.24
1985-10-01,-0.23
1985-11-01,-0.23
1985-12-01,-0.2
1986-01-01,-0.13
1986-02-01,-0.09
1986-03-01,-0.11
1986-04-01,-0.15
1986-05-01,-0.23
1986-06-01,-0.26
1986-07-01,-0.31
1986-08-01,-0.32
1986-09-01,-0.34
1986-10-01,-0.26
1986-11-01,-0.15
1986-12-01,-0.07
1987-01-01,-0.08
1987-02-01,-0.07
1987-03-01,-0.14
1987-04-01,-0.16
1987-05-01,-0.16
1987-06-01,-0.03
1987-07-01,0.07
1987-08-01,0.17
1987-09-01,0.13
1987-10-01,0.07
1987-11-01,0.01
1987-12-01,-0.02
1988-01-01,-0.03
1988-02-01,-0.1
1988-03-01,-0.14
1988-04-01,-0.13
1988-05-01,-0.11
1988-06-01,-0.11
1988-07-01,-0.15
1988-08-01,-0.23
1988-09-01,-0.27
1988-10-01,-0.23
1988-11-01,-0.2
1988-12-01,-0.15
1989-01-01,-0.2
1989-02-01,-0.26
1989-03-01,-0.32
1989-04-01,-0.33
1989-05-01,-0.28
1989-06-01,-0.22
1989-07-01,-0.19
1989-08-01,-0.18
1989-09-01,-0.21
1989-10-01,-0.17
1989-11-01,-0.11
1989-12-01,-0.06
1990-01-01,0.02
1990-02-01,0.06
1990-03-01,0.09
1990-04-01,0.04
1990-05-01,-0.01
1990-06-01,-0.07
1990-07-01,-0.06
1990-08-01,-0.03
1990-09-01,0.03
1990-10-01,0.01
1990-11-01,-0.02
1990-12-01,0.0
1991-01-01,0.03
1991-02-01,0.02
1991-03-01,0.02
1991-04-01,0.03
1991-05-01,0.02
1991-06-01,-0.04
1991-07-01,-0.07
1991-08-01,-0.06
1991-09-01,-0.1
1991-10-01,-0.2
1991-11-01,-0.27
1991-12-01,-0.29
1992-01-01,-0.22
1992-02-01,-0.17
1992-03-01,-0.14
1992-04-01,-0.23
1992-05-01,-0.22
1992-06-01,-0.13
1992-07-01,-0.05
1992-08-01,-0.07
1992-09-01,-0.19
1992-10-01,-0.2
1992-11-01,-0.17
1992-12-01,-0.07
1993-01-01,-0.07
1993-02-01,-0.12
1993-03-01,-0.24
1993-04-01,-0.31
1993-05-01,-0.28
1993-06-01,-0.22
1993-07-01,-0.16
1993-08-01,-0.19
1993-09-01,-0.17
1993-10-01,-0.16
1993-11-01,-0.12
1993-12-01,-0.12
1994-01-01,-0.09
1994-02-01,-0.06
1994-03-01,0.0
1994-04-01,0.04
1994-05-01,0.01
1994-06-01,-0.09
1994-07-01,-0.21
1994-08-01,-0.23
1994-09-01,-0.17
1994-10-01,0.0
1994-11-01,0.11
1994-12-01,0.16
1995-01-01,0.12
1995-02-01,0.09
1995-03-01,0.11
1995-04-01,0.17
1995-05-01,0.21
1995-06-01,0.2
1995-07-01,0.15
1995-08-01,0.12
1995-09-01,0.08
1995-10-01,0.05
1995-11-01,0.03
1995-12-01,-0.0
1996-01-01,-0.01
1996-02-01,-0.05
1996-03-01,-0.07
1996-04-01,-0.13
1996-05-01,-0.19
1996-06-01,-0.26
1996-07-01,-0.28
1996-08-01,-0.22
1996-09-01,-0.19
1996-10-01,-0.16
1996-11-01,-0.23
1996-12-01,-0.24
1997-01-01,-0.26
1997-02-01,-0.19
1997-03-01,-0.18
1997-04-01,-0.12
1997-05-01,-0.08
1997-06-01,0.04
1997-07-01,0.11
1997-08-01,0.12
1997-09-01,0.04
1997-10-01,-0.02
1997-11-01,0.03
1997-12-01,0.11
1998-01-01,0.21
1998-02-01,0.17
1998-03-01,0.15
1998-04-01,0.13
1998-05-01,0.32
1998-06-01,0.47
1998-07-01,0.58
1998-08-01,0.5
1998-09-01,0.46
1998-10-01,0.39
1998-11-01,0.36
1998-12-01,0.32
1999-01-01,0.27
1999-02-01,0.23
1999-03-01,0.18
1999-04-01,0.21
1999-05-01,0.19
1999-06-01,0.12
1999-07-01,0.09
1999-08-01,0.09
1999-09-01,0.09
1999-10-01,0.03
1999-11-01,-0.08
1999-12-01,-0.16
2000-01-01,-0.22
2000-02-01,-0.2
2000-03-01,-0.15
2000-04-01,-0.05
2000-05-01,-0.04
2000-06-01,-0.04
2000-07-01,-0.07
2000-08-01,-0.04
2000-09-01,-0.01
2000-10-01,0.0
2000-11-01,0.02
2000-12-01,-0.01
2001-01-01,-0.0
2001-02-01,0.0
2001-03-01,0.03
2001-04-01,0.02
2001-05-01,0.03
2001-06-01,0.06
2001-07-01,0.09
2001-08-01,0.14
2001-09-01,0.11
2001-10-01,0.1
2001-11-01,0.12
2001-12-01,0.16
2002-01-01,0.19
2002-02-01,0.18
2002-03-01,0.22
2002-04-01,0.22
2002-05-01,0.12
2002-06-01,0.0
2002-07-01,-0.01
2002-08-01,0.06
2002-09-01,0.17
2002-10-01,0.23
2002-11-01,0.23
2002-12-01,0.2
2003-01-01,0.23
2003-02-01,0.35
2003-03-01,0.41
2003-04-01,0.41
2003-05-01,0.3
2003-06-01,0.16
2003-07-01,0.09
2003-08-01,0.09
2003-09-01,0.19
2003-10-01,0.24
2003-11-01,0.22
2003-12-01,0.19
2004-01-01,0.18
2004-02-01,0.19
2004-03-01,0.16
2004-04-01,0.07
2004-05-01,0.09
2004-06-01,0.14
2004-07-01,0.22
2004-08-01,0.17
2004-09-01,0.16
2004-10-01,0.18
2004-11-01,0.21
2004-12-01,0.14
2005-01-01,0.07
2005-02-01,0.1
2005-03-01,0.17
2005-04-01,0.25
2005-05-01,0.28
2005-06-01,0.34
2005-07-01,0.38
2005-08-01,0.35
2005-09-01,0.28
2005-10-01,0.21
2005-11-01,0.17
2005-12-01,0.12
2006-01-01,0.04
2006-02-01,0.0
2006-03-01,0.04
2006-04-01,0.14
2006-05-01,0.16
2006-06-01,0.11
2006-07-01,0.1
2006-08-01,0.17
2006-09-01,0.26
2006-10-01,0.25
2006-11-01,0.2
2006-12-01,0.2
2007-01-01,0.3
2007-02-01,0.36
2007-03-01,0.37
2007-04-01,0.3
2007-05-01,0.22
2007-06-01,0.16
2007-07-01,0.13
2007-08-01,0.12
2007-09-01,0.12
2007-10-01,0.09
2007-11-01,0.11
2007-12-01,0.06
2008-01-01,0.06
2008-02-01,-0.01
2008-03-01,-0.02
2008-04-01,-0.02
2008-05-01,-0.01
2008-06-01,-0.06
2008-07-01,-0.08
2008-08-01,-0.06
2008-09-01,-0.01
2008-10-01,-0.05
2008-11-01,-0.12
2008-12-01,-0.14
2009-01-01,-0.14
2009-02-01,-0.12
2009-03-01,-0.09
2009-04-01,-0.03
2009-05-01,0.08
2009-06-01,0.15
2009-07-01,0.22
2009-08-01,0.29
2009-09-01,0.38
2009-10-01,0.41
2009-11-01,0.42
2009-12-01,0.29
2010-01-01,0.22
2010-02-01,0.15
2010-03-01,0.2
2010-04-01,0.31
2010-05-01,0.39
2010-06-01,0.4
2010-07-01,0.36
2010-08-01,0.27
2010-09-01,0.2
2010-10-01,0.1
2010-11-01,-0.01
2010-12-01,-0.13
2011-01-01,-0.2
2011-02-01,-0.13
2011-03-01,0.02
2011-04-01,0.12
2011-05-01,0.21
2011-06-01,0.16
2011-07-01,0.18
2011-08-01,0.16
2011-09-01,0.11
2011-10-01,0.04
2011-11-01,0.02
2011-12-01,0.05
2012-01-01,0.12
2012-02-01,0.13
2012-03-01,0.13
2012-04-01,0.15
2012-05-01,0.2
2012-06-01,0.24
2012-07-01,0.24
2012-08-01,0.28
2012-09-01,0.33
2012-10-01,0.34
2012-11-01,0.35
2012-12-01,0.31
2013-01-01,0.36
2013-02-01,0.3
2013-03-01,0.21
2013-04-01,0.08
2013-05-01,0.01
2013-06-01,-0.03
2013-07-01,-0.03
2013-08-01,-0.03
2013-09-01,0.18
2013-10-01,0.29
2013-11-01,0.32
2013-12-01,0.2
2014-01-01,0.16
2014-02-01,0.19
2014-03-01,0.23
2014-04-01,0.18
2014-05-01,0.1
2014-06-01,0.13
2014-07-01,0.21
2014-08-01,0.3
2014-09-01,0.34
2014-10-01,0.35
2014-11-01,0.35
2014-12-01,0.36
2015-01-01,0.4
2015-02-01,0.43
2015-03-01,0.41
2015-04-01,0.4
2015-05-01,0.32
2015-06-01,0.28
2015-07-01,0.28
2015-08-01,0.43
2015-09-01,0.52
2015-10-01,0.58
2015-11-01,0.55
2015-12-01,0.57
2016-01-01,0.53
2016-02-01,0.55
2016-03-01,0.55
2016-04-01,0.62
2016-05-01,0.63
2016-06-01,0.67
2016-07-01,0.6
2016-08-01,0.55
2016-09-01,0.52
2016-10-01,0.51
2016-11-01,0.47
2016-12-01,0.45
2017-01-01,0.46
2017-02-01,0.45
2017-03-01,0.42
2017-04-01,0.33
2017-05-01,0.27
2017-06-01,0.27
2017-07-01,0.32
2017-08-01,0.35
2017-09-01,0.34
2017-10-01,0.34
2017-11-01,0.43
2017-12-01,0.47
2018-01-01,0.44
2018-02-01,0.41
2018-03-01,0.39
2018-04-01,0.31
2018-05-01,0.21
2018-06-01,0.09
2018-07-01,0.07
2018-08-01,0.12
2018-09-01,0.16
2018-10-01,0.18
2018-11-01,0.19
2018-12-01,0.23
2019-01-01,0.3
2019-02-01,0.36
2019-03-01,0.35
2019-04-01,0.27
2019-05-01,0.26
2019-06-01,0.31
2019-07-01,0.39
2019-08-01,0.38
2019-09-01,0.34
2019-10-01,0.35
2019-11-01,0.37
2019-12-01,0.41
2020-01-01,0.43
2020-02-01,0.43
2020-03-01,
2020-04-01,
2020-05-01,
2020-06-01,
2020-07-01,
2020-08-01,
2020-09-01,
2020-10-01,
2020-11-01,
2020-12-01,
