date,tsa
1955-04-01,-0.52
1955-05-01,-0.34
1955-06-01,-0.44
1955-07-01,-0.27
1955-08-01,-0.46
1955-09-01,-0.41
1955-10-01,-0.28
1955-11-01,-0.2
1955-12-01,-0.57
1956-01-01,-0.5
1956-02-01,-0.69
1956-03-01,-0.57
1956-04-01,-0.73
1956-05-01,-0.45
1956-06-01,-0.43
1956-07-01,-0.26
1956-08-01,-0.19
1956-09-01,-0.19
1956-10-01,-0.44
1956-11-01,-0.43
1956-12-01,-0.49
1957-01-01,-0.37
1957-02-01,-0.11
1957-03-01,-0.07
1957-04-01,-0.03
1957-05-01,-0.26
1957-06-01,-0.11
1957-07-01,-0.31
1957-08-01,-0.21
1957-09-01,-0.35
1957-10-01,-0.38
1957-11-01,-0.26
1957-12-01,-0.16
1958-01-01,-0.26
1958-02-01,-0.26
1958-03-01,-0.57
1958-04-01,-0.63
1958-05-01,-1.07
1958-06-01,-1.06
1958-07-01,-0.51
1958-08-01,-0.64
1958-09-01,-0.63
1958-10-01,-0.49
1958-11-01,-0.39
1958-12-01,-0.02
1959-01-01,0.04
1959-02-01,0.05
1959-03-01,0.28
1959-04-01,0.2
1959-05-01,-0.17
1959-06-01,-0.14
1959-07-01,-0.24
1959-08-01,-0.2
1959-09-01,-0.1
1959-10-01,-0.13
1959-11-01,-0.22
1959-12-01,-0.23
1960-01-01,-0.33
1960-02-01,-0.41
1960-03-01,-0.09
1960-04-01,-0.22
1960-05-01,0.01
1960-06-01,-0.23
1960-07-01,0.08
1960-08-01,-0.02
1960-09-01,-0.05
1960-10-01,-0.1
1960-11-01,0.01
1960-12-01,0.0
1961-01-01,-0.0
1961-02-01,-0.12
1961-03-01,-0.02
1961-04-01,-0.1
1961-05-01,0.03
1961-06-01,-0.1
1961-07-01,-0.21
1961-08-01,-0.19
1961-09-01,0.03
1961-10-01,-0.02
1961-11-01,-0.06
1961-12-01,-0.12
1962-01-01,-0.08
1962-02-01,-0.16
1962-03-01,-0.11
1962-04-01,-0.01
1962-05-01,0.18
1962-06-01,0.08
1962-07-01,-0.09
1962-08-01,-0.03
1962-09-01,-0.08
1962-10-01,0.03
1962-11-01,0.01
1962-12-01,-0.19
1963-01-01,-0.05
1963-02-01,0.01
1963-03-01,0.27
1963-04-01,0.21
1963-05-01,0.42
1963-06-01,0.45
1963-07-01,0.43
1963-08-01,0.45
1963-09-01,0.41
1963-10-01,0.45
1963-11-01,0.69
1963-12-01,0.77
1964-01-01,0.65
1964-02-01,0.31
1964-03-01,0.33
1964-04-01,0.06
1964-05-01,-0.22
1964-06-01,-0.14
1964-07-01,-0.2
1964-08-01,-0.21
1964-09-01,-0.68
1964-10-01,-0.79
1964-11-01,-0.63
1964-12-01,-0.76
1965-01-01,-0.39
1965-02-01,-0.08
1965-03-01,0.11
1965-04-01,0.1
1965-05-01,0.15
1965-06-01,-0.17
1965-07-01,-0.39
1965-08-01,-0.21
1965-09-01,-0.03
1965-10-01,-0.17
1965-11-01,-0.3
1965-12-01,-0.25
1966-01-01,-0.19
1966-02-01,-0.28
1966-03-01,-0.39
1966-04-01,0.08
1966-05-01,0.13
1966-06-01,0.62
1966-07-01,0.28
1966-08-01,-0.06
1966-09-01,-0.07
1966-10-01,-0.05
1966-11-01,0.21
1966-12-01,0.6
1967-01-01,0.3
1967-02-01,0.3
1967-03-01,-0.03
1967-04-01,-0.2
1967-05-01,-0.37
1967-06-01,-0.61
1967-07-01,-0.62
1967-08-01,-0.4
1967-09-01,-0.35
1967-10-01,-0.61
1967-11-01,-0.4
1967-12-01,-0.13
1968-01-01,-0.03
1968-02-01,-0.24
1968-03-01,-0.26
1968-04-01,-0.01
1968-05-01,-0.01
1968-06-01,0.08
1968-07-01,0.24
1968-08-01,0.2
1968-09-01,0.29
1968-10-01,0.44
1968-11-01,0.49
1968-12-01,0.5
1969-01-01,0.32
1969-02-01,0.53
1969-03-01,0.38
1969-04-01,0.35
1969-05-01,0.2
1969-06-01,-0.05
1969-07-01,-0.15
1969-08-01,0.01
1969-09-01,-0.09
1969-10-01,-0.06
1969-11-01,-0.07
1969-12-01,-0.19
1970-01-01,-0.34
1970-02-01,-0.26
1970-03-01,-0.2
1970-04-01,-0.28
1970-05-01,-0.19
1970-06-01,-0.33
1970-07-01,-0.11
1970-08-01,-0.24
1970-09-01,-0.22
1970-10-01,-0.39
1970-11-01,-0.2
1970-12-01,-0.34
1971-01-01,-0.01
1971-02-01,0.02
1971-03-01,-0.06
1971-04-01,0.09
1971-05-01,0.25
1971-06-01,0.17
1971-07-01,-0.23
1971-08-01,-0.2
1971-09-01,-0.16
1971-10-01,-0.38
1971-11-01,-0.68
1971-12-01,-0.79
1972-01-01,-0.08
1972-02-01,-0.06
1972-03-01,-0.18
1972-04-01,0.03
1972-05-01,-0.03
1972-06-01,0.09
1972-07-01,0.25
1972-08-01,0.26
1972-09-01,0.23
1972-10-01,0.29
1972-11-01,0.44
1972-12-01,0.89
1973-01-01,0.79
1973-02-01,0.72
1973-03-01,0.59
1973-04-01,0.76
1973-05-01,0.93
1973-06-01,0.75
1973-07-01,0.67
1973-08-01,0.58
1973-09-01,0.75
1973-10-01,0.67
1973-11-01,0.54
1973-12-01,0.4
1974-01-01,0.34
1974-02-01,0.14
1974-03-01,0.15
1974-04-01,0.36
1974-05-01,0.49
1974-06-01,0.43
1974-07-01,0.58
1974-08-01,0.42
1974-09-01,0.14
1974-10-01,0.11
1974-11-01,0.25
1974-12-01,0.11
1975-01-01,-0.13
1975-02-01,-0.19
1975-03-01,-0.15
1975-04-01,-0.11
1975-05-01,0.04
1975-06-01,0.17
1975-07-01,0.02
1975-08-01,-0.02
1975-09-01,-0.24
1975-10-01,-0.18
1975-11-01,-0.03
1975-12-01,-0.34
1976-01-01,-0.41
1976-02-01,-0.4
1976-03-01,-0.48
1976-04-01,-0.67
1976-05-01,-0.7
1976-06-01,-0.6
1976-07-01,-0.67
1976-08-01,-0.48
1976-09-01,-0.32
1976-10-01,-0.35
1976-11-01,-0.45
1976-12-01,-0.21
1977-01-01,-0.19
1977-02-01,-0.0
1977-03-01,0.0
1977-04-01,-0.03
1977-05-01,-0.05
1977-06-01,-0.09
1977-07-01,-0.14
1977-08-01,0.01
1977-09-01,0.03
1977-10-01,-0.09
1977-11-01,-0.08
1977-12-01,-0.07
1978-01-01,-0.19
1978-02-01,-0.29
1978-03-01,-0.45
1978-04-01,-0.65
1978-05-01,-0.64
1978-06-01,-0.47
1978-07-01,-0.08
1978-08-01,-0.2
1978-09-01,-0.35
1978-10-01,-0.38
1978-11-01,-0.43
1978-12-01,-0.16
1979-01-01,-0.16
1979-02-01,-0.24
1979-03-01,-0.31
1979-04-01,0.01
1979-05-01,0.07
1979-06-01,0.1
1979-07-01,0.14
1979-08-01,0.27
1979-09-01,0.29
1979-10-01,0.05
1979-11-01,0.06
1979-12-01,-0.02
1980-01-01,-0.15
1980-02-01,-0.34
1980-03-01,-0.26
1980-04-01,-0.11
1980-05-01,-0.04
1980-06-01,-0.08
1980-07-01,-0.06
1980-08-01,0.03
1980-09-01,0.11
1980-10-01,-0.03
1980-11-01,-0.25
1980-12-01,-0.59
1981-01-01,-0.27
1981-02-01,-0.47
1981-03-01,-0.64
1981-04-01,-0.52
1981-05-01,-0.4
1981-06-01,-0.22
1981-07-01,-0.23
1981-08-01,0.12
1981-09-01,0.2
1981-10-01,0.35
1981-11-01,0.26
1981-12-01,0.1
1982-01-01,0.03
1982-02-01,-0.2
1982-03-01,-0.21
1982-04-01,-0.35
1982-05-01,-0.37
1982-06-01,-0.45
1982-07-01,-0.44
1982-08-01,-0.57
1982-09-01,-0.31
1982-10-01,-0.11
1982-11-01,-0.28
1982-12-01,-0.17
1983-01-01,0.33
1983-02-01,0.37
1983-03-01,-0.14
1983-04-01,-0.25
1983-05-01,-0.45
1983-06-01,-0.45
1983-07-01,-0.31
1983-08-01,-0.08
1983-09-01,0.04
1983-10-01,-0.08
1983-11-01,0.06
1983-12-01,0.39
1984-01-01,0.68
1984-02-01,0.65
1984-03-01,0.79
1984-04-01,0.5
1984-05-01,0.26
1984-06-01,0.46
1984-07-01,0.55
1984-08-01,0.77
1984-09-01,0.84
1984-10-01,0.59
1984-11-01,0.31
1984-12-01,0.25
1985-01-01,0.32
1985-02-01,0.52
1985-03-01,0.14
1985-04-01,0.15
1985-05-01,0.24
1985-06-01,0.04
1985-07-01,0.27
1985-08-01,0.1
1985-09-01,0.02
1985-10-01,0.27
1985-11-01,0.24
1985-12-01,0.29
1986-01-01,0.2
1986-02-01,0.47
1986-03-01,0.38
1986-04-01,0.28
1986-05-01,0.26
1986-06-01,0.41
1986-07-01,0.19
1986-08-01,0.21
1986-09-01,0.3
1986-10-01,0.14
1986-11-01,-0.17
1986-12-01,0.02
1987-01-01,0.02
1987-02-01,0.08
1987-03-01,0.16
1987-04-01,0.04
1987-05-01,0.28
1987-06-01,0.42
1987-07-01,0.5
1987-08-01,0.43
1987-09-01,0.32
1987-10-01,0.42
1987-11-01,0.63
1987-12-01,0.39
1988-01-01,0.63
1988-02-01,0.66
1988-03-01,0.77
1988-04-01,0.59
1988-05-01,0.71
1988-06-01,0.73
1988-07-01,0.46
1988-08-01,0.5
1988-09-01,0.3
1988-10-01,0.37
1988-11-01,0.14
1988-12-01,0.19
1989-01-01,0.41
1989-02-01,0.23
1989-03-01,0.35
1989-04-01,0.29
1989-05-01,0.33
1989-06-01,0.31
1989-07-01,0.26
1989-08-01,0.39
1989-09-01,0.21
1989-10-01,0.28
1989-11-01,-0.06
1989-12-01,-0.25
1990-01-01,-0.34
1990-02-01,0.13
1990-03-01,0.32
1990-04-01,0.35
1990-05-01,-0.06
1990-06-01,0.08
1990-07-01,-0.11
1990-08-01,-0.13
1990-09-01,-0.07
1990-10-01,0.1
1990-11-01,0.17
1990-12-01,0.22
1991-01-01,0.12
1991-02-01,0.06
1991-03-01,0.14
1991-04-01,0.31
1991-05-01,0.49
1991-06-01,0.44
1991-07-01,0.05
1991-08-01,-0.33
1991-09-01,-0.36
1991-10-01,-0.36
1991-11-01,-0.34
1991-12-01,-0.08
1992-01-01,-0.27
1992-02-01,-0.26
1992-03-01,-0.4
1992-04-01,-0.57
1992-05-01,-0.66
1992-06-01,-0.8
1992-07-01,-0.6
1992-08-01,-0.66
1992-09-01,-0.56
1992-10-01,-0.52
1992-11-01,-0.79
1992-12-01,-0.36
1993-01-01,-0.25
1993-02-01,-0.13
1993-03-01,-0.09
1993-04-01,0.2
1993-05-01,0.03
1993-06-01,-0.03
1993-07-01,0.05
1993-08-01,0.04
1993-09-01,0.44
1993-10-01,0.69
1993-11-01,0.75
1993-12-01,0.5
1994-01-01,0.32
1994-02-01,0.12
1994-03-01,0.24
1994-04-01,0.18
1994-05-01,0.11
1994-06-01,-0.18
1994-07-01,-0.26
1994-08-01,-0.17
1994-09-01,-0.15
1994-10-01,-0.05
1994-11-01,0.08
1994-12-01,0.2
1995-01-01,0.4
1995-02-01,0.61
1995-03-01,0.74
1995-04-01,0.61
1995-05-01,0.59
1995-06-01,0.64
1995-07-01,0.35
1995-08-01,-0.07
1995-09-01,-0.04
1995-10-01,-0.05
1995-11-01,0.12
1995-12-01,0.0
1996-01-01,0.18
1996-02-01,0.43
1996-03-01,0.47
1996-04-01,0.65
1996-05-01,0.77
1996-06-01,0.87
1996-07-01,0.66
1996-08-01,0.35
1996-09-01,0.13
1996-10-01,0.12
1996-11-01,0.12
1996-12-01,-0.06
1997-01-01,-0.22
1997-02-01,-0.34
1997-03-01,-0.47
1997-04-01,-0.5
1997-05-01,-0.54
1997-06-01,-0.67
1997-07-01,-0.27
1997-08-01,-0.09
1997-09-01,0.21
1997-10-01,0.69
1997-11-01,0.79
1997-12-01,1.03
1998-01-01,0.72
1998-02-01,0.74
1998-03-01,0.69
1998-04-01,0.54
1998-05-01,0.54
1998-06-01,0.66
1998-07-01,0.85
1998-08-01,0.59
1998-09-01,0.41
1998-10-01,0.21
1998-11-01,0.32
1998-12-01,0.11
1999-01-01,0.13
1999-02-01,0.05
1999-03-01,0.33
1999-04-01,0.45
1999-05-01,0.53
1999-06-01,0.49
1999-07-01,0.64
1999-08-01,0.55
1999-09-01,0.24
1999-10-01,0.28
1999-11-01,0.33
1999-12-01,0.36
2000-01-01,0.21
2000-02-01,0.39
2000-03-01,0.4
2000-04-01,0.37
2000-05-01,0.29
2000-06-01,0.2
2000-07-01,0.15
2000-08-01,0.2
2000-09-01,0.02
2000-10-01,0.1
2000-11-01,0.07
2000-12-01,-0.01
2001-01-01,0.16
2001-02-01,0.17
2001-03-01,0.29
2001-04-01,0.38
2001-05-01,0.47
2001-06-01,0.36
2001-07-01,0.15
2001-08-01,0.14
2001-09-01,0.11
2001-10-01,0.2
2001-11-01,0.16
2001-12-01,0.01
2002-01-01,0.14
2002-02-01,-0.06
2002-03-01,0.29
2002-04-01,0.31
2002-05-01,0.49
2002-06-01,0.33
2002-07-01,0.47
2002-08-01,0.01
2002-09-01,-0.08
2002-10-01,0.14
2002-11-01,-0.07
2002-12-01,0.35
2003-01-01,0.56
2003-02-01,0.57
2003-03-01,0.63
2003-04-01,0.42
2003-05-01,0.37
2003-06-01,0.1
2003-07-01,0.4
2003-08-01,0.49
2003-09-01,0.49
2003-10-01,0.53
2003-11-01,0.55
2003-12-01,0.56
2004-01-01,0.41
2004-02-01,0.22
2004-03-01,-0.01
2004-04-01,-0.26
2004-05-01,-0.12
2004-06-01,-0.08
2004-07-01,0.08
2004-08-01,0.22
2004-09-01,0.33
2004-10-01,0.14
2004-11-01,0.24
2004-12-01,0.43
2005-01-01,0.61
2005-02-01,0.49
2005-03-01,0.61
2005-04-01,0.29
2005-05-01,-0.06
2005-06-01,-0.26
2005-07-01,-0.32
2005-08-01,0.01
2005-09-01,-0.09
2005-10-01,-0.0
2005-11-01,-0.07
2005-12-01,-0.02
2006-01-01,0.04
2006-02-01,0.23
2006-03-01,0.41
2006-04-01,0.31
2006-05-01,0.24
2006-06-01,0.41
2006-07-01,0.3
2006-08-01,0.33
2006-09-01,0.27
2006-10-01,0.23
2006-11-01,0.08
2006-12-01,0.32
2007-01-01,0.24
2007-02-01,0.21
2007-03-01,0.04
2007-04-01,0.24
2007-05-01,0.28
2007-06-01,0.43
2007-07-01,0.23
2007-08-01,0.15
2007-09-01,0.27
2007-10-01,0.11
2007-11-01,0.1
2007-12-01,0.2
2008-01-01,0.19
2008-02-01,0.36
2008-03-01,0.6
2008-04-01,0.64
2008-05-01,0.82
2008-06-01,0.7
2008-07-01,0.66
2008-08-01,0.51
2008-09-01,0.28
2008-10-01,0.27
2008-11-01,0.31
2008-12-01,0.41
2009-01-01,0.45
2009-02-01,0.35
2009-03-01,0.54
2009-04-01,0.52
2009-05-01,0.79
2009-06-01,0.59
2009-07-01,0.39
2009-08-01,0.24
2009-09-01,0.19
2009-10-01,0.45
2009-11-01,0.3
2009-12-01,0.7
2010-01-01,0.79
2010-02-01,0.68
2010-03-01,0.89
2010-04-01,0.68
2010-05-01,0.62
2010-06-01,0.85
2010-07-01,0.6
2010-08-01,0.48
2010-09-01,0.23
2010-10-01,0.43
2010-11-01,0.4
2010-12-01,0.41
2011-01-01,0.45
2011-02-01,0.59
2011-03-01,0.72
2011-04-01,0.49
2011-05-01,0.3
2011-06-01,0.2
2011-07-01,0.27
2011-08-01,0.2
2011-09-01,0.24
2011-10-01,0.28
2011-11-01,-0.05
2011-12-01,-0.48
2012-01-01,-0.32
2012-02-01,-0.51
2012-03-01,-0.08
2012-04-01,-0.33
2012-05-01,-0.04
2012-06-01,0.04
2012-07-01,-0.03
2012-08-01,-0.08
2012-09-01,0.02
2012-10-01,0.03
2012-11-01,0.03
2012-12-01,0.18
2013-01-01,0.39
2013-02-01,0.25
2013-03-01,0.26
2013-04-01,0.35
2013-05-01,0.48
2013-06-01,0.28
2013-07-01,0.23
2013-08-01,0.25
2013-09-01,0.03
2013-10-01,0.04
2013-11-01,-0.07
2013-12-01,0.11
2014-01-01,0.11
2014-02-01,0.22
2014-03-01,0.22
2014-04-01,0.23
2014-05-01,0.48
2014-06-01,0.47
2014-07-01,0.17
2014-08-01,0.24
2014-09-01,0.26
2014-10-01,0.16
2014-11-01,-0.32
2014-12-01,-0.12
2015-01-01,0.43
2015-02-01,0.42
2015-03-01,0.23
2015-04-01,0.36
2015-05-01,0.46
2015-06-01,0.38
2015-07-01,0.07
2015-08-01,-0.11
2015-09-01,-0.04
2015-10-01,0.28
2015-11-01,0.37
2015-12-01,0.7
2016-01-01,0.81
2016-02-01,0.59
2016-03-01,0.6
2016-04-01,0.39
2016-05-01,0.35
2016-06-01,0.68
2016-07-01,0.63
2016-08-01,0.52
2016-09-01,0.26
2016-10-01,0.46
2016-11-01,0.28
2016-12-01,0.67
2017-01-01,0.58
2017-02-01,0.09
2017-03-01,0.29
2017-04-01,0.4
2017-05-01,0.47
2017-06-01,0.57
2017-07-01,0.35
2017-08-01,0.59
2017-09-01,0.27
2017-10-01,0.42
2017-11-01,0.2
2017-12-01,0.17
2018-01-01,0.62
2018-02-01,-0.01
2018-03-01,0.17
2018-04-01,0.28
2018-05-01,0.28
2018-06-01,0.46
2018-07-01,0.38
2018-08-01,0.41
2018-09-01,0.36
2018-10-01,0.53
2018-11-01,0.39
2018-12-01,0.66
2019-01-01,0.75
2019-02-01,0.68
2019-03-01,1.02
2019-04-01,0.65
2019-05-01,0.65
2019-06-01,0.58
2019-07-01,0.5
2019-08-01,0.41
2019-09-01,0.48
2019-10-01,0.47
2019-11-01,1.06
2019-12-01,1.06
2020-01-01,1.28
2020-02-01,0.84
2020-03-01,0.66
2020-04-01,0.72
2020-05-01,0.88
2020-06-01,0.6
2020-07-01,0.55
2020-08-01,0.5
2020-09-01,0.24
2020-10-01,0.39
2020-11-01,0.12
2020-12-01,-0.11
2021-01-01,0.21
2021-02-01,-0.06
2021-03-01,0.14
2021-04-01,0.37
2021-05-01,0.76
2021-06-01,0.89
2021-07-01,1.11
2021-08-01,0.92
2021-09-01,0.58
2021-10-01,0.65
2021-11-01,0.5
2021-12-01,0.26
2022-01-01,0.47
2022-02-01,0.73
2022-03-01,0.57
2022-04-01,0.46
2022-05-01,0.36
2022-06-01,0.61
2022-07-01,0.34
2022-08-01,0.38
2022-09-01,0.35
2022-10-01,0.52
2022-11-01,0.51
2022-12-01,0.6
2023-01-01,0.82
2023-02-01,0.55
2023-03-01,0.48
2023-04-01,0.5
2023-05-01,0.79
2023-06-01,0.57
2023-07-01,0.54
2023-08-01,0.5
2023-09-01,0.4
2023-10-01,0.41
2023-11-01,0.91
2023-12-01,1.31
