date,glaam
1987-04-01,0.27
1987-05-01,0.21
1987-06-01,0.58
1987-07-01,1.08
1987-08-01,1.45
1987-09-01,1.65
1987-10-01,1.74
1987-11-01,1.53
1987-12-01,1.3
1988-01-01,1.45
1988-02-01,1.12
1988-03-01,1.03
1988-04-01,0.59
1988-05-01,0.27
1988-06-01,-0.41
1988-07-01,-1.06
1988-08-01,-1.52
1988-09-01,-1.32
1988-10-01,-0.93
1988-11-01,-0.9
1988-12-01,-1.19
1989-01-01,-1.75
1989-02-01,-1.72
1989-03-01,-1.71
1989-04-01,-1.33
1989-05-01,-0.91
1989-06-01,-0.46
1989-07-01,-0.18
1989-08-01,-0.43
1989-09-01,-0.41
1989-10-01,-0.11
1989-11-01,0.42
1989-12-01,0.32
1990-01-01,0.65
1990-02-01,0.85
1990-03-01,1.28
1990-04-01,0.69
1990-05-01,0.65
1990-06-01,0.59
1990-07-01,1.06
1990-08-01,0.95
1990-09-01,0.97
1990-10-01,0.59
1990-11-01,0.45
1990-12-01,0.42
1991-01-01,0.49
1991-02-01,0.49
1991-03-01,0.19
1991-04-01,-0.04
1991-05-01,0.15
1991-06-01,0.18
1991-07-01,0.03
1991-08-01,-0.0
1991-09-01,-0.46
1991-10-01,-0.34
1991-11-01,-0.36
1991-12-01,0.64
1992-01-01,1.04
1992-02-01,1.5
1992-03-01,1.52
1992-04-01,1.26
1992-05-01,0.68
1992-06-01,0.06
1992-07-01,0.38
1992-08-01,0.27
1992-09-01,0.43
1992-10-01,0.03
1992-11-01,0.4
1992-12-01,0.93
1993-01-01,1.43
1993-02-01,1.32
1993-03-01,1.25
1993-04-01,1.17
1993-05-01,1.34
1993-06-01,1.02
1993-07-01,0.89
1993-08-01,0.52
1993-09-01,0.49
1993-10-01,0.14
1993-11-01,-0.02
1993-12-01,-0.33
1994-01-01,-0.45
1994-02-01,-0.51
1994-03-01,-0.65
1994-04-01,-0.65
1994-05-01,-0.92
1994-06-01,-0.93
1994-07-01,-1.14
1994-08-01,-0.52
1994-09-01,-0.36
1994-10-01,-0.2
1994-11-01,-0.02
1994-12-01,0.65
1995-01-01,1.21
1995-02-01,1.43
1995-03-01,1.24
1995-04-01,1.19
1995-05-01,1.05
1995-06-01,0.74
1995-07-01,0.37
1995-08-01,0.12
1995-09-01,0.04
1995-10-01,0.34
1995-11-01,0.58
1995-12-01,0.16
1996-01-01,-0.5
1996-02-01,-1.13
1996-03-01,-0.99
1996-04-01,-0.7
1996-05-01,-0.57
1996-06-01,-0.45
1996-07-01,-0.79
1996-08-01,-1.05
1996-09-01,-1.11
1996-10-01,-0.81
1996-11-01,-0.52
1996-12-01,-0.22
1997-01-01,-0.38
1997-02-01,0.39
1997-03-01,0.91
1997-04-01,1.82
1997-05-01,1.67
1997-06-01,1.72
1997-07-01,1.99
1997-08-01,2.27
1997-09-01,2.44
1997-10-01,2.28
1997-11-01,1.66
1997-12-01,1.51
1998-01-01,1.83
1998-02-01,2.22
1998-03-01,1.95
1998-04-01,1.51
1998-05-01,0.56
1998-06-01,-0.34
1998-07-01,-1.35
1998-08-01,-1.44
1998-09-01,-1.04
1998-10-01,-0.38
1998-11-01,-0.38
1998-12-01,-0.5
1999-01-01,-0.83
1999-02-01,-0.88
1999-03-01,-0.9
1999-04-01,-1.0
1999-05-01,-0.52
1999-06-01,-0.44
1999-07-01,-0.16
1999-08-01,-0.51
1999-09-01,-0.5
1999-10-01,-0.47
1999-11-01,-0.25
1999-12-01,-0.36
2000-01-01,-0.94
2000-02-01,-1.58
2000-03-01,-1.93
2000-04-01,-1.83
2000-05-01,-1.54
2000-06-01,-1.13
2000-07-01,-0.84
2000-08-01,-0.88
2000-09-01,-0.87
2000-10-01,-0.99
2000-11-01,-0.65
2000-12-01,-1.06
2001-01-01,-1.21
2001-02-01,-1.27
2001-03-01,-1.28
2001-04-01,-1.07
2001-05-01,-1.52
2001-06-01,-1.1
2001-07-01,-0.96
2001-08-01,-0.73
2001-09-01,-0.46
2001-10-01,-0.39
2001-11-01,0.44
2001-12-01,0.46
2002-01-01,0.79
2002-02-01,0.48
2002-03-01,0.14
2002-04-01,0.02
2002-05-01,-0.35
2002-06-01,0.19
2002-07-01,-0.08
2002-08-01,0.05
2002-09-01,-0.27
2002-10-01,-0.43
2002-11-01,0.18
2002-12-01,0.53
2003-01-01,0.79
2003-02-01,0.38
2003-03-01,-0.07
2003-04-01,-0.33
2003-05-01,-0.68
2003-06-01,-0.73
2003-07-01,-0.48
2003-08-01,-0.28
2003-09-01,-0.1
2003-10-01,-0.37
2003-11-01,-0.49
2003-12-01,0.06
2004-01-01,0.4
2004-02-01,0.62
2004-03-01,0.2
2004-04-01,0.15
2004-05-01,0.09
2004-06-01,-0.1
2004-07-01,0.17
2004-08-01,-0.03
2004-09-01,0.03
2004-10-01,-0.2
2004-11-01,0.23
2004-12-01,0.54
2005-01-01,1.19
2005-02-01,1.3
2005-03-01,0.91
2005-04-01,-0.01
2005-05-01,-0.61
2005-06-01,-1.05
2005-07-01,-1.24
2005-08-01,-1.36
2005-09-01,-1.37
2005-10-01,-1.35
2005-11-01,-1.28
2005-12-01,-1.15
2006-01-01,-0.72
2006-02-01,-0.56
2006-03-01,-0.39
2006-04-01,-0.48
2006-05-01,-0.61
2006-06-01,-0.05
2006-07-01,-0.08
2006-08-01,0.17
2006-09-01,0.02
2006-10-01,-0.14
2006-11-01,-0.18
2006-12-01,-0.05
2007-01-01,0.03
2007-02-01,-0.37
2007-03-01,-0.87
2007-04-01,-1.01
2007-05-01,-0.88
2007-06-01,-1.08
2007-07-01,-1.87
2007-08-01,-2.14
2007-09-01,-2.51
2007-10-01,-1.92
2007-11-01,-1.73
2007-12-01,-1.09
2008-01-01,-1.0
2008-02-01,-1.19
2008-03-01,-1.5
2008-04-01,-1.31
2008-05-01,-0.9
2008-06-01,-0.53
2008-07-01,-0.52
2008-08-01,-0.31
2008-09-01,-0.42
2008-10-01,-0.16
2008-11-01,-0.22
2008-12-01,-0.42
2009-01-01,-1.12
2009-02-01,-1.26
2009-03-01,-1.01
2009-04-01,-0.45
2009-05-01,-0.08
2009-06-01,-0.01
2009-07-01,0.1
2009-08-01,-0.13
2009-09-01,-0.21
2009-10-01,-0.44
2009-11-01,-0.22
2009-12-01,-0.03
2010-01-01,0.83
2010-02-01,0.72
2010-03-01,0.89
2010-04-01,0.2
2010-05-01,-0.3
2010-06-01,-1.25
2010-07-01,-1.72
2010-08-01,-1.84
2010-09-01,-1.13
2010-10-01,-0.78
2010-11-01,-0.47
2010-12-01,-0.76
2011-01-01,-0.9
2011-02-01,-0.82
2011-03-01,-0.83
2011-04-01,-0.51
2011-05-01,-0.43
2011-06-01,-0.4
2011-07-01,-0.76
2011-08-01,-0.71
2011-09-01,-0.53
2011-10-01,-0.36
2011-11-01,-0.3
2011-12-01,-0.06
2012-01-01,-0.4
2012-02-01,-0.64
2012-03-01,-1.14
2012-04-01,-1.19
2012-05-01,-1.31
2012-06-01,-1.34
2012-07-01,-1.3
2012-08-01,-1.18
2012-09-01,-1.2
2012-10-01,-0.6
2012-11-01,-0.51
2012-12-01,0.22
2013-01-01,0.0
2013-02-01,0.65
2013-03-01,0.55
2013-04-01,0.69
2013-05-01,0.01
2013-06-01,-0.41
2013-07-01,-0.53
2013-08-01,-0.34
2013-09-01,-0.26
2013-10-01,-0.32
2013-11-01,-0.19
2013-12-01,-0.05
2014-01-01,0.05
2014-02-01,-0.03
2014-03-01,
2014-04-01,
2014-05-01,
2014-06-01,
2014-07-01,
2014-08-01,
2014-09-01,
2014-10-01,
2014-11-01,
2014-12-01,
