date,meiv2
1987-06-01,2.02
1987-07-01,1.92
1987-08-01,1.48
1987-09-01,1.23
1987-10-01,1.13
1987-11-01,0.85
1987-12-01,0.75
1988-01-01,0.59
1988-02-01,0.31
1988-03-01,0.19
1988-04-01,-0.01
1988-05-01,-0.36
1988-06-01,-1.19
1988-07-01,-1.77
1988-08-01,-1.79
1988-09-01,-1.78
1988-10-01,-1.54
1988-11-01,-1.61
1988-12-01,-1.49
1989-01-01,-1.09
1989-02-01,-1.06
1989-03-01,-1.2
1989-04-01,-1.09
1989-05-01,-1.04
1989-06-01,-1.02
1989-07-01,-1.12
1989-08-01,-0.73
1989-09-01,-0.61
1989-10-01,-0.56
1989-11-01,-0.33
1989-12-01,-0.02
1990-01-01,0.11
1990-02-01,0.43
1990-03-01,0.61
1990-04-01,0.17
1990-05-01,0.03
1990-06-01,0.04
1990-07-01,0.17
1990-08-01,0.06
1990-09-01,0.21
1990-10-01,-0.05
1990-11-01,0.12
1990-12-01,0.28
1991-01-01,0.16
1991-02-01,0.08
1991-03-01,0.21
1991-04-01,0.21
1991-05-01,0.35
1991-06-01,0.89
1991-07-01,0.88
1991-08-01,0.42
1991-09-01,0.62
1991-10-01,1.09
1991-11-01,1.17
1991-12-01,1.29
1992-01-01,1.7
1992-02-01,1.59
1992-03-01,1.72
1992-04-01,1.98
1992-05-01,1.69
1992-06-01,1.58
1992-07-01,0.76
1992-08-01,0.08
1992-09-01,0.5
1992-10-01,0.81
1992-11-01,0.73
1992-12-01,0.78
1993-01-01,0.83
1993-02-01,0.93
1993-03-01,0.78
1993-04-01,0.98
1993-05-01,1.48
1993-06-01,1.5
1993-07-01,0.9
1993-08-01,0.62
1993-09-01,0.64
1993-10-01,0.95
1993-11-01,0.7
1993-12-01,0.26
1994-01-01,0.02
1994-02-01,-0.17
1994-03-01,-0.21
1994-04-01,0.03
1994-05-01,0.0
1994-06-01,0.25
1994-07-01,0.88
1994-08-01,0.84
1994-09-01,1.06
1994-10-01,1.47
1994-11-01,0.99
1994-12-01,0.87
1995-01-01,0.77
1995-02-01,0.48
1995-03-01,0.14
1995-04-01,0.18
1995-05-01,0.16
1995-06-01,-0.0
1995-07-01,-0.25
1995-08-01,-0.65
1995-09-01,-0.86
1995-10-01,-0.65
1995-11-01,-0.67
1995-12-01,-0.82
1996-01-01,-0.83
1996-02-01,-0.81
1996-03-01,-0.64
1996-04-01,-0.69
1996-05-01,-0.83
1996-06-01,-0.9
1996-07-01,-0.76
1996-08-01,-0.6
1996-09-01,-0.26
1996-10-01,-0.31
1996-11-01,-0.3
1996-12-01,-0.46
1997-01-01,-0.66
1997-02-01,-0.72
1997-03-01,-0.29
1997-04-01,0.17
1997-05-01,0.69
1997-06-01,2.25
1997-07-01,2.11
1997-08-01,2.2
1997-09-01,2.17
1997-10-01,2.01
1997-11-01,2.06
1997-12-01,2.04
1998-01-01,2.23
1998-02-01,2.43
1998-03-01,2.27
1998-04-01,2.55
1998-05-01,2.26
1998-06-01,0.37
1998-07-01,-1.43
1998-08-01,-1.74
1998-09-01,-1.31
1998-10-01,-1.21
1998-11-01,-1.3
1998-12-01,-1.25
1999-01-01,-1.26
1999-02-01,-1.18
1999-03-01,-1.11
1999-04-01,-1.16
1999-05-01,-1.36
1999-06-01,-1.26
1999-07-01,-1.18
1999-08-01,-1.07
1999-09-01,-1.17
1999-10-01,-1.31
1999-11-01,-1.33
1999-12-01,-1.43
2000-01-01,-1.26
2000-02-01,-1.27
2000-03-01,-1.36
2000-04-01,-0.93
2000-05-01,-0.97
2000-06-01,-1.14
2000-07-01,-0.58
2000-08-01,-0.08
2000-09-01,-0.36
2000-10-01,-0.55
2000-11-01,-0.91
2000-12-01,-0.8
2001-01-01,-0.82
2001-02-01,-0.87
2001-03-01,-0.79
2001-04-01,-0.61
2001-05-01,-0.58
2001-06-01,-0.71
2001-07-01,-0.01
2001-08-01,0.34
2001-09-01,-0.07
2001-10-01,-0.25
2001-11-01,-0.32
2001-12-01,0.02
2002-01-01,0.07
2002-02-01,-0.26
2002-03-01,-0.2
2002-04-01,-0.36
2002-05-01,-0.1
2002-06-01,0.4
2002-07-01,0.42
2002-08-01,0.97
2002-09-01,0.84
2002-10-01,0.79
2002-11-01,0.76
2002-12-01,0.86
2003-01-01,0.8
2003-02-01,0.62
2003-03-01,0.53
2003-04-01,-0.08
2003-05-01,-0.57
2003-06-01,-0.07
2003-07-01,0.0
2003-08-01,0.02
2003-09-01,0.14
2003-10-01,0.26
2003-11-01,0.29
2003-12-01,0.1
2004-01-01,0.16
2004-02-01,-0.04
2004-03-01,-0.44
2004-04-01,-0.23
2004-05-01,-0.44
2004-06-01,-0.34
2004-07-01,0.43
2004-08-01,0.74
2004-09-01,0.54
2004-10-01,0.34
2004-11-01,0.51
2004-12-01,0.51
2005-01-01,0.08
2005-02-01,0.6
2005-03-01,0.82
2005-04-01,0.13
2005-05-01,0.18
2005-06-01,0.2
2005-07-01,-0.02
2005-08-01,-0.01
2005-09-01,-0.05
2005-10-01,-0.71
2005-11-01,-0.75
2005-12-01,-0.73
2006-01-01,-0.68
2006-02-01,-0.5
2006-03-01,-0.62
2006-04-01,-0.84
2006-05-01,-0.43
2006-06-01,-0.23
2006-07-01,0.11
2006-08-01,0.56
2006-09-01,0.63
2006-10-01,0.68
2006-11-01,0.9
2006-12-01,0.59
2007-01-01,0.62
2007-02-01,0.39
2007-03-01,-0.22
2007-04-01,-0.36
2007-05-01,-0.44
2007-06-01,-0.86
2007-07-01,-0.77
2007-08-01,-0.94
2007-09-01,-1.1
2007-10-01,-1.14
2007-11-01,-1.12
2007-12-01,-1.21
2008-01-01,-1.08
2008-02-01,-1.27
2008-03-01,-1.53
2008-04-01,-1.13
2008-05-01,-0.98
2008-06-01,-0.86
2008-07-01,-0.87
2008-08-01,-1.08
2008-09-01,-1.07
2008-10-01,-1.12
2008-11-01,-1.04
2008-12-01,-1.05
2009-01-01,-1.0
2009-02-01,-0.84
2009-03-01,-0.93
2009-04-01,-0.81
2009-05-01,-0.72
2009-06-01,-0.06
2009-07-01,0.49
2009-08-01,0.52
2009-09-01,0.39
2009-10-01,0.56
2009-11-01,1.05
2009-12-01,0.96
2010-01-01,0.94
2010-02-01,1.28
2010-03-01,1.31
2010-04-01,0.49
2010-05-01,-0.17
2010-06-01,-1.33
2010-07-01,-2.43
2010-08-01,-2.4
2010-09-01,-2.28
2010-10-01,-2.18
2010-11-01,-2.03
2010-12-01,-1.91
2011-01-01,-1.83
2011-02-01,-1.63
2011-03-01,-1.79
2011-04-01,-1.73
2011-05-01,-1.29
2011-06-01,-1.08
2011-07-01,-0.86
2011-08-01,-0.88
2011-09-01,-1.16
2011-10-01,-1.37
2011-11-01,-1.21
2011-12-01,-1.24
2012-01-01,-1.08
2012-02-01,-0.67
2012-03-01,-0.59
2012-04-01,-0.43
2012-05-01,-0.36
2012-06-01,-0.28
2012-07-01,0.3
2012-08-01,-0.06
2012-09-01,-0.32
2012-10-01,-0.22
2012-11-01,-0.07
2012-12-01,-0.06
2013-01-01,-0.05
2013-02-01,-0.07
2013-03-01,-0.14
2013-04-01,-0.36
2013-05-01,-0.71
2013-06-01,-1.18
2013-07-01,-0.85
2013-08-01,-0.5
2013-09-01,-0.38
2013-10-01,-0.16
2013-11-01,-0.17
2013-12-01,-0.35
2014-01-01,-0.51
2014-02-01,-0.43
2014-03-01,-0.07
2014-04-01,-0.16
2014-05-01,-0.18
2014-06-01,-0.01
2014-07-01,0.31
2014-08-01,0.15
2014-09-01,-0.15
2014-10-01,0.06
2014-11-01,0.34
2014-12-01,0.34
2015-01-01,0.23
2015-02-01,0.05
2015-03-01,0.13
2015-04-01,0.35
2015-05-01,0.96
2015-06-01,1.85
2015-07-01,1.72
2015-08-01,1.91
2015-09-01,2.21
2015-10-01,2.11
2015-11-01,1.88
2015-12-01,1.9
2016-01-01,1.95
2016-02-01,1.81
2016-03-01,1.32
2016-04-01,1.34
2016-05-01,1.26
2016-06-01,0.36
2016-07-01,-0.51
2016-08-01,-0.28
2016-09-01,-0.34
2016-10-01,-0.61
2016-11-01,-0.51
2016-12-01,-0.34
2017-01-01,-0.4
2017-02-01,-0.41
2017-03-01,-0.58
2017-04-01,-0.21
2017-05-01,0.17
2017-06-01,-0.29
2017-07-01,-0.7
2017-08-01,-0.77
2017-09-01,-0.8
2017-10-01,-0.63
2017-11-01,-0.63
2017-12-01,-0.73
2018-01-01,-0.77
2018-02-01,-0.7
2018-03-01,-0.79
2018-04-01,-1.3
2018-05-01,-0.91
2018-06-01,-0.51
2018-07-01,-0.17
2018-08-01,0.37
2018-09-01,0.52
2018-10-01,0.41
2018-11-01,0.26
2018-12-01,0.13
2019-01-01,0.08
2019-02-01,0.53
2019-03-01,0.77
2019-04-01,0.32
2019-05-01,0.26
2019-06-01,0.35
2019-07-01,0.24
2019-08-01,0.29
2019-09-01,0.14
2019-10-01,0.27
2019-11-01,0.45
2019-12-01,0.41
2020-01-01,0.29
2020-02-01,0.3
2020-03-01,0.16
2020-04-01,-0.11
2020-05-01,-0.23
2020-06-01,-0.73
2020-07-01,-1.01
2020-08-01,-1.0
2020-09-01,-1.19
2020-10-01,-1.21
2020-11-01,-1.15
2020-12-01,-1.16
2021-01-01,-1.2
2021-02-01,-0.95
2021-03-01,-0.79
2021-04-01,-0.96
2021-05-01,-1.07
2021-06-01,-1.11
2021-07-01,-1.54
2021-08-01,-1.34
2021-09-01,-1.42
2021-10-01,-1.47
2021-11-01,-1.41
2021-12-01,-1.22
2022-01-01,-1.02
2022-02-01,-0.97
2022-03-01,-1.29
2022-04-01,-1.61
2022-05-01,-1.68
2022-06-01,-1.95
2022-07-01,-2.22
2022-08-01,-1.78
2022-09-01,-1.77
2022-10-01,-1.76
2022-11-01,-1.53
2022-12-01,-1.26
2023-01-01,-1.12
2023-02-01,-0.9
2023-03-01,-0.75
2023-04-01,-0.36
2023-05-01,-0.06
2023-06-01,0.39
2023-07-01,0.43
2023-08-01,0.45
2023-09-01,0.61
2023-10-01,0.39
2023-11-01,0.81
2023-12-01,1.07
