date,eofpac
1961-08-01,-0.738
1961-09-01,-1.063
1961-10-01,-0.808
1961-11-01,-0.471
1961-12-01,-0.42
1962-01-01,-0.518
1962-02-01,-0.461
1962-03-01,-1.025
1962-04-01,-1.289
1962-05-01,-0.891
1962-06-01,-0.816
1962-07-01,-0.587
1962-08-01,-0.207
1962-09-01,-0.652
1962-10-01,-0.709
1962-11-01,-0.59
1962-12-01,-0.782
1963-01-01,-0.553
1963-02-01,-0.616
1963-03-01,-0.356
1963-04-01,-0.203
1963-05-01,-0.158
1963-06-01,0.0
1963-07-01,0.832
1963-08-01,0.831
1963-09-01,0.786
1963-10-01,0.844
1963-11-01,0.751
1963-12-01,0.618
1964-01-01,0.373
1964-02-01,-0.1
1964-03-01,-0.84
1964-04-01,-1.103
1964-05-01,-1.68
1964-06-01,-1.601
1964-07-01,-1.091
1964-08-01,-1.505
1964-09-01,-1.246
1964-10-01,-0.997
1964-11-01,-0.971
1964-12-01,-1.082
1965-01-01,-0.68
1965-02-01,-0.29
1965-03-01,-0.135
1965-04-01,0.463
1965-05-01,0.928
1965-06-01,1.175
1965-07-01,1.453
1965-08-01,1.394
1965-09-01,1.189
1965-10-01,1.273
1965-11-01,1.262
1965-12-01,1.359
1966-01-01,1.216
1966-02-01,0.858
1966-03-01,0.697
1966-04-01,0.402
1966-05-01,-0.348
1966-06-01,0.002
1966-07-01,0.079
1966-08-01,0.001
1966-09-01,-0.32
1966-10-01,-0.171
1966-11-01,-0.257
1966-12-01,-0.327
1967-01-01,-0.527
1967-02-01,-0.491
1967-03-01,-0.875
1967-04-01,-0.84
1967-05-01,-0.192
1967-06-01,-0.167
1967-07-01,-0.591
1967-08-01,-0.901
1967-09-01,-1.032
1967-10-01,-0.915
1967-11-01,-0.714
1967-12-01,-0.71
1968-01-01,-0.865
1968-02-01,-1.09
1968-03-01,-1.217
1968-04-01,-0.971
1968-05-01,-1.033
1968-06-01,-0.333
1968-07-01,0.027
1968-08-01,0.269
1968-09-01,0.207
1968-10-01,0.332
1968-11-01,0.498
1968-12-01,0.599
1969-01-01,1.051
1969-02-01,1.009
1969-03-01,1.035
1969-04-01,0.975
1969-05-01,1.504
1969-06-01,1.0
1969-07-01,0.433
1969-08-01,0.479
1969-09-01,0.708
1969-10-01,0.839
1969-11-01,0.683
1969-12-01,0.79
1970-01-01,0.678
1970-02-01,0.283
1970-03-01,-0.035
1970-04-01,0.05
1970-05-01,-0.427
1970-06-01,-1.014
1970-07-01,-1.684
1970-08-01,-1.575
1970-09-01,-1.343
1970-10-01,-1.184
1970-11-01,-1.374
1970-12-01,-1.454
1971-01-01,-1.51
1971-02-01,-1.937
1971-03-01,-1.949
1971-04-01,-1.531
1971-05-01,-1.392
1971-06-01,-1.399
1971-07-01,-1.054
1971-08-01,-1.303
1971-09-01,-1.212
1971-10-01,-1.158
1971-11-01,-1.044
1971-12-01,-1.023
1972-01-01,-0.465
1972-02-01,0.133
1972-03-01,0.015
1972-04-01,0.742
1972-05-01,1.066
1972-06-01,1.315
1972-07-01,1.774
1972-08-01,1.997
1972-09-01,1.487
1972-10-01,1.72
1972-11-01,1.736
1972-12-01,1.82
1973-01-01,1.674
1973-02-01,1.162
1973-03-01,0.537
1973-04-01,-0.477
1973-05-01,-0.684
1973-06-01,-1.251
1973-07-01,-1.303
1973-08-01,-1.482
1973-09-01,-1.519
1973-10-01,-1.464
1973-11-01,-1.419
1973-12-01,-1.632
1974-01-01,-1.821
1974-02-01,-1.85
1974-03-01,-1.556
1974-04-01,-1.244
1974-05-01,-1.014
1974-06-01,-0.888
1974-07-01,-0.82
1974-08-01,-0.661
1974-09-01,-0.752
1974-10-01,-0.925
1974-11-01,-0.892
1974-12-01,-0.924
1975-01-01,-0.724
1975-02-01,-0.845
1975-03-01,-1.072
1975-04-01,-0.961
1975-05-01,-1.516
1975-06-01,-1.835
1975-07-01,-1.49
1975-08-01,-1.545
1975-09-01,-1.779
1975-10-01,-1.677
1975-11-01,-1.49
1975-12-01,-1.736
1976-01-01,-1.803
1976-02-01,-1.377
1976-03-01,-1.149
1976-04-01,-0.999
1976-05-01,-0.454
1976-06-01,0.241
1976-07-01,0.407
1976-08-01,0.52
1976-09-01,0.815
1976-10-01,0.846
1976-11-01,0.712
1976-12-01,0.571
1977-01-01,0.801
1977-02-01,0.387
1977-03-01,0.304
1977-04-01,-0.235
1977-05-01,0.244
1977-06-01,0.29
1977-07-01,0.275
1977-08-01,-0.081
1977-09-01,0.185
1977-10-01,0.545
1977-11-01,0.562
1977-12-01,0.394
1978-01-01,0.542
1978-02-01,0.196
1978-03-01,-0.062
1978-04-01,-0.632
1978-05-01,-0.453
1978-06-01,-0.661
1978-07-01,-0.523
1978-08-01,-0.689
1978-09-01,-0.469
1978-10-01,-0.241
1978-11-01,0.096
1978-12-01,0.304
1979-01-01,0.155
1979-02-01,-0.04
1979-03-01,0.352
1979-04-01,0.38
1979-05-01,0.339
1979-06-01,0.517
1979-07-01,0.141
1979-08-01,0.258
1979-09-01,1.032
1979-10-01,0.414
1979-11-01,0.478
1979-12-01,0.556
1980-01-01,0.722
1980-02-01,0.559
1980-03-01,0.422
1980-04-01,0.537
1980-05-01,0.461
1980-06-01,0.781
1980-07-01,0.115
1980-08-01,-0.158
1980-09-01,0.267
1980-10-01,-0.128
1980-11-01,0.201
1980-12-01,0.305
1981-01-01,-0.438
1981-02-01,-0.705
1981-03-01,-0.201
1981-04-01,-0.606
1981-05-01,-0.282
1981-06-01,-0.19
1981-07-01,-0.526
1981-08-01,-0.706
1981-09-01,-0.07
1981-10-01,0.115
1981-11-01,-0.139
1981-12-01,0.197
1982-01-01,0.369
1982-02-01,0.139
1982-03-01,0.04
1982-04-01,0.563
1982-05-01,1.111
1982-06-01,1.468
1982-07-01,1.265
1982-08-01,1.477
1982-09-01,1.903
1982-10-01,2.133
1982-11-01,2.243
1982-12-01,2.53
1983-01-01,2.817
1983-02-01,2.98
1983-03-01,2.934
1983-04-01,2.598
1983-05-01,2.589
1983-06-01,2.425
1983-07-01,1.856
1983-08-01,1.353
1983-09-01,0.667
1983-10-01,0.112
1983-11-01,-0.157
1983-12-01,-0.033
1984-01-01,-0.225
1984-02-01,-0.108
1984-03-01,-0.026
1984-04-01,-0.216
1984-05-01,-0.557
1984-06-01,-0.705
1984-07-01,-0.426
1984-08-01,-0.4
1984-09-01,-0.101
1984-10-01,-0.457
1984-11-01,-0.496
1984-12-01,-0.878
1985-01-01,-0.848
1985-02-01,-1.146
1985-03-01,-1.12
1985-04-01,-1.218
1985-05-01,-1.013
1985-06-01,-0.885
1985-07-01,-0.804
1985-08-01,-0.662
1985-09-01,-0.551
1985-10-01,-0.484
1985-11-01,-0.352
1985-12-01,-0.311
1986-01-01,-0.42
1986-02-01,-0.282
1986-03-01,-0.248
1986-04-01,-0.313
1986-05-01,-0.247
1986-06-01,-0.028
1986-07-01,0.206
1986-08-01,0.45
1986-09-01,0.862
1986-10-01,1.014
1986-11-01,1.107
1986-12-01,1.026
1987-01-01,1.203
1987-02-01,1.529
1987-03-01,2.044
1987-04-01,1.951
1987-05-01,1.595
1987-06-01,1.885
1987-07-01,2.17
1987-08-01,2.036
1987-09-01,2.171
1987-10-01,1.757
1987-11-01,1.511
1987-12-01,1.291
1988-01-01,0.996
1988-02-01,0.72
1988-03-01,0.425
1988-04-01,-0.337
1988-05-01,-1.008
1988-06-01,-1.547
1988-07-01,-1.756
1988-08-01,-1.687
1988-09-01,-1.183
1988-10-01,-1.544
1988-11-01,-1.519
1988-12-01,-1.539
1989-01-01,-1.467
1989-02-01,-1.203
1989-03-01,-1.444
1989-04-01,-1.084
1989-05-01,-0.895
1989-06-01,-0.716
1989-07-01,-0.534
1989-08-01,-0.564
1989-09-01,-0.433
1989-10-01,-0.356
1989-11-01,-0.199
1989-12-01,-0.063
1990-01-01,0.017
1990-02-01,0.346
1990-03-01,0.372
1990-04-01,0.559
1990-05-01,0.45
1990-06-01,0.157
1990-07-01,0.016
1990-08-01,0.319
1990-09-01,0.327
1990-10-01,0.316
1990-11-01,0.187
1990-12-01,0.331
1991-01-01,0.382
1991-02-01,0.344
1991-03-01,0.371
1991-04-01,0.4
1991-05-01,1.013
1991-06-01,1.255
1991-07-01,1.34
1991-08-01,0.932
1991-09-01,0.766
1991-10-01,1.02
1991-11-01,1.122
1991-12-01,1.304
1992-01-01,1.343
1992-02-01,1.625
1992-03-01,2.044
1992-04-01,2.357
1992-05-01,2.201
1992-06-01,1.131
1992-07-01,0.726
1992-08-01,0.281
1992-09-01,0.18
1992-10-01,0.194
1992-11-01,0.361
1992-12-01,0.295
1993-01-01,0.545
1993-02-01,0.971
1993-03-01,1.318
1993-04-01,1.78
1993-05-01,1.747
1993-06-01,1.267
1993-07-01,0.786
1993-08-01,0.556
1993-09-01,0.668
1993-10-01,0.74
1993-11-01,0.519
1993-12-01,0.506
1994-01-01,0.431
1994-02-01,0.074
1994-03-01,0.197
1994-04-01,0.154
1994-05-01,0.388
1994-06-01,0.556
1994-07-01,0.315
1994-08-01,0.336
1994-09-01,0.636
1994-10-01,1.104
1994-11-01,1.147
1994-12-01,1.085
1995-01-01,1.093
1995-02-01,1.015
1995-03-01,0.763
1995-04-01,0.179
1995-05-01,-0.005
1995-06-01,0.309
1995-07-01,0.191
1995-08-01,-0.405
1995-09-01,-0.41
1995-10-01,-0.589
1995-11-01,-0.496
1995-12-01,-0.494
1996-01-01,-0.514
1996-02-01,-0.627
1996-03-01,-0.359
1996-04-01,-0.906
1996-05-01,-0.804
1996-06-01,-0.576
1996-07-01,-0.44
1996-08-01,-0.35
1996-09-01,-0.297
1996-10-01,-0.235
1996-11-01,-0.248
1996-12-01,-0.489
1997-01-01,-0.446
1997-02-01,-0.315
1997-03-01,0.332
1997-04-01,0.957
1997-05-01,1.782
1997-06-01,2.512
1997-07-01,3.032
1997-08-01,3.366
1997-09-01,3.312
1997-10-01,3.048
1997-11-01,2.929
1997-12-01,2.759
1998-01-01,2.876
1998-02-01,2.946
1998-03-01,2.912
1998-04-01,2.481
1998-05-01,1.941
1998-06-01,0.685
1998-07-01,0.382
1998-08-01,0.144
1998-09-01,-0.18
1998-10-01,-0.5
1998-11-01,-0.54
1998-12-01,-0.788
1999-01-01,-1.085
1999-02-01,-1.026
1999-03-01,-0.807
1999-04-01,-1.391
1999-05-01,-0.925
1999-06-01,-1.057
1999-07-01,-1.09
1999-08-01,-1.125
1999-09-01,-1.065
1999-10-01,-0.973
1999-11-01,-1.143
1999-12-01,-1.218
2000-01-01,-1.411
2000-02-01,-1.259
2000-03-01,-1.081
2000-04-01,-0.56
2000-05-01,-0.605
2000-06-01,-0.802
2000-07-01,-0.719
2000-08-01,-0.581
2000-09-01,-0.384
2000-10-01,-0.406
2000-11-01,-0.528
2000-12-01,-0.49
2001-01-01,-0.537
2001-02-01,-0.433
2001-03-01,0.127
2001-04-01,0.168
2001-05-01,-0.085
2001-06-01,-0.055
2001-07-01,0.037
2001-08-01,0.074
2001-09-01,-0.096
2001-10-01,-0.071
2001-11-01,-0.137
2001-12-01,-0.206
2002-01-01,-0.174
2002-02-01,0.147
2002-03-01,0.589
2002-04-01,0.659
2002-05-01,0.729
2002-06-01,0.916
2002-07-01,0.755
2002-08-01,0.789
2002-09-01,0.911
2002-10-01,1.115
2002-11-01,1.257
2002-12-01,1.206
2003-01-01,0.876
2003-02-01,0.821
2003-03-01,0.762
2003-04-01,0.142
2003-05-01,-0.566
2003-06-01,-0.11
2003-07-01,0.394
2003-08-01,0.432
2003-09-01,0.506
2003-10-01,0.726
2003-11-01,0.759
2003-12-01,0.577
2004-01-01,0.564
2004-02-01,0.428
2004-03-01,0.318
2004-04-01,0.368
2004-05-01,0.106
2004-06-01,0.217
2004-07-01,0.298
2004-08-01,0.492
2004-09-01,0.831
2004-10-01,0.853
2004-11-01,0.871
2004-12-01,0.854
2005-01-01,0.676
2005-02-01,0.294
2005-03-01,0.558
2005-04-01,0.703
2005-05-01,0.855
2005-06-01,0.758
2005-07-01,0.616
2005-08-01,0.542
2005-09-01,0.163
2005-10-01,0.001
2005-11-01,-0.273
2005-12-01,-0.33
2006-01-01,-0.396
2006-02-01,-0.158
2006-03-01,-0.225
2006-04-01,-0.195
2006-05-01,0.248
2006-06-01,0.24
2006-07-01,0.555
2006-08-01,0.948
2006-09-01,1.299
2006-10-01,1.399
2006-11-01,1.245
2006-12-01,1.166
2007-01-01,0.885
2007-02-01,0.539
2007-03-01,0.165
2007-04-01,0.123
2007-05-01,-0.394
2007-06-01,-0.35
2007-07-01,-0.457
2007-08-01,-0.79
2007-09-01,-1.071
2007-10-01,-1.269
2007-11-01,-1.417
2007-12-01,-1.285
2008-01-01,-1.511
2008-02-01,-1.57
2008-03-01,-1.035
2008-04-01,-0.813
2008-05-01,-0.3
2008-06-01,-0.131
2008-07-01,0.242
2008-08-01,0.422
2008-09-01,0.173
2008-10-01,-0.086
2008-11-01,-0.243
2008-12-01,
