date,qbo
1986-05-01,3.56
1986-06-01,-2.15
1986-07-01,-5.25
1986-08-01,-9.6
1986-09-01,-10.21
1986-10-01,-9.6
1986-11-01,-8.01
1986-12-01,-10.51
1987-01-01,-9.93
1987-02-01,-11.37
1987-03-01,-14.23
1987-04-01,-16.2
1987-05-01,-20.05
1987-06-01,-21.47
1987-07-01,-13.96
1987-08-01,-0.6
1987-09-01,5.88
1987-10-01,9.35
1987-11-01,9.23
1987-12-01,8.41
1988-01-01,7.81
1988-02-01,6.17
1988-03-01,5.86
1988-04-01,6.59
1988-05-01,5.46
1988-06-01,0.42
1988-07-01,-3.96
1988-08-01,-2.58
1988-09-01,-2.29
1988-10-01,-1.53
1988-11-01,-0.84
1988-12-01,-2.42
1989-01-01,-2.87
1989-02-01,-3.56
1989-03-01,-1.63
1989-04-01,-1.93
1989-05-01,-5.46
1989-06-01,-9.38
1989-07-01,-13.86
1989-08-01,-16.98
1989-09-01,-18.83
1989-10-01,-21.3
1989-11-01,-19.01
1989-12-01,-13.54
1990-01-01,-8.71
1990-02-01,-6.74
1990-03-01,0.95
1990-04-01,5.72
1990-05-01,11.46
1990-06-01,12.9
1990-07-01,12.54
1990-08-01,12.63
1990-09-01,13.21
1990-10-01,12.39
1990-11-01,11.55
1990-12-01,10.68
1991-01-01,8.71
1991-02-01,8.44
1991-03-01,9.0
1991-04-01,10.69
1991-05-01,3.82
1991-06-01,-3.34
1991-07-01,-10.36
1991-08-01,-14.69
1991-09-01,-13.96
1991-10-01,-12.21
1991-11-01,-12.27
1991-12-01,-12.68
1992-01-01,-13.96
1992-02-01,-14.33
1992-03-01,-16.84
1992-04-01,-17.79
1992-05-01,-15.96
1992-06-01,-15.34
1992-07-01,-12.05
1992-08-01,-4.75
1992-09-01,1.3
1992-10-01,3.94
1992-11-01,6.33
1992-12-01,8.19
1993-01-01,9.63
1993-02-01,10.81
1993-03-01,11.36
1993-04-01,12.6
1993-05-01,13.56
1993-06-01,6.55
1993-07-01,0.38
1993-08-01,-1.2
1993-09-01,-1.14
1993-10-01,-4.04
1993-11-01,-5.76
1993-12-01,-6.0
1994-01-01,-7.64
1994-02-01,-9.84
1994-03-01,-11.29
1994-04-01,-14.71
1994-05-01,-18.03
1994-06-01,-23.09
1994-07-01,-28.65
1994-08-01,-27.02
1994-09-01,-19.07
1994-10-01,-10.29
1994-11-01,-0.3
1994-12-01,5.93
1995-01-01,8.38
1995-02-01,8.01
1995-03-01,8.79
1995-04-01,11.79
1995-05-01,14.92
1995-06-01,15.62
1995-07-01,11.74
1995-08-01,9.53
1995-09-01,6.98
1995-10-01,3.43
1995-11-01,-0.77
1995-12-01,-4.57
1996-01-01,-5.79
1996-02-01,-6.9
1996-03-01,-9.92
1996-04-01,-11.08
1996-05-01,-14.88
1996-06-01,-17.03
1996-07-01,-23.93
1996-08-01,-25.85
1996-09-01,-26.02
1996-10-01,-23.4
1996-11-01,-18.08
1996-12-01,-9.86
1997-01-01,-3.57
1997-02-01,1.94
1997-03-01,4.77
1997-04-01,9.74
1997-05-01,12.37
1997-06-01,14.5
1997-07-01,14.85
1997-08-01,11.69
1997-09-01,11.64
1997-10-01,9.91
1997-11-01,5.74
1997-12-01,0.78
1998-01-01,-0.85
1998-02-01,-2.96
1998-03-01,-4.92
1998-04-01,-7.82
1998-05-01,-14.08
1998-06-01,-18.57
1998-07-01,-22.97
1998-08-01,-24.7
1998-09-01,-22.12
1998-10-01,-18.77
1998-11-01,-12.22
1998-12-01,-3.96
1999-01-01,3.09
1999-02-01,5.84
1999-03-01,8.59
1999-04-01,13.51
1999-05-01,15.56
1999-06-01,15.23
1999-07-01,14.11
1999-08-01,11.91
1999-09-01,11.18
1999-10-01,10.62
1999-11-01,6.01
1999-12-01,6.43
2000-01-01,4.85
2000-02-01,4.2
2000-03-01,5.51
2000-04-01,3.98
2000-05-01,-0.99
2000-06-01,-7.83
2000-07-01,-13.13
2000-08-01,-15.31
2000-09-01,-15.52
2000-10-01,-14.04
2000-11-01,-15.07
2000-12-01,-14.56
2001-01-01,-15.69
2001-02-01,-15.53
2001-03-01,-15.99
2001-04-01,-17.73
2001-05-01,-20.99
2001-06-01,-23.31
2001-07-01,-24.45
2001-08-01,-21.67
2001-09-01,-14.29
2001-10-01,-10.81
2001-11-01,-3.88
2001-12-01,1.48
2002-01-01,4.64
2002-02-01,8.0
2002-03-01,9.32
2002-04-01,14.03
2002-05-01,14.16
2002-06-01,13.26
2002-07-01,10.05
2002-08-01,10.6
2002-09-01,8.9
2002-10-01,7.66
2002-11-01,4.46
2002-12-01,-0.5
2003-01-01,-1.39
2003-02-01,-1.43
2003-03-01,-3.3
2003-04-01,-8.56
2003-05-01,-13.63
2003-06-01,-17.71
2003-07-01,-22.99
2003-08-01,-24.64
2003-09-01,-22.51
2003-10-01,-20.34
2003-11-01,-17.86
2003-12-01,-11.38
2004-01-01,-4.84
2004-02-01,2.61
2004-03-01,5.45
2004-04-01,10.46
2004-05-01,12.97
2004-06-01,11.75
2004-07-01,9.96
2004-08-01,8.74
2004-09-01,7.29
2004-10-01,8.0
2004-11-01,4.35
2004-12-01,2.45
2005-01-01,-0.69
2005-02-01,-0.96
2005-03-01,-0.33
2005-04-01,-6.64
2005-05-01,-15.09
2005-06-01,-20.59
2005-07-01,-24.2
2005-08-01,-25.87
2005-09-01,-27.8
2005-10-01,-28.76
2005-11-01,-29.55
2005-12-01,-25.04
2006-01-01,-18.83
2006-02-01,-11.24
2006-03-01,-0.38
2006-04-01,5.0
2006-05-01,10.36
2006-06-01,11.47
2006-07-01,10.75
2006-08-01,9.1
2006-09-01,10.2
2006-10-01,10.86
2006-11-01,10.1
2006-12-01,6.21
2007-01-01,2.61
2007-02-01,2.43
2007-03-01,1.24
2007-04-01,-5.18
2007-05-01,-14.06
2007-06-01,-21.33
2007-07-01,-24.92
2007-08-01,-27.41
2007-09-01,-28.13
2007-10-01,-29.05
2007-11-01,-27.61
2007-12-01,-19.48
2008-01-01,-12.42
2008-02-01,-4.7
2008-03-01,2.19
2008-04-01,6.43
2008-05-01,11.53
2008-06-01,13.45
2008-07-01,13.27
2008-08-01,11.63
2008-09-01,11.6
2008-10-01,11.05
2008-11-01,9.13
2008-12-01,10.46
2009-01-01,10.71
2009-02-01,12.33
2009-03-01,11.44
2009-04-01,9.11
2009-05-01,1.56
2009-06-01,-5.47
2009-07-01,-12.21
2009-08-01,-14.45
2009-09-01,-13.81
2009-10-01,-11.69
2009-11-01,-13.83
2009-12-01,-15.57
2010-01-01,-16.02
2010-02-01,-16.98
2010-03-01,-19.68
2010-04-01,-23.57
2010-05-01,-26.28
2010-06-01,-25.05
2010-07-01,-9.84
2010-08-01,1.45
2010-09-01,6.58
2010-10-01,10.83
2010-11-01,12.16
2010-12-01,10.97
2011-01-01,9.18
2011-02-01,10.05
2011-03-01,10.44
2011-04-01,10.71
2011-05-01,10.02
2011-06-01,3.9
2011-07-01,0.44
2011-08-01,-0.49
2011-09-01,-2.3
2011-10-01,-3.05
2011-11-01,-9.09
2011-12-01,-16.25
2012-01-01,-16.07
2012-02-01,-15.25
2012-03-01,-16.74
2012-04-01,-17.62
2012-05-01,-22.04
2012-06-01,-25.89
2012-07-01,-27.82
2012-08-01,-27.93
2012-09-01,-26.6
2012-10-01,-24.51
2012-11-01,-18.95
2012-12-01,-10.02
2013-01-01,-6.07
2013-02-01,-1.23
2013-03-01,2.85
2013-04-01,8.39
2013-05-01,12.64
2013-06-01,13.38
2013-07-01,14.27
2013-08-01,14.66
2013-09-01,13.12
2013-10-01,11.69
2013-11-01,12.45
2013-12-01,12.55
2014-01-01,13.13
2014-02-01,12.68
2014-03-01,11.72
2014-04-01,7.15
2014-05-01,-2.81
2014-06-01,-13.98
2014-07-01,-19.29
2014-08-01,-21.64
2014-09-01,-23.24
2014-10-01,-23.86
2014-11-01,-23.65
2014-12-01,-25.38
2015-01-01,-26.7
2015-02-01,-28.62
2015-03-01,-28.15
2015-04-01,-24.38
2015-05-01,-12.33
2015-06-01,2.18
2015-07-01,7.45
2015-08-01,10.97
2015-09-01,12.07
2015-10-01,13.38
2015-11-01,12.79
2015-12-01,11.39
2016-01-01,9.34
2016-02-01,6.77
2016-03-01,3.16
2016-04-01,0.64
2016-05-01,2.37
2016-06-01,3.86
2016-07-01,6.25
2016-08-01,10.07
2016-09-01,10.48
2016-10-01,12.83
2016-11-01,14.16
2016-12-01,15.09
2017-01-01,14.92
2017-02-01,14.78
2017-03-01,14.35
2017-04-01,13.88
2017-05-01,8.01
2017-06-01,-3.18
2017-07-01,-10.48
2017-08-01,-14.42
2017-09-01,-15.28
2017-10-01,-16.79
2017-11-01,-17.2
2017-12-01,-18.12
2018-01-01,-19.02
2018-02-01,-19.37
2018-03-01,-19.77
2018-04-01,-21.41
2018-05-01,-24.23
2018-06-01,-28.45
2018-07-01,-29.1
2018-08-01,-20.41
2018-09-01,-9.91
2018-10-01,-2.79
2018-11-01,3.36
2018-12-01,8.05
2019-01-01,9.02
2019-02-01,9.25
2019-03-01,11.82
2019-04-01,13.36
2019-05-01,14.59
2019-06-01,14.36
2019-07-01,10.96
2019-08-01,9.97
2019-09-01,8.25
2019-10-01,7.27
2019-11-01,5.07
2019-12-01,1.66
2020-01-01,-2.51
2020-02-01,-3.2
2020-03-01,-4.36
2020-04-01,-5.03
2020-05-01,-4.86
2020-06-01,-2.78
2020-07-01,0.34
2020-08-01,4.78
2020-09-01,7.95
2020-10-01,10.8
2020-11-01,11.15
2020-12-01,10.37
2021-01-01,10.19
2021-02-01,8.92
2021-03-01,9.75
2021-04-01,5.25
2021-05-01,0.31
2021-06-01,-6.93
2021-07-01,-13.17
2021-08-01,-13.82
2021-09-01,-16.56
2021-10-01,-19.14
2021-11-01,-19.78
2021-12-01,-21.58
2022-01-01,-23.01
2022-02-01,-25.19
2022-03-01,-26.34
2022-04-01,-26.2
2022-05-01,-19.7
2022-06-01,-3.78
2022-07-01,3.04
2022-08-01,7.87
2022-09-01,9.8
2022-10-01,10.93
2022-11-01,12.45
2022-12-01,11.7
2023-01-01,12.5
2023-02-01,9.8
2023-03-01,10.93
2023-04-01,12.89
2023-05-01,9.26
2023-06-01,0.72
2023-07-01,-5.96
2023-08-01,-9.88
2023-09-01,-13.58
2023-10-01,-16.98
2023-11-01,-19.8
2023-12-01,-22.69
2024-01-01,-24.56
2024-02-01,-25.54
2024-03-01,
2024-04-01,
2024-05-01,
2024-06-01,
2024-07-01,
2024-08-01,
2024-09-01,
2024-10-01,
2024-11-01,
2024-12-01,
