date,aao
2003-02-01,-0.357
2003-03-01,-0.188
2003-04-01,0.224
2003-05-01,0.385
2003-06-01,-0.775
2003-07-01,0.727
2003-08-01,0.678
2003-09-01,-0.323
2003-10-01,-0.025
2003-11-01,-0.712
2003-12-01,-1.323
2004-01-01,0.807
2004-02-01,-1.182
2004-03-01,0.432
2004-04-01,0.151
2004-05-01,0.46
2004-06-01,1.195
2004-07-01,1.474
2004-08-01,-0.071
2004-09-01,0.254
2004-10-01,-0.042
2004-11-01,-0.242
2004-12-01,-0.973
2005-01-01,-0.129
2005-02-01,1.243
2005-03-01,0.158
2005-04-01,0.355
2005-05-01,-0.297
2005-06-01,-1.428
2005-07-01,-0.252
2005-08-01,0.228
2005-09-01,0.241
2005-10-01,0.031
2005-11-01,-0.551
2005-12-01,-1.968
2006-01-01,0.339
2006-02-01,-0.211
2006-03-01,0.501
2006-04-01,-0.169
2006-05-01,1.695
2006-06-01,0.438
2006-07-01,0.926
2006-08-01,-1.727
2006-09-01,-0.324
2006-10-01,0.879
2006-11-01,0.101
2006-12-01,0.638
2007-01-01,-0.083
2007-02-01,0.075
2007-03-01,-0.57
2007-04-01,-1.035
2007-05-01,-0.612
2007-06-01,-1.198
2007-07-01,-2.631
2007-08-01,-0.108
2007-09-01,0.031
2007-10-01,-0.434
2007-11-01,-0.984
2007-12-01,1.929
2008-01-01,1.208
2008-02-01,1.147
2008-03-01,0.587
2008-04-01,-0.873
2008-05-01,-0.49
2008-06-01,1.348
2008-07-01,0.32
2008-08-01,0.087
2008-09-01,1.386
2008-10-01,1.215
2008-11-01,0.92
2008-12-01,1.194
2009-01-01,0.963
2009-02-01,0.456
2009-03-01,0.605
2009-04-01,0.029
2009-05-01,-0.733
2009-06-01,-0.47
2009-07-01,-1.234
2009-08-01,-0.686
2009-09-01,-0.017
2009-10-01,0.085
2009-11-01,-1.915
2009-12-01,0.607
2010-01-01,-0.757
2010-02-01,-0.775
2010-03-01,0.108
2010-04-01,0.377
2010-05-01,1.021
2010-06-01,2.071
2010-07-01,2.424
2010-08-01,1.51
2010-09-01,0.402
2010-10-01,1.335
2010-11-01,1.516
2010-12-01,0.205
2011-01-01,0.052
2011-02-01,1.074
2011-03-01,-0.296
2011-04-01,-0.87
2011-05-01,1.266
2011-06-01,-0.099
2011-07-01,-1.384
2011-08-01,-1.202
2011-09-01,-1.25
2011-10-01,0.388
2011-11-01,-0.908
2011-12-01,2.573
2012-01-01,1.583
2012-02-01,-0.283
2012-03-01,0.275
2012-04-01,0.666
2012-05-01,0.153
2012-06-01,-0.197
2012-07-01,1.259
2012-08-01,0.489
2012-09-01,0.562
2012-10-01,-0.444
2012-11-01,-1.701
2012-12-01,-0.764
2013-01-01,0.071
2013-02-01,0.716
2013-03-01,1.375
2013-04-01,0.611
2013-05-01,0.36
2013-06-01,-0.271
2013-07-01,0.945
2013-08-01,-1.561
2013-09-01,-1.658
2013-10-01,-0.458
2013-11-01,0.189
2013-12-01,0.061
2014-01-01,-0.683
2014-02-01,0.322
2014-03-01,0.467
2014-04-01,0.614
2014-05-01,-0.445
2014-06-01,0.841
2014-07-01,0.247
2014-08-01,-0.059
2014-09-01,-1.119
2014-10-01,-0.039
2014-11-01,-0.519
2014-12-01,1.322
2015-01-01,0.675
2015-02-01,1.217
2015-03-01,0.773
2015-04-01,1.029
2015-05-01,0.416
2015-06-01,0.711
2015-07-01,1.678
2015-08-01,1.062
2015-09-01,0.542
2015-10-01,-0.17
2015-11-01,0.695
2015-12-01,-0.059
2016-01-01,1.392
2016-02-01,1.093
2016-03-01,2.038
2016-04-01,0.097
2016-05-01,0.012
2016-06-01,2.565
2016-07-01,0.407
2016-08-01,-0.739
2016-09-01,2.333
2016-10-01,-0.177
2016-11-01,-1.508
2016-12-01,-0.711
2017-01-01,-0.982
2017-02-01,-0.015
2017-03-01,0.156
2017-04-01,0.619
2017-05-01,1.053
2017-06-01,0.546
2017-07-01,0.728
2017-08-01,0.764
2017-09-01,1.296
2017-10-01,-0.568
2017-11-01,0.771
2017-12-01,0.984
2018-01-01,1.275
2018-02-01,1.041
2018-03-01,0.141
2018-04-01,-1.166
2018-05-01,-0.077
2018-06-01,-0.012
2018-07-01,0.377
2018-08-01,-0.343
2018-09-01,1.458
2018-10-01,0.53
2018-11-01,0.991
2018-12-01,0.93
2019-01-01,0.677
2019-02-01,-0.5
2019-03-01,0.745
2019-04-01,0.336
2019-05-01,0.335
2019-06-01,1.465
2019-07-01,-0.39
2019-08-01,-1.08
2019-09-01,0.563
2019-10-01,-0.925
2019-11-01,-1.84
2019-12-01,-1.36
2020-01-01,-0.231
2020-02-01,0.275
2020-03-01,1.426
2020-04-01,-0.475
2020-05-01,0.577
2020-06-01,1.071
2020-07-01,-0.546
2020-08-01,-0.72
2020-09-01,0.194
2020-10-01,1.264
2020-11-01,0.813
2020-12-01,1.481
2021-01-01,1.045
2021-02-01,1.344
2021-03-01,0.086
2021-04-01,0.827
2021-05-01,0.314
2021-06-01,1.179
2021-07-01,-0.46
2021-08-01,-0.227
2021-09-01,1.336
2021-10-01,0.453
2021-11-01,1.321
2021-12-01,2.155
2022-01-01,0.825
2022-02-01,0.643
2022-03-01,0.558
2022-04-01,0.532
2022-05-01,0.096
2022-06-01,-0.871
2022-07-01,0.447
2022-08-01,0.731
2022-09-01,1.469
2022-10-01,0.33
2022-11-01,1.713
2022-12-01,1.7
