date,ipotpi.hadisst2
1884-09-01,0.49
1884-10-01,0.06
1884-11-01,1.33
1884-12-01,0.62
1885-01-01,0.61
1885-02-01,0.72
1885-03-01,0.54
1885-04-01,0.5
1885-05-01,0.73
1885-06-01,0.46
1885-07-01,0.28
1885-08-01,0.37
1885-09-01,0.41
1885-10-01,1.03
1885-11-01,1.66
1885-12-01,0.7
1886-01-01,0.69
1886-02-01,0.14
1886-03-01,0.14
1886-04-01,-0.21
1886-05-01,-0.3
1886-06-01,-0.87
1886-07-01,-0.92
1886-08-01,-0.95
1886-09-01,-0.63
1886-10-01,-0.96
1886-11-01,-0.82
1886-12-01,-1.09
1887-01-01,-0.67
1887-02-01,-1.04
1887-03-01,-1.04
1887-04-01,-0.34
1887-05-01,-0.35
1887-06-01,-0.49
1887-07-01,0.3
1887-08-01,-0.24
1887-09-01,0.01
1887-10-01,0.24
1887-11-01,0.07
1887-12-01,-0.0
1888-01-01,0.5
1888-02-01,1.19
1888-03-01,1.13
1888-04-01,0.68
1888-05-01,0.69
1888-06-01,0.82
1888-07-01,0.64
1888-08-01,0.64
1888-09-01,1.4
1888-10-01,1.53
1888-11-01,1.61
1888-12-01,1.52
1889-01-01,1.17
1889-02-01,0.76
1889-03-01,1.05
1889-04-01,0.63
1889-05-01,0.69
1889-06-01,0.34
1889-07-01,-0.38
1889-08-01,-0.69
1889-09-01,-0.79
1889-10-01,-1.05
1889-11-01,-1.26
1889-12-01,-0.51
1890-01-01,-1.66
1890-02-01,-0.84
1890-03-01,-0.83
1890-04-01,-0.66
1890-05-01,-0.71
1890-06-01,-0.79
1890-07-01,-0.74
1890-08-01,-1.3
1890-09-01,-1.38
1890-10-01,-1.05
1890-11-01,-1.29
1890-12-01,-0.49
1891-01-01,-0.07
1891-02-01,-0.28
1891-03-01,-0.39
1891-04-01,0.44
1891-05-01,0.52
1891-06-01,0.81
1891-07-01,0.37
1891-08-01,0.42
1891-09-01,0.01
1891-10-01,0.18
1891-11-01,0.05
1891-12-01,-0.5
1892-01-01,-0.38
1892-02-01,-0.62
1892-03-01,-0.56
1892-04-01,-0.87
1892-05-01,-0.31
1892-06-01,-0.62
1892-07-01,-0.6
1892-08-01,-0.96
1892-09-01,-1.71
1892-10-01,-1.7
1892-11-01,-1.44
1892-12-01,-1.44
1893-01-01,-1.08
1893-02-01,-1.0
1893-03-01,-0.9
1893-04-01,-1.08
1893-05-01,-1.08
1893-06-01,-1.49
1893-07-01,-1.28
1893-08-01,-1.33
1893-09-01,-1.42
1893-10-01,-1.54
1893-11-01,-0.86
1893-12-01,-0.66
1894-01-01,-1.1
1894-02-01,-1.15
1894-03-01,-0.7
1894-04-01,-0.53
1894-05-01,-0.24
1894-06-01,-0.72
1894-07-01,-0.39
1894-08-01,-0.59
1894-09-01,-0.77
1894-10-01,-0.91
1894-11-01,-0.39
1894-12-01,-0.57
1895-01-01,-0.42
1895-02-01,-0.28
1895-03-01,-0.04
1895-04-01,0.79
1895-05-01,0.45
1895-06-01,0.0
1895-07-01,0.28
1895-08-01,0.44
1895-09-01,1.22
1895-10-01,0.37
1895-11-01,0.9
1895-12-01,0.29
1896-01-01,0.1
1896-02-01,-0.18
1896-03-01,0.23
1896-04-01,0.43
1896-05-01,0.19
1896-06-01,0.56
1896-07-01,0.8
1896-08-01,1.37
1896-09-01,1.27
1896-10-01,1.24
1896-11-01,2.02
1896-12-01,1.66
1897-01-01,1.37
1897-02-01,0.77
1897-03-01,0.99
1897-04-01,0.43
1897-05-01,0.16
1897-06-01,0.42
1897-07-01,0.54
1897-08-01,0.15
1897-09-01,0.02
1897-10-01,0.01
1897-11-01,-0.21
1897-12-01,-0.27
1898-01-01,-0.39
1898-02-01,-0.38
1898-03-01,-0.4
1898-04-01,-0.5
1898-05-01,-0.28
1898-06-01,-0.05
1898-07-01,-0.2
1898-08-01,-1.02
1898-09-01,-0.2
1898-10-01,-0.34
1898-11-01,-0.38
1898-12-01,-0.37
1899-01-01,-0.24
1899-02-01,-0.53
1899-03-01,-0.18
1899-04-01,0.01
1899-05-01,0.03
1899-06-01,0.36
1899-07-01,0.15
1899-08-01,0.46
1899-09-01,0.64
1899-10-01,0.75
1899-11-01,1.24
1899-12-01,1.43
1900-01-01,1.28
1900-02-01,1.13
1900-03-01,1.01
1900-04-01,0.98
1900-05-01,0.94
1900-06-01,0.46
1900-07-01,0.83
1900-08-01,0.33
1900-09-01,0.47
1900-10-01,0.46
1900-11-01,0.4
1900-12-01,0.63
1901-01-01,0.68
1901-02-01,0.68
1901-03-01,0.58
1901-04-01,0.47
1901-05-01,-0.02
1901-06-01,-0.01
1901-07-01,-0.16
1901-08-01,0.12
1901-09-01,0.05
1901-10-01,0.11
1901-11-01,0.22
1901-12-01,0.53
1902-01-01,0.34
1902-02-01,0.74
1902-03-01,0.39
1902-04-01,0.92
1902-05-01,1.06
1902-06-01,1.62
1902-07-01,1.89
1902-08-01,1.51
1902-09-01,1.24
1902-10-01,1.54
1902-11-01,1.74
1902-12-01,1.32
1903-01-01,1.14
1903-02-01,0.8
1903-03-01,0.89
1903-04-01,0.64
1903-05-01,0.21
1903-06-01,0.4
1903-07-01,0.23
1903-08-01,0.16
1903-09-01,-0.2
1903-10-01,-0.47
1903-11-01,-0.51
1903-12-01,-0.48
1904-01-01,-0.17
1904-02-01,-0.44
1904-03-01,-0.17
1904-04-01,-0.23
1904-05-01,0.16
1904-06-01,0.48
1904-07-01,0.64
1904-08-01,1.03
1904-09-01,1.17
1904-10-01,0.8
1904-11-01,1.17
1904-12-01,1.52
1905-01-01,1.28
1905-02-01,0.97
1905-03-01,1.35
1905-04-01,0.76
1905-05-01,1.44
1905-06-01,0.95
1905-07-01,1.57
1905-08-01,1.87
1905-09-01,1.5
1905-10-01,1.2
1905-11-01,1.22
1905-12-01,0.94
1906-01-01,1.43
1906-02-01,1.15
1906-03-01,0.84
1906-04-01,1.11
1906-05-01,1.07
1906-06-01,0.37
1906-07-01,0.24
1906-08-01,-0.35
1906-09-01,-0.51
1906-10-01,-0.69
1906-11-01,-0.3
1906-12-01,-0.24
1907-01-01,-0.39
1907-02-01,-0.12
1907-03-01,-0.53
1907-04-01,-0.4
1907-05-01,-0.3
1907-06-01,0.32
1907-07-01,0.49
1907-08-01,-0.13
1907-09-01,0.02
1907-10-01,0.26
1907-11-01,0.04
1907-12-01,0.16
1908-01-01,0.01
1908-02-01,-0.3
1908-03-01,-0.3
1908-04-01,-0.16
1908-05-01,-0.33
1908-06-01,0.25
1908-07-01,0.35
1908-08-01,0.1
1908-09-01,0.01
1908-10-01,-0.31
1908-11-01,-0.44
1908-12-01,0.15
1909-01-01,-0.09
1909-02-01,-0.63
1909-03-01,-0.27
1909-04-01,-0.29
1909-05-01,-0.61
1909-06-01,-0.65
1909-07-01,-0.55
1909-08-01,-0.78
1909-09-01,-1.03
1909-10-01,-1.12
1909-11-01,-1.16
1909-12-01,-0.95
1910-01-01,-1.16
1910-02-01,-1.29
1910-03-01,-1.1
1910-04-01,-0.97
1910-05-01,-1.24
1910-06-01,-0.58
1910-07-01,-0.13
1910-08-01,-0.28
1910-09-01,-0.71
1910-10-01,-0.77
1910-11-01,-0.64
1910-12-01,-0.24
1911-01-01,-0.13
1911-02-01,-0.34
1911-03-01,-0.75
1911-04-01,-0.75
1911-05-01,-0.29
1911-06-01,-0.17
1911-07-01,0.28
1911-08-01,0.41
1911-09-01,0.27
1911-10-01,0.26
1911-11-01,1.06
1911-12-01,1.05
1912-01-01,1.24
1912-02-01,0.78
1912-03-01,0.61
1912-04-01,0.99
1912-05-01,0.63
1912-06-01,0.64
1912-07-01,0.24
1912-08-01,0.24
1912-09-01,0.59
1912-10-01,0.26
1912-11-01,0.2
1912-12-01,0.37
1913-01-01,0.18
1913-02-01,0.61
1913-03-01,0.08
1913-04-01,-0.43
1913-05-01,0.28
1913-06-01,0.37
1913-07-01,0.51
1913-08-01,0.8
1913-09-01,0.47
1913-10-01,0.62
1913-11-01,0.78
1913-12-01,0.93
1914-01-01,1.1
1914-02-01,0.93
1914-03-01,0.51
1914-04-01,0.66
1914-05-01,0.45
1914-06-01,0.77
1914-07-01,0.92
1914-08-01,1.1
1914-09-01,0.82
1914-10-01,0.28
1914-11-01,1.12
1914-12-01,0.86
1915-01-01,1.09
1915-02-01,0.92
1915-03-01,0.69
1915-04-01,0.85
1915-05-01,1.9
1915-06-01,2.09
1915-07-01,0.99
1915-08-01,0.35
1915-09-01,-0.04
1915-10-01,-0.15
1915-11-01,-0.17
1915-12-01,-0.78
1916-01-01,-0.67
1916-02-01,-0.18
1916-03-01,-0.75
1916-04-01,-0.24
1916-05-01,-0.13
1916-06-01,-0.99
1916-07-01,-1.51
1916-08-01,-1.68
1916-09-01,-1.59
1916-10-01,-1.91
1916-11-01,-2.04
1916-12-01,-2.1
1917-01-01,-1.66
1917-02-01,-1.49
1917-03-01,-1.83
1917-04-01,-1.28
1917-05-01,-1.0
1917-06-01,-0.9
1917-07-01,-0.47
1917-08-01,-0.6
1917-09-01,-0.64
1917-10-01,-1.18
1917-11-01,-1.04
1917-12-01,-1.13
1918-01-01,-1.22
1918-02-01,-1.14
1918-03-01,-0.71
1918-04-01,-0.12
1918-05-01,-0.33
1918-06-01,0.07
1918-07-01,0.49
1918-08-01,0.88
1918-09-01,0.68
1918-10-01,0.77
1918-11-01,0.97
1918-12-01,1.57
1919-01-01,1.48
1919-02-01,0.95
1919-03-01,0.1
1919-04-01,0.62
1919-05-01,0.51
1919-06-01,0.66
1919-07-01,0.32
1919-08-01,0.23
1919-09-01,0.69
1919-10-01,0.7
1919-11-01,0.69
1919-12-01,0.47
1920-01-01,0.58
1920-02-01,0.88
1920-03-01,0.47
1920-04-01,0.21
1920-05-01,0.2
1920-06-01,-0.19
1920-07-01,-0.23
1920-08-01,-0.1
1920-09-01,0.15
1920-10-01,-0.27
1920-11-01,0.11
1920-12-01,-0.26
1921-01-01,-0.08
1921-02-01,-0.43
1921-03-01,-0.84
1921-04-01,-0.38
1921-05-01,-0.24
1921-06-01,-0.54
1921-07-01,-0.08
1921-08-01,-0.34
1921-09-01,-0.3
1921-10-01,-0.67
1921-11-01,-0.57
1921-12-01,0.21
1922-01-01,-0.34
1922-02-01,-0.22
1922-03-01,-0.22
1922-04-01,-0.34
1922-05-01,-0.32
1922-06-01,-0.33
1922-07-01,-0.03
1922-08-01,0.09
1922-09-01,-0.05
1922-10-01,-0.43
1922-11-01,-0.52
1922-12-01,-0.29
1923-01-01,-0.05
1923-02-01,-0.52
1923-03-01,-0.25
1923-04-01,0.1
1923-05-01,0.2
1923-06-01,0.2
1923-07-01,0.41
1923-08-01,0.23
1923-09-01,0.66
1923-10-01,0.78
1923-11-01,0.75
1923-12-01,0.48
1924-01-01,0.03
1924-02-01,0.05
1924-03-01,-0.08
1924-04-01,-0.68
1924-05-01,-0.49
1924-06-01,-0.58
1924-07-01,-0.69
1924-08-01,-1.01
1924-09-01,-1.07
1924-10-01,-0.99
1924-11-01,-0.93
1924-12-01,-0.49
1925-01-01,-0.68
1925-02-01,-0.22
1925-03-01,-0.35
1925-04-01,-0.03
1925-05-01,-0.18
1925-06-01,0.11
1925-07-01,0.33
1925-08-01,0.57
1925-09-01,0.66
1925-10-01,1.09
1925-11-01,1.23
1925-12-01,1.24
1926-01-01,1.18
1926-02-01,1.48
1926-03-01,1.45
1926-04-01,1.17
1926-05-01,1.35
1926-06-01,1.18
1926-07-01,1.14
1926-08-01,0.55
1926-09-01,0.47
1926-10-01,-0.05
1926-11-01,0.48
1926-12-01,0.51
1927-01-01,0.23
1927-02-01,0.5
1927-03-01,0.02
1927-04-01,-0.0
1927-05-01,0.15
1927-06-01,0.22
1927-07-01,-0.12
1927-08-01,-0.05
1927-09-01,-0.08
1927-10-01,-0.16
1927-11-01,0.05
1927-12-01,0.24
1928-01-01,0.56
1928-02-01,0.68
1928-03-01,0.35
1928-04-01,0.26
1928-05-01,0.52
1928-06-01,0.43
1928-07-01,0.4
1928-08-01,-0.03
1928-09-01,-0.34
1928-10-01,-0.29
1928-11-01,0.15
1928-12-01,0.23
1929-01-01,0.18
1929-02-01,0.06
1929-03-01,-0.03
1929-04-01,0.37
1929-05-01,0.28
1929-06-01,0.49
1929-07-01,0.46
1929-08-01,0.43
1929-09-01,0.66
1929-10-01,0.3
1929-11-01,0.31
1929-12-01,0.75
1930-01-01,0.8
1930-02-01,0.83
1930-03-01,0.67
1930-04-01,0.62
1930-05-01,0.52
1930-06-01,0.73
1930-07-01,0.96
1930-08-01,0.73
1930-09-01,1.43
1930-10-01,1.1
1930-11-01,1.63
1930-12-01,1.74
1931-01-01,1.61
1931-02-01,1.66
1931-03-01,1.45
1931-04-01,1.27
1931-05-01,1.06
1931-06-01,1.12
1931-07-01,1.11
1931-08-01,0.53
1931-09-01,0.25
1931-10-01,0.29
1931-11-01,0.09
1931-12-01,0.05
1932-01-01,0.03
1932-02-01,0.22
1932-03-01,0.28
1932-04-01,0.55
1932-05-01,0.85
1932-06-01,0.69
1932-07-01,0.5
1932-08-01,0.59
1932-09-01,0.39
1932-10-01,-0.06
1932-11-01,0.38
1932-12-01,0.31
1933-01-01,-0.02
1933-02-01,-0.42
1933-03-01,-0.33
1933-04-01,-0.27
1933-05-01,-0.27
1933-06-01,-0.66
1933-07-01,-0.84
1933-08-01,-0.84
1933-09-01,-1.14
1933-10-01,-1.03
1933-11-01,-0.78
1933-12-01,-0.67
1934-01-01,-0.51
1934-02-01,-0.45
1934-03-01,-0.19
1934-04-01,0.02
1934-05-01,-0.08
1934-06-01,-0.0
1934-07-01,0.1
1934-08-01,0.28
1934-09-01,0.26
1934-10-01,0.29
1934-11-01,0.15
1934-12-01,-0.17
1935-01-01,-0.41
1935-02-01,-0.47
1935-03-01,-0.29
1935-04-01,-0.29
1935-05-01,0.46
1935-06-01,0.28
1935-07-01,0.11
1935-08-01,0.38
1935-09-01,0.15
1935-10-01,0.32
1935-11-01,0.85
1935-12-01,0.62
1936-01-01,0.81
1936-02-01,0.58
1936-03-01,0.31
1936-04-01,0.51
1936-05-01,0.63
1936-06-01,0.11
1936-07-01,0.17
1936-08-01,-0.03
1936-09-01,0.07
1936-10-01,0.3
1936-11-01,0.35
1936-12-01,0.42
1937-01-01,-0.15
1937-02-01,0.4
1937-03-01,0.53
1937-04-01,0.11
1937-05-01,0.1
1937-06-01,0.23
1937-07-01,0.31
1937-08-01,-0.0
1937-09-01,0.14
1937-10-01,-0.1
1937-11-01,0.26
1937-12-01,0.09
1938-01-01,-0.13
1938-02-01,-0.29
1938-03-01,-0.43
1938-04-01,-0.64
1938-05-01,-0.79
1938-06-01,-0.82
1938-07-01,-1.02
1938-08-01,-1.05
1938-09-01,-0.66
1938-10-01,-0.91
1938-11-01,-0.81
1938-12-01,-0.55
1939-01-01,-0.24
1939-02-01,-0.22
1939-03-01,-0.44
1939-04-01,0.03
1939-05-01,0.08
1939-06-01,0.52
1939-07-01,0.39
1939-08-01,0.36
1939-09-01,-0.21
1939-10-01,-0.53
1939-11-01,-0.33
1939-12-01,0.48
1940-01-01,1.06
1940-02-01,1.11
1940-03-01,1.19
1940-04-01,0.97
1940-05-01,1.44
1940-06-01,1.68
1940-07-01,1.11
1940-08-01,1.3
1940-09-01,0.35
1940-10-01,0.52
1940-11-01,1.18
1940-12-01,1.42
1941-01-01,1.57
1941-02-01,1.82
1941-03-01,1.51
1941-04-01,1.65
1941-05-01,1.36
1941-06-01,1.65
1941-07-01,1.42
1941-08-01,1.41
1941-09-01,0.96
1941-10-01,1.08
1941-11-01,1.46
1941-12-01,1.62
1942-01-01,1.42
1942-02-01,0.63
1942-03-01,0.29
1942-04-01,0.36
1942-05-01,-0.06
1942-06-01,-0.11
1942-07-01,-0.62
1942-08-01,-0.93
1942-09-01,-0.85
1942-10-01,-1.22
1942-11-01,-1.25
1942-12-01,-1.06
1943-01-01,-0.74
1943-02-01,-0.85
1943-03-01,-0.84
1943-04-01,-0.63
1943-05-01,-0.35
1943-06-01,-0.13
1943-07-01,-0.22
1943-08-01,-0.45
1943-09-01,-0.62
1943-10-01,-0.65
1943-11-01,-0.75
1943-12-01,-0.66
1944-01-01,-0.56
1944-02-01,-0.21
1944-03-01,-0.27
1944-04-01,0.08
1944-05-01,-0.13
1944-06-01,0.02
1944-07-01,-0.07
1944-08-01,-0.27
1944-09-01,-0.44
1944-10-01,-0.43
1944-11-01,-0.46
1944-12-01,-0.67
1945-01-01,-0.63
1945-02-01,-0.58
1945-03-01,-1.14
1945-04-01,-0.45
1945-05-01,-0.26
1945-06-01,0.68
1945-07-01,0.14
1945-08-01,-0.18
1945-09-01,-0.44
1945-10-01,-0.11
1945-11-01,-0.51
1945-12-01,-0.48
1946-01-01,-0.21
1946-02-01,0.07
1946-03-01,-0.51
1946-04-01,-0.69
1946-05-01,-0.24
1946-06-01,0.16
1946-07-01,0.42
1946-08-01,0.34
1946-09-01,0.0
1946-10-01,0.09
1946-11-01,0.25
1946-12-01,0.28
1947-01-01,0.48
1947-02-01,0.52
1947-03-01,0.88
1947-04-01,-0.18
1947-05-01,-0.3
1947-06-01,0.36
1947-07-01,0.13
1947-08-01,0.02
1947-09-01,0.09
1947-10-01,-0.16
1947-11-01,-0.16
1947-12-01,0.4
1948-01-01,0.21
1948-02-01,0.05
1948-03-01,-0.13
1948-04-01,0.03
1948-05-01,0.05
1948-06-01,-0.04
1948-07-01,-0.25
1948-08-01,-0.73
1948-09-01,-0.44
1948-10-01,-0.79
1948-11-01,-0.13
1948-12-01,0.31
1949-01-01,-0.65
1949-02-01,-0.16
1949-03-01,-0.41
1949-04-01,-0.15
1949-05-01,-0.1
1949-06-01,-0.15
1949-07-01,-0.25
1949-08-01,-0.4
1949-09-01,-0.99
1949-10-01,-1.13
1949-11-01,-1.12
1949-12-01,-1.03
1950-01-01,-1.12
1950-02-01,-1.38
1950-03-01,-1.09
1950-04-01,-1.1
1950-05-01,-1.28
1950-06-01,-1.01
1950-07-01,-1.58
1950-08-01,-1.28
1950-09-01,-1.33
1950-10-01,-1.31
1950-11-01,-1.26
1950-12-01,-0.89
1951-01-01,-0.91
1951-02-01,-0.8
1951-03-01,-0.89
1951-04-01,-0.43
1951-05-01,0.02
1951-06-01,0.11
1951-07-01,0.81
1951-08-01,0.33
1951-09-01,0.4
1951-10-01,0.73
1951-11-01,0.78
1951-12-01,0.69
1952-01-01,0.4
1952-02-01,0.12
1952-03-01,0.04
1952-04-01,0.11
1952-05-01,-0.27
1952-06-01,-0.7
1952-07-01,-0.6
1952-08-01,-0.46
1952-09-01,-0.49
1952-10-01,-0.52
1952-11-01,-0.51
1952-12-01,-0.18
1953-01-01,0.37
1953-02-01,0.21
1953-03-01,0.3
1953-04-01,0.33
1953-05-01,0.32
1953-06-01,0.41
1953-07-01,0.37
1953-08-01,0.37
1953-09-01,0.41
1953-10-01,0.13
1953-11-01,-0.12
1953-12-01,-0.01
1954-01-01,-0.09
1954-02-01,-0.21
1954-03-01,-0.49
1954-04-01,-0.44
1954-05-01,-0.5
1954-06-01,-0.47
1954-07-01,-0.69
1954-08-01,-0.56
1954-09-01,-0.86
1954-10-01,-0.88
1954-11-01,-0.61
1954-12-01,-0.8
1955-01-01,-0.71
1955-02-01,-1.13
1955-03-01,-0.92
1955-04-01,-1.25
1955-05-01,-1.31
1955-06-01,-1.51
1955-07-01,-1.49
1955-08-01,-1.23
1955-09-01,-1.45
1955-10-01,-2.16
1955-11-01,-1.93
1955-12-01,-1.72
1956-01-01,-1.45
1956-02-01,-1.19
1956-03-01,-1.18
1956-04-01,-1.12
1956-05-01,-1.36
1956-06-01,-1.41
1956-07-01,-1.07
1956-08-01,-0.78
1956-09-01,-0.82
1956-10-01,-1.13
1956-11-01,-1.22
1956-12-01,-0.77
1957-01-01,-0.5
1957-02-01,-0.31
1957-03-01,0.17
1957-04-01,0.09
1957-05-01,0.55
1957-06-01,0.86
1957-07-01,0.64
1957-08-01,0.39
1957-09-01,0.66
1957-10-01,0.81
1957-11-01,0.95
1957-12-01,0.94
1958-01-01,1.21
1958-02-01,0.88
1958-03-01,0.58
1958-04-01,0.42
1958-05-01,0.56
1958-06-01,0.42
1958-07-01,0.34
1958-08-01,0.31
1958-09-01,-0.09
1958-10-01,-0.02
1958-11-01,0.04
1958-12-01,0.19
1959-01-01,0.15
1959-02-01,0.22
1959-03-01,0.19
1959-04-01,0.44
1959-05-01,0.31
1959-06-01,0.26
1959-07-01,-0.05
1959-08-01,-0.26
1959-09-01,-0.3
1959-10-01,0.19
1959-11-01,0.07
1959-12-01,-0.05
1960-01-01,0.11
1960-02-01,-0.1
1960-03-01,0.19
1960-04-01,0.08
1960-05-01,0.01
1960-06-01,-0.13
1960-07-01,-0.38
1960-08-01,-0.2
1960-09-01,-0.41
1960-10-01,-0.28
1960-11-01,-0.37
1960-12-01,0.12
1961-01-01,0.26
1961-02-01,0.31
1961-03-01,0.01
1961-04-01,-0.1
1961-05-01,-0.27
1961-06-01,-0.29
1961-07-01,-0.59
1961-08-01,-0.56
1961-09-01,-0.73
1961-10-01,-0.93
1961-11-01,-0.68
1961-12-01,-0.79
1962-01-01,-0.89
1962-02-01,-0.67
1962-03-01,-0.92
1962-04-01,-0.86
1962-05-01,-0.96
1962-06-01,-0.86
1962-07-01,-0.84
1962-08-01,-0.52
1962-09-01,-0.92
1962-10-01,-0.84
1962-11-01,-0.53
1962-12-01,-0.58
1963-01-01,-0.53
1963-02-01,-0.47
1963-03-01,-0.41
1963-04-01,-0.18
1963-05-01,-0.34
1963-06-01,-0.35
1963-07-01,0.12
1963-08-01,0.23
1963-09-01,0.34
1963-10-01,0.39
1963-11-01,0.47
1963-12-01,0.6
1964-01-01,0.61
1964-02-01,0.08
1964-03-01,-0.37
1964-04-01,-0.48
1964-05-01,-0.97
1964-06-01,-0.92
1964-07-01,-0.88
1964-08-01,-1.09
1964-09-01,-0.91
1964-10-01,-0.99
1964-11-01,-0.93
1964-12-01,-0.74
1965-01-01,-0.6
1965-02-01,-0.13
1965-03-01,0.04
1965-04-01,0.32
1965-05-01,0.56
1965-06-01,0.67
1965-07-01,0.71
1965-08-01,0.94
1965-09-01,1.1
1965-10-01,1.26
1965-11-01,1.31
1965-12-01,1.06
1966-01-01,0.85
1966-02-01,0.48
1966-03-01,0.44
1966-04-01,0.35
1966-05-01,0.15
1966-06-01,0.37
1966-07-01,0.43
1966-08-01,0.21
1966-09-01,0.11
1966-10-01,0.06
1966-11-01,0.03
1966-12-01,0.05
1967-01-01,-0.26
1967-02-01,-0.46
1967-03-01,-0.48
1967-04-01,-0.2
1967-05-01,-0.09
1967-06-01,-0.1
1967-07-01,-0.31
1967-08-01,-0.74
1967-09-01,-0.86
1967-10-01,-0.91
1967-11-01,-0.59
1967-12-01,-0.61
1968-01-01,-0.72
1968-02-01,-0.48
1968-03-01,-0.92
1968-04-01,-0.69
1968-05-01,-0.65
1968-06-01,-0.26
1968-07-01,-0.09
1968-08-01,-0.04
1968-09-01,0.18
1968-10-01,0.42
1968-11-01,0.65
1968-12-01,0.87
1969-01-01,0.85
1969-02-01,0.75
1969-03-01,0.4
1969-04-01,0.29
1969-05-01,0.54
1969-06-01,0.6
1969-07-01,0.31
1969-08-01,0.21
1969-09-01,0.22
1969-10-01,0.66
1969-11-01,0.67
1969-12-01,0.45
1970-01-01,0.33
1970-02-01,0.01
1970-03-01,-0.15
1970-04-01,-0.2
1970-05-01,-0.4
1970-06-01,-0.48
1970-07-01,-0.92
1970-08-01,-1.09
1970-09-01,-1.07
1970-10-01,-1.06
1970-11-01,-1.27
1970-12-01,-1.38
1971-01-01,-1.48
