date,espi
1987-01-01,0.51243
1987-02-01,1.10648
1987-03-01,1.52377
1987-04-01,2.01767
1987-05-01,2.14975
1987-06-01,1.30243
1987-07-01,2.21963
1987-08-01,0.76478
1987-09-01,1.73081
1987-10-01,0.80438
1987-11-01,0.31182
1987-12-01,0.33941
1988-01-01,0.04456
1988-02-01,0.06427
1988-03-01,-0.834
1988-04-01,0.49703
1988-05-01,-0.81966
1988-06-01,-0.74217
1988-07-01,-0.58217
1988-08-01,-1.22153
1988-09-01,-1.19459
1988-10-01,-1.09863
1988-11-01,-1.85008
1988-12-01,-0.87337
1989-01-01,-0.78329
1989-02-01,-0.86944
1989-03-01,-0.765
1989-04-01,-0.65488
1989-05-01,-0.72076
1989-06-01,-0.00997
1989-07-01,-0.2214
1989-08-01,-0.77784
1989-09-01,0.00471
1989-10-01,-0.70657
1989-11-01,-0.24894
1989-12-01,0.25851
1990-01-01,0.09334
1990-02-01,0.98115
1990-03-01,0.74089
1990-04-01,0.48188
1990-05-01,0.17294
1990-06-01,-0.53726
1990-07-01,0.3084
1990-08-01,0.36216
1990-09-01,-0.0395
1990-10-01,-0.16341
1990-11-01,0.28412
1990-12-01,0.72101
1991-01-01,-0.0165
1991-02-01,-0.07319
1991-03-01,0.62531
1991-04-01,-0.0279
1991-05-01,0.77713
1991-06-01,1.2746
1991-07-01,0.83845
1991-08-01,0.95747
1991-09-01,0.90521
1991-10-01,0.70264
1991-11-01,1.52343
1991-12-01,0.59275
1992-01-01,2.36302
1992-02-01,1.62374
1992-03-01,2.57237
1992-04-01,1.66474
1992-05-01,1.71646
1992-06-01,0.84234
1992-07-01,0.03925
1992-08-01,-0.11165
1992-09-01,0.43427
1992-10-01,-0.90982
1992-11-01,0.62404
1992-12-01,0.35649
1993-01-01,0.16607
1993-02-01,0.70837
1993-03-01,0.70548
1993-04-01,1.33938
1993-05-01,1.11693
1993-06-01,0.73234
1993-07-01,0.20988
1993-08-01,0.57853
1993-09-01,0.155
1993-10-01,0.77563
1993-11-01,0.17294
1993-12-01,0.15359
1994-01-01,0.12552
1994-02-01,-0.13718
1994-03-01,-0.81079
1994-04-01,0.26879
1994-05-01,0.16057
1994-06-01,0.59798
1994-07-01,1.02119
1994-08-01,0.7069
1994-09-01,1.27871
1994-10-01,1.2788
1994-11-01,0.84742
1994-12-01,1.14523
1995-01-01,0.34518
1995-02-01,-0.09856
1995-03-01,-0.51966
1995-04-01,0.38868
1995-05-01,0.13914
1995-06-01,-0.09679
1995-07-01,-0.17231
1995-08-01,-1.37162
1995-09-01,-1.14092
1995-10-01,-0.51376
1995-11-01,-1.21603
1995-12-01,-0.9078
1996-01-01,-0.98519
1996-02-01,-1.22801
1996-03-01,-0.22198
1996-04-01,-0.63879
1996-05-01,-0.4119
1996-06-01,-0.16137
1996-07-01,-0.42737
1996-08-01,-0.51051
1996-09-01,-0.43937
1996-10-01,-0.96602
1996-11-01,-0.63504
1996-12-01,-1.0508
1997-01-01,0.17659
1997-02-01,-0.89825
1997-03-01,1.26246
1997-04-01,1.24804
1997-05-01,2.13609
1997-06-01,3.53095
1997-07-01,1.95745
1997-08-01,2.99355
1997-09-01,3.0605
1997-10-01,3.20304
1997-11-01,2.13268
1997-12-01,2.28455
1998-01-01,2.47553
1998-02-01,1.96814
1998-03-01,1.34651
1998-04-01,1.11937
1998-05-01,1.01023
1998-06-01,-0.88174
1998-07-01,-0.27011
1998-08-01,-0.9705
1998-09-01,-1.17287
1998-10-01,-1.01313
1998-11-01,-1.08407
1998-12-01,-0.98407
1999-01-01,-1.1481
1999-02-01,-0.80235
1999-03-01,-0.97757
1999-04-01,-1.6974
1999-05-01,-1.3144
1999-06-01,-0.60652
1999-07-01,-0.96072
1999-08-01,-1.3033
1999-09-01,-0.29173
1999-10-01,-0.92281
1999-11-01,-0.73938
1999-12-01,-1.0691
2000-01-01,-1.00105
2000-02-01,-0.95071
2000-03-01,-0.75159
2000-04-01,-0.9821
2000-05-01,-0.69274
2000-06-01,-1.62835
2000-07-01,0.04638
2000-08-01,-1.16031
2000-09-01,0.28711
2000-10-01,-1.17446
2000-11-01,-0.7076
2000-12-01,-0.47222
2001-01-01,-0.93738
2001-02-01,-1.09959
2001-03-01,-0.97516
2001-04-01,-0.86644
2001-05-01,-0.17695
2001-06-01,-0.97573
2001-07-01,0.47214
2001-08-01,-0.17648
2001-09-01,0.09751
2001-10-01,-0.39585
2001-11-01,-0.74356
2001-12-01,0.37255
2002-01-01,-0.05427
2002-02-01,0.60475
2002-03-01,0.27341
2002-04-01,-0.12602
2002-05-01,0.21128
2002-06-01,0.44943
2002-07-01,1.70256
2002-08-01,0.93982
2002-09-01,1.7772
2002-10-01,1.50342
2002-11-01,0.91197
2002-12-01,1.52927
2003-01-01,0.81898
2003-02-01,0.22479
2003-03-01,-0.05283
2003-04-01,0.30221
2003-05-01,-0.29548
2003-06-01,1.09819
2003-07-01,-0.46642
2003-08-01,-0.05095
2003-09-01,-0.55743
2003-10-01,-0.36216
2003-11-01,0.08533
2003-12-01,-0.42965
2004-01-01,0.28436
2004-02-01,-0.13191
2004-03-01,0.03492
2004-04-01,0.965
2004-05-01,-1.51531
2004-06-01,0.38996
2004-07-01,-0.01871
2004-08-01,1.56144
2004-09-01,-0.01903
2004-10-01,0.3802
2004-11-01,0.53607
2004-12-01,0.37089
2005-01-01,-0.09497
2005-02-01,1.11161
2005-03-01,-0.09212
2005-04-01,-0.07704
2005-05-01,0.14563
2005-06-01,0.34321
2005-07-01,-0.74921
2005-08-01,-0.05716
2005-09-01,-0.47353
2005-10-01,-0.50651
2005-11-01,-0.85052
2005-12-01,-1.16222
2006-01-01,-0.61427
2006-02-01,-0.88454
2006-03-01,-0.89015
2006-04-01,-1.05275
2006-05-01,-0.17708
2006-06-01,-0.77521
2006-07-01,0.44214
2006-08-01,0.34117
2006-09-01,0.09993
2006-10-01,1.34597
2006-11-01,1.55183
2006-12-01,0.42455
2007-01-01,0.21564
2007-02-01,0.09137
2007-03-01,-0.21103
2007-04-01,-0.38787
2007-05-01,-0.19556
2007-06-01,-0.70667
2007-07-01,-1.40595
2007-08-01,-0.61157
2007-09-01,-0.95129
2007-10-01,-0.45497
2007-11-01,-0.78811
2007-12-01,-0.98459
2008-01-01,-0.25471
2008-02-01,-1.18351
2008-03-01,-1.10377
2008-04-01,-1.30726
2008-05-01,-0.68151
2008-06-01,-0.8829
2008-07-01,-0.84032
2008-08-01,-0.79975
2008-09-01,-0.48213
2008-10-01,-0.8831
2008-11-01,-1.16974
2008-12-01,-1.16012
2009-01-01,-0.6874
2009-02-01,-0.96414
2009-03-01,-0.69954
2009-04-01,-0.86938
2009-05-01,-0.63202
2009-06-01,0.29816
2009-07-01,0.32415
2009-08-01,0.87152
2009-09-01,0.28839
2009-10-01,0.71448
2009-11-01,-0.24659
2009-12-01,1.21623
2010-01-01,1.00578
2010-02-01,2.00625
2010-03-01,0.62486
2010-04-01,0.66273
2010-05-01,-0.18582
2010-06-01,-0.80504
2010-07-01,-1.17543
2010-08-01,-1.68569
2010-09-01,-1.16834
2010-10-01,-1.38906
2010-11-01,-0.82952
2010-12-01,-0.99563
2011-01-01,-0.95504
2011-02-01,-0.97688
2011-03-01,-1.66771
2011-04-01,-1.10085
2011-05-01,-0.94569
2011-06-01,-1.14128
2011-07-01,-0.42466
2011-08-01,-0.04856
2011-09-01,-0.73505
2011-10-01,-0.2349
2011-11-01,-0.44671
2011-12-01,-1.2906
2012-01-01,-0.73538
2012-02-01,-0.52528
2012-03-01,-1.37498
2012-04-01,-0.40796
2012-05-01,-1.03549
2012-06-01,-0.55555
2012-07-01,-0.6769
2012-08-01,0.27935
2012-09-01,0.04974
2012-10-01,0.17407
2012-11-01,-0.19069
2012-12-01,-0.15243
2013-01-01,-0.48993
2013-02-01,-0.78834
2013-03-01,0.28683
2013-04-01,0.87562
2013-05-01,-0.87263
2013-06-01,-0.7165
2013-07-01,-2.05964
2013-08-01,-0.74688
2013-09-01,-0.75063
2013-10-01,-0.18233
2013-11-01,-0.45609
2013-12-01,-0.80907
2014-01-01,-0.30051
2014-02-01,0.45847
2014-03-01,0.77458
2014-04-01,1.30984
2014-05-01,0.66205
2014-06-01,0.50777
2014-07-01,0.11128
2014-08-01,0.14441
2014-09-01,0.21027
2014-10-01,0.55725
2014-11-01,0.15872
2014-12-01,-0.36161
2015-01-01,-0.00903
2015-02-01,-0.0307
2015-03-01,0.95037
2015-04-01,1.24429
2015-05-01,3.02095
2015-06-01,1.59968
2015-07-01,3.76707
2015-08-01,2.32905
2015-09-01,2.18597
2015-10-01,2.30534
2015-11-01,0.9527
2015-12-01,2.05867
2016-01-01,2.26359
2016-02-01,1.73267
2016-03-01,1.18154
2016-04-01,0.98914
2016-05-01,0.07251
2016-06-01,-0.50999
2016-07-01,-0.95807
2016-08-01,-0.31014
2016-09-01,-1.35389
2016-10-01,-1.22303
2016-11-01,-0.48794
2016-12-01,-0.66701
2017-01-01,-1.00061
2017-02-01,-0.64087
2017-03-01,-0.7616
2017-04-01,-0.42776
2017-05-01,-1.01931
2017-06-01,-0.76059
2017-07-01,-1.37817
2017-08-01,-0.50408
2017-09-01,-1.37199
2017-10-01,-0.67286
2017-11-01,-1.13442
2017-12-01,-0.71703
2018-01-01,-0.84826
2018-02-01,-0.2424
2018-03-01,-0.47027
2018-04-01,-0.3192
2018-05-01,-0.11709
2018-06-01,0.17841
2018-07-01,-0.05495
2018-08-01,0.10955
2018-09-01,0.11905
2018-10-01,0.26692
2018-11-01,0.36731
2018-12-01,0.28784
2019-01-01,0.19336
2019-02-01,1.28877
2019-03-01,1.0228
2019-04-01,0.30068
2019-05-01,1.10183
2019-06-01,-0.31736
2019-07-01,0.75425
2019-08-01,0.5958
2019-09-01,1.11256
2019-10-01,0.27144
2019-11-01,1.02508
2019-12-01,0.45743
2020-01-01,0.42295
2020-02-01,0.65455
2020-03-01,-0.09639
2020-04-01,-0.69421
2020-05-01,-0.52105
2020-06-01,-0.69097
2020-07-01,-1.05615
2020-08-01,-0.48873
2020-09-01,-0.70276
2020-10-01,-1.30303
2020-11-01,-0.90166
2020-12-01,-0.89833
2021-01-01,-1.159
2021-02-01,-0.53245
2021-03-01,-0.91295
2021-04-01,-0.44219
2021-05-01,-1.18542
2021-06-01,0.28266
2021-07-01,-0.6034
2021-08-01,-0.92122
2021-09-01,-1.25097
2021-10-01,-0.56268
2021-11-01,-1.2019
2021-12-01,-1.42537
2022-01-01,-0.33326
2022-02-01,-1.21816
2022-03-01,-0.89207
2022-04-01,-1.1236
2022-05-01,-0.90473
2022-06-01,-0.64836
2022-07-01,-1.83128
2022-08-01,-1.23034
2022-09-01,-1.16183
2022-10-01,-1.19816
2022-11-01,-0.7904
2022-12-01,-1.25044
2023-01-01,-1.04023
2023-02-01,-0.79429
2023-03-01,-0.50327
2023-04-01,-0.14821
2023-05-01,0.09335
2023-06-01,0.26547
2023-07-01,-0.24402
2023-08-01,1.00887
2023-09-01,0.80097
2023-10-01,1.31229
2023-11-01,
2023-12-01,
